,authorID,doi,url,year,title,journal,numberOfAuthors,authorPosition,authorFullName,firstName,lastName,affiliation,gscholarLink,googleSearch,genderize,genderize_prob,genderize_basedon,genderAccuracy,authorFullName.1,firstName.1,lastName.1,affiliation.1,gscholarLink.1,googleSearch.1,race,racePredAccuracy,api,black,hispanic,white,raceHighest,raceSecondHighest,raceDiff,affProcessed,affiliation.2,ROR_AFFNAME,matchMethod,ROR_ID,type
10613,10.1111/j.1083-6101.1996.tb00061.x+2.0,10.1111/j.1083-6101.1996.tb00061.x,https://academic.oup.com/jcmc/article/2/2/JCMC224/4584344,1996,"From “Dial-a-Porn” to “Cyberporn"": Approaches to and Limitations of Regulation in the United States and Japan",Journal of Computer-Mediated Communication,2.0,2.0,Katsuya Hirose,Katsuya,Hirose,"2 Katsuya Hirose is Professor of Public Policy and Public Administration in the Political Science Department of Hosei University, Tokyo. He received both his M.A. and Ph. D. from the University of Tokyo, in Political Science. Currently he is a researcher at the Institute for Public Management at Hosei Universit and also a Research Scholar at the London School of Economics and Political Science. Two recent publications are Information Technology and Public Administration (1994) and How Internet Changes the World (1996).",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Katsuya+Hirose,https://www.google.com/search?q=Katsuya+Hirose+katsuya+hirose+is+professor+of+public+policy+and+public+administration+in+the+political+science+department+of+hosei+university+tokyo+he+received+both+his+m+a+and+ph+d+from+the+university+of+tokyo+in+political+science+currently+he+is+a+researcher+at+the+institute+for+public+management+at+hosei+universit+and+also+a+research+scholar+at+the+london+school+of+economics+and+political+science+two+recent+publications+are+information+technology+and+public+administration+and+how+internet+changes+the+world,male,1.0,233.0,Low,Katsuya Hirose,Katsuya,Hirose,"2 Katsuya Hirose is Professor of Public Policy and Public Administration in the Political Science Department of Hosei University, Tokyo. He received both his M.A. and Ph. D. from the University of Tokyo, in Political Science. Currently he is a researcher at the Institute for Public Management at Hosei Universit and also a Research Scholar at the London School of Economics and Political Science. Two recent publications are Information Technology and Public Administration (1994) and How Internet Changes the World (1996).",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Katsuya+Hirose,https://www.google.com/search?q=Katsuya+Hirose+katsuya+hirose+is+professor+of+public+policy+and+public+administration+in+the+political+science+department+of+hosei+university+tokyo+he+received+both+his+m+a+and+ph+d+from+the+university+of+tokyo+in+political+science+currently+he+is+a+researcher+at+the+institute+for+public+management+at+hosei+universit+and+also+a+research+scholar+at+the+london+school+of+economics+and+political+science+two+recent+publications+are+information+technology+and+public+administration+and+how+internet+changes+the+world,white,Low,0.12181933,0.1433024,0.031982068,0.7028963,0.7028963,0.1433024,0.5595939,katsuya hirose is professor of public policy and public administration in the political science department of hosei university tokyo he received both his m a and ph d from the university of tokyo in political science currently he is a researcher at the institute for public management at hosei universit and also a research scholar at the london school of economics and political science two recent publications are information technology and public administration and how internet changes the world,"2 Katsuya Hirose is Professor of Public Policy and Public Administration in the Political Science Department of Hosei University, Tokyo. He received both his M.A. and Ph. D. from the University of Tokyo, in Political Science. Currently he is a researcher at the Institute for Public Management at Hosei Universit and also a Research Scholar at the London School of Economics and Political Science. Two recent publications are Information Technology and Public Administration (1994) and How Internet Changes the World (1996).",London School of Economics and Political Science,Exact,https://ror.org/0090zs177,R
9889,10.1111/j.1083-6101.2007.00350.x+2.0,10.1111/j.1083-6101.2007.00350.x,https://academic.oup.com/jcmc/article/12/3/778/4582966,2007,Heuristic and Systematic Use of Search Engines,Journal of Computer-Mediated Communication,4.0,2.0,Tabea Böcking,Tabea,Böcking,2 Institute of Mass Communication and Media Research University of Munich,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Tabea+Böcking,https://www.google.com/search?q=Tabea+B%C3%B6cking+institute+of+mass+communication+and+media+research+university+of+munich,female,0.95,1301.0,Low,Tabea Böcking,Tabea,Böcking,2 Institute of Mass Communication and Media Research University of Munich,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Tabea+Böcking,https://www.google.com/search?q=Tabea+B%C3%B6cking+institute+of+mass+communication+and+media+research+university+of+munich,white,High,0.0055584633,0.1145932,0.016946651,0.8629017,0.8629017,0.1145932,0.7483085,institute of mass communication and media research university of munich,2 Institute of Mass Communication and Media Research University of Munich,Indian Institute of Mass Communication,API_QUERY,https://ror.org/046xn0c82,R
9111,10.1111/jcc4.12123+3.0,10.1111/jcc4.12123,https://academic.oup.com/jcmc/article/20/4/381/4067557,2015,Gaming Social Capital: Exploring Civic Value in Multiplayer Video Games,Journal of Computer-Mediated Communication,3.0,3.0,Homero Gil de Zúñiga,Homero,Zúñiga,"3 University of Vienna, and Research Fellow at Universidad Diego Portales, Chile",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Homero+Zúñiga,https://www.google.com/search?q=Homero+Gil+de+Z%C3%BA%C3%B1iga+university+of+vienna+and+research+fellow+at+universidad+diego+portales+chile,male,0.99,394.0,Low,Homero Gil de Zúñiga,Homero,Zúñiga,"3 University of Vienna, and Research Fellow at Universidad Diego Portales, Chile",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Homero+Zúñiga,https://www.google.com/search?q=Homero+Gil+de+Z%C3%BA%C3%B1iga+university+of+vienna+and+research+fellow+at+universidad+diego+portales+chile,white,Low,0.10415162,0.15550385,0.11279419,0.6275503,0.6275503,0.15550385,0.47204643,university of vienna and research fellow at universidad diego portales chile,"3 University of Vienna, and Research Fellow at Universidad Diego Portales, Chile",University of Vienna,Exact,https://ror.org/03prydq77,R
2129,10.1111/j.1460-2466.2004.tb02628.x+3.0,10.1111/j.1460-2466.2004.tb02628.x,https://academic.oup.com/joc/article/54/2/270/4102933,2004,Diverse in Name Only? Intercultural Interaction at a Multicultural University,Journal of Communication,4.0,3.0,Jennifer Huynh Thi Ahn Morrison,Jennifer,Morrison,3 Jennifer Huynh Thi Anh Morrison is a doctoral student and Patrick Shaou-Whea Dodge is a master's student at the University of Denver,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Jennifer+Morrison,https://www.google.com/search?q=Jennifer+Huynh+Thi+Ahn+Morrison+jennifer+huynh+thi+anh+morrison+is+a+doctoral+student+and+patrick+shaou+whea+dodge+is+a+master+s+student+at+the+university+of+denver,female,0.98,90255.0,High,Jennifer Huynh Thi Ahn Morrison,Jennifer,Morrison,3 Jennifer Huynh Thi Anh Morrison is a doctoral student and Patrick Shaou-Whea Dodge is a master's student at the University of Denver,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Jennifer+Morrison,https://www.google.com/search?q=Jennifer+Huynh+Thi+Ahn+Morrison+jennifer+huynh+thi+anh+morrison+is+a+doctoral+student+and+patrick+shaou+whea+dodge+is+a+master+s+student+at+the+university+of+denver,white,High,0.0035321347,0.16426294,0.031756762,0.8004481,0.8004481,0.16426294,0.63618517,jennifer huynh thi anh morrison is a doctoral student and patrick shaou whea dodge is a master s student at the university of denver,3 Jennifer Huynh Thi Anh Morrison is a doctoral student and Patrick Shaou-Whea Dodge is a master's student at the University of Denver,University of Denver,Exact,https://ror.org/04w7skc03,R
11015,10.1111/cccr.12081+1.0,10.1111/cccr.12081,https://academic.oup.com/ccc/article/8/2/273/3979306,2015,Paradigms of Media Power,"Communication, Culture and Critique",1.0,1.0,Des Freedman,Des,Freedman,"1 Department of Media and Communications, Goldsmiths, University of London, New Cross, London, SE14 6NW, UK",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Des+Freedman,https://www.google.com/search?q=Des+Freedman+department+of+media+and+communications+goldsmiths+university+of+london+new+cross+london+se+nw+uk,male,0.7,1705.0,Low,Des Freedman,Des,Freedman,"1 Department of Media and Communications, Goldsmiths, University of London, New Cross, London, SE14 6NW, UK",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Des+Freedman,https://www.google.com/search?q=Des+Freedman+department+of+media+and+communications+goldsmiths+university+of+london+new+cross+london+se+nw+uk,white,High,0.0028321766,0.030390017,0.020833045,0.9459448,0.9459448,0.030390017,0.91555476,department of media and communications goldsmiths university of london new cross london se nw uk,"1 Department of Media and Communications, Goldsmiths, University of London, New Cross, London, SE14 6NW, UK",Goldsmiths University of London,Exact,https://ror.org/01khx4a30,R
1268,10.1111/j.1460-2466.2012.01680.x+1.0,10.1111/j.1460-2466.2012.01680.x,https://academic.oup.com/joc/article/62/6/1010/4085802,2012,Reinforcement or Reactance? Examining the Effect of an Explicit Persuasive Appeal Following an Entertainment-Education Narrative,Journal of Communication,3.0,1.0,Emily Moyer-Gusé,Emily,Moyer-Gusé,"1 School of Communication, The Ohio State University, Columbus, OH 43210-1339, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Emily+Moyer-Gusé,https://www.google.com/search?q=Emily+Moyer-Gus%C3%A9+school+of+communication+the+ohio+state+university+columbus+oh+usa,female,0.98,16379.0,High,Emily Moyer-Gusé,Emily,Moyer-Gusé,"1 School of Communication, The Ohio State University, Columbus, OH 43210-1339, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Emily+Moyer-Gusé,https://www.google.com/search?q=Emily+Moyer-Gus%C3%A9+school+of+communication+the+ohio+state+university+columbus+oh+usa,white,High,0.019854208,0.016972926,0.044352364,0.9188205,0.9188205,0.044352364,0.87446815,school of communication the ohio state university columbus oh usa,"1 School of Communication, The Ohio State University, Columbus, OH 43210-1339, USA",The Ohio State University,Exact,https://ror.org/00rs6vg23,R
5626,10.1111/j.1468-2958.2012.01436.x+4.0,10.1111/j.1468-2958.2012.01436.x,https://academic.oup.com/hcr/article/38/4/379/4093666,2012,Reducing STD/HIV Stigmatizing Attitudes Through Community Popular Opinion Leaders in Chinese Markets,Human Communication Research,5.0,4.0,Roger Detels,Roger,Detels,"4 Department of Epidemiology, School of Public Health, University of California, Los Angeles, CA, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Roger+Detels,https://www.google.com/search?q=Roger+Detels+department+of+epidemiology+school+of+public+health+university+of+california+los+angeles+ca+usa,male,0.98,38190.0,High,Roger Detels,Roger,Detels,"4 Department of Epidemiology, School of Public Health, University of California, Los Angeles, CA, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Roger+Detels,https://www.google.com/search?q=Roger+Detels+department+of+epidemiology+school+of+public+health+university+of+california+los+angeles+ca+usa,white,Low,0.0058159865,0.18518388,0.03399328,0.7750069,0.7750069,0.18518388,0.589823,department of epidemiology school of public health university of california los angeles ca usa,"4 Department of Epidemiology, School of Public Health, University of California, Los Angeles, CA, USA","University of California, Los Angeles",API_QUERY,https://ror.org/046rm7j60,R
1519,10.1111/j.1460-2466.2011.01542.x+3.0,10.1111/j.1460-2466.2011.01542.x,https://academic.oup.com/joc/article/61/2/328/4098568,2011,Video News Releases and the Public: The Impact of Source Labeling on the Perceived Credibility of Television News,Journal of Communication,3.0,3.0,Kevin Coe,Kevin,Coe,"3 Department of Communication, University of Arizona, Tucson, AZ 85721, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Kevin+Coe,https://www.google.com/search?q=Kevin+Coe+department+of+communication+university+of+arizona+tucson+az+usa,male,0.99,157365.0,High,Kevin Coe,Kevin,Coe,"3 Department of Communication, University of Arizona, Tucson, AZ 85721, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Kevin+Coe,https://www.google.com/search?q=Kevin+Coe+department+of+communication+university+of+arizona+tucson+az+usa,white,High,0.019685708,0.0653258,0.031715475,0.883273,0.883273,0.0653258,0.8179472,department of communication university of arizona tucson az usa,"3 Department of Communication, University of Arizona, Tucson, AZ 85721, USA",University of Arizona,Exact,https://ror.org/03m2x1q45,R
3241,10.1111/j.1460-2466.1985.tb02238.x+2.0,10.1111/j.1460-2466.1985.tb02238.x,https://academic.oup.com/joc/article/35/2/118/4282851,1985,Historical Trends in Research on Children and the Media: 1900–1960,Journal of Communication,2.0,2.0,Byron Reeves,Byron,Reeves,"2 Mass Communication Research Center, School of Journalism and Mass Communication, University of Wisconsin-Madison",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Byron+Reeves,https://www.google.com/search?q=Byron+Reeves+mass+communication+research+center+school+of+journalism+and+mass+communication+university+of+wisconsin+madison,male,0.98,2849.0,High,Byron Reeves,Byron,Reeves,"2 Mass Communication Research Center, School of Journalism and Mass Communication, University of Wisconsin-Madison",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Byron+Reeves,https://www.google.com/search?q=Byron+Reeves+mass+communication+research+center+school+of+journalism+and+mass+communication+university+of+wisconsin+madison,white,High,0.0022780204,0.17682177,0.019563718,0.8013365,0.8013365,0.17682177,0.62451476,mass communication research center school of journalism and mass communication university of wisconsin madison,"2 Mass Communication Research Center, School of Journalism and Mass Communication, University of Wisconsin-Madison",Indian Institute of Mass Communication,API_QUERY,https://ror.org/046xn0c82,R
4308,10.1111/j.1460-2466.1975.tb00614.x+1.0,10.1111/j.1460-2466.1975.tb00614.x,https://academic.oup.com/joc/article/25/3/127/4553755,1975,Defining “Therapeutic Communication”,Journal of Communication,1.0,1.0,Charles M. Rossiter,Charles,Rossiter,"1 Charles M. Rossiter, Jr., is Assistant Professor of Communication at the University of Wisconsin at Milwaukee",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Charles+Rossiter,https://www.google.com/search?q=Charles+M.+Rossiter+charles+m+rossiter+jr+is+assistant+professor+of+communication+at+the+university+of+wisconsin+at+milwaukee,male,0.99,49331.0,High,Charles M. Rossiter,Charles,Rossiter,"1 Charles M. Rossiter, Jr., is Assistant Professor of Communication at the University of Wisconsin at Milwaukee",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Charles+Rossiter,https://www.google.com/search?q=Charles+M.+Rossiter+charles+m+rossiter+jr+is+assistant+professor+of+communication+at+the+university+of+wisconsin+at+milwaukee,white,High,0.004152425,0.098312594,0.028725408,0.8688095,0.8688095,0.098312594,0.7704969,charles m rossiter jr is assistant professor of communication at the university of wisconsin at milwaukee,"1 Charles M. Rossiter, Jr., is Assistant Professor of Communication at the University of Wisconsin at Milwaukee",Advanced Technology & Materials (China),API_QUERY,https://ror.org/02s3fnw45,R
