cat,freq,issueURL
Articles,1667,https://academic.oup.com/ccc/issue/12/3?browseBy=volume
Original Articles,1367,https://academic.oup.com/ccc/issue/1/1?browseBy=volume
Article,1120,https://academic.oup.com/jcmc/issue/3/2?browseBy=volume
Original Article,1102,https://academic.oup.com/ccc/issue/9/1?browseBy=volume
Book Reviews,367,https://academic.oup.com/ccc/issue/1/3?browseBy=volume
Research Articles,129,https://academic.oup.com/jcmc/issue/23/2?browseBy=volume
Colloquy,71,https://academic.oup.com/hcr/issue/25/3?browseBy=volume
Editorial,65,https://academic.oup.com/ccc/issue/3/4?browseBy=volume
Original articles,62,https://academic.oup.com/joc/issue/68/1?browseBy=volume
Books,60,https://academic.oup.com/joc/issue/26/2?browseBy=volume
Review Essays,43,https://academic.oup.com/joc/issue/42/2?browseBy=volume
Review Essay,42,https://academic.oup.com/joc/issue/43/2?browseBy=volume
Intercom,40,https://academic.oup.com/joc/issue/25/1?browseBy=volume
ORIGINAL ARTICLE,38,https://academic.oup.com/jcmc/issue/23/1?browseBy=volume
Original article,36,https://academic.oup.com/hcr/issue/44/1?browseBy=volume
Editor's Note,28,https://academic.oup.com/jcmc/issue/23/2?browseBy=volume
Special Section,28,https://academic.oup.com/jcmc/issue/14/3?browseBy=volume
Book Reviews: Online Only,26,https://academic.oup.com/joc/issue/68/3?browseBy=volume
Original Research,24,https://academic.oup.com/hcr/issue/47/4?browseBy=volume
Erratum,24,https://academic.oup.com/ccc/issue/4/4?browseBy=volume
Book Review,22,https://academic.oup.com/ccc/issue/2/3?browseBy=volume
Forum: Academic Life in the Pandemic,22,https://academic.oup.com/ccc/issue/14/2?browseBy=volume
Forum,21,https://academic.oup.com/ccc/issue/15/2?browseBy=volume
Books Received,20,https://academic.oup.com/joc/issue/19/1?browseBy=volume
Reviews,19,https://academic.oup.com/joc/issue/3/1?browseBy=volume
Book Reviews and Notes,18,https://academic.oup.com/joc/issue/9/2?browseBy=volume
Research Notes,17,https://academic.oup.com/hcr/issue/47/4?browseBy=volume
Explicit Sex—Liberation or Exploitation?,15,https://academic.oup.com/joc/issue/26/1?browseBy=volume
Literacy and the Future of Print,14,https://academic.oup.com/joc/issue/30/1?browseBy=volume
Audiences and Institutions,14,https://academic.oup.com/joc/issue/43/4?browseBy=volume
Full-length Research Articles,13,https://academic.oup.com/jcmc/issue/27/1?browseBy=volume
Laughing Matter,13,https://academic.oup.com/joc/issue/26/3?browseBy=volume
intercom,12,https://academic.oup.com/joc/issue/29/1?browseBy=volume
Media and Medicine,12,https://academic.oup.com/joc/issue/25/3?browseBy=volume
Setting the Political Agenda,12,https://academic.oup.com/joc/issue/26/2?browseBy=volume
Research Note,12,https://academic.oup.com/hcr/issue/28/1?browseBy=volume
Presidential Address,12,https://academic.oup.com/joc/issue/56/3?browseBy=volume
General Articles,12,https://academic.oup.com/jcmc/issue/25/3?browseBy=volume
Symposium,11,https://academic.oup.com/joc/issue/37/1?browseBy=volume
Western European Broadcasting in Transition,11,https://academic.oup.com/joc/issue/28/3?browseBy=volume
"The Press, the U.S., and UNESCO",11,https://academic.oup.com/joc/issue/31/4?browseBy=volume
The Diciplinary Status of Communication Research,11,https://academic.oup.com/joc/issue/43/3?browseBy=volume
About the Authors,11,https://academic.oup.com/hcr/issue/1/1?browseBy=volume
"Forum: Digital Cultures of South Asia: Inequalities, Informatization, Infrastructures",11,https://academic.oup.com/ccc/issue/14/3?browseBy=volume
News,11,https://academic.oup.com/joc/issue/4/1?browseBy=volume
