,authorID,doi,url,year,title,journal,numberOfAuthors,authorPosition,authorFullName,firstName,lastName,affiliation,gscholarLink,googleSearch,genderize,genderize_prob,genderize_basedon,genderAccuracy,authorFullName.1,firstName.1,lastName.1,affiliation.1,gscholarLink.1,googleSearch.1,race,racePredAccuracy,api,black,hispanic,white,raceHighest,raceSecondHighest,raceDiff,affProcessed,affiliation.2,ROR_AFFNAME,matchMethod,ROR_ID,type,gender_prediction,race_prediction
8678,10.1093/jcmc/zmab015+2.0,10.1093/jcmc/zmab015,https://academic.oup.com/jcmc/article/27/1/zmab015/6413702,2022,Social Media Browsing and Adolescent Well-Being: Challenging the “Passive Social Media Use Hypothesis”,Journal of Computer-Mediated Communication,5.0,2.0,Ine Beyens,Ine,Beyens,"Amsterdam School of Communication Research, University of Amsterdam ,  The Netherlands",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Ine+Beyens,https://www.google.com/search?q=Ine+Beyens+amsterdam+school+of+communication+research+university+of+amsterdam+the+netherlands,female,0.96,1027.0,Low,Ine Beyens,Ine,Beyens,"Amsterdam School of Communication Research, University of Amsterdam ,  The Netherlands",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Ine+Beyens,https://www.google.com/search?q=Ine+Beyens+amsterdam+school+of+communication+research+university+of+amsterdam+the+netherlands,white,Low,0.006950981,0.24682294,0.0222435,0.7239826,0.7239826,0.24682294,0.47715962,amsterdam school of communication research university of amsterdam the netherlands,"Amsterdam School of Communication Research, University of Amsterdam ,  The Netherlands",University of Amsterdam,Exact,https://ror.org/04dkp9463,R,,
5036,10.1093/hcr/hqab017+1.0,10.1093/hcr/hqab017,https://academic.oup.com/hcr/article/48/1/168/6430395,2022,Replication Note: What is Political Incivility?,Human Communication Research,4.0,1.0,Robin Stryker,Robin,Stryker,"Department of Sociology, Purdue University, West Lafayette, IN, USA    University of Arizona, Tucson, Arizona",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Robin+Stryker,https://www.google.com/search?q=Robin+Stryker+department+of+sociology+purdue+university+west+lafayette+in+usa+university+of+arizona+tucson+arizona,male,0.93,34003.0,High,Robin Stryker,Robin,Stryker,"Department of Sociology, Purdue University, West Lafayette, IN, USA    University of Arizona, Tucson, Arizona",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Robin+Stryker,https://www.google.com/search?q=Robin+Stryker+department+of+sociology+purdue+university+west+lafayette+in+usa+university+of+arizona+tucson+arizona,white,High,0.011952721,0.054889914,0.022053683,0.91110367,0.91110367,0.054889914,0.85621375,department of sociology purdue university west lafayette in usa university of arizona tucson arizona,"Department of Sociology, Purdue University, West Lafayette, IN, USA    University of Arizona, Tucson, Arizona",Purdue University West Lafayette,Exact,https://ror.org/02dqehb95,R,,
0,10.1093/joc/jqac004+1.0,10.1093/joc/jqac004,https://academic.oup.com/joc/article/72/3/297/6529454,2022,The Gender Divide in Wikipedia: Quantifying and Assessing the Impact of Two Feminist Interventions,Journal of Communication,2.0,1.0,Isabelle Langrock,Isabelle,Langrock,"Annenberg School for Communication, University of Pennsylvania , Philadelphia, PA 19104,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Isabelle+Langrock,https://www.google.com/search?q=Isabelle+Langrock+annenberg+school+for+communication+university+of+pennsylvania+philadelphia+pa+usa,female,0.99,89728.0,High,Isabelle Langrock,Isabelle,Langrock,"Annenberg School for Communication, University of Pennsylvania , Philadelphia, PA 19104,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Isabelle+Langrock,https://www.google.com/search?q=Isabelle+Langrock+annenberg+school+for+communication+university+of+pennsylvania+philadelphia+pa+usa,white,High,0.0077615874,0.06642917,0.030049287,0.89575994,0.89575994,0.06642917,0.8293308,annenberg school for communication university of pennsylvania philadelphia pa usa,"Annenberg School for Communication, University of Pennsylvania , Philadelphia, PA 19104,  USA",University of Pennsylvania,Exact,https://ror.org/00b30xv10,R,,
7679,10.1093/ct/qtab008+1.0,10.1093/ct/qtab008,https://academic.oup.com/ct/article/32/2/201/6333289,2022,Beyond Neutrality: Conceptualizing Platform Values,Communication Theory,3.0,1.0,Blake Hallinan,Blake,Hallinan,"Department of Communication &amp; Journalism, The Hebrew University of Jerusalem, Mount Scopus, Jerusalem 91905, Israel",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Blake+Hallinan,https://www.google.com/search?q=Blake+Hallinan+department+of+communication+amp+journalism+the+hebrew+university+of+jerusalem+mount+scopus+jerusalem+israel,male,0.96,2426.0,High,Blake Hallinan,Blake,Hallinan,"Department of Communication &amp; Journalism, The Hebrew University of Jerusalem, Mount Scopus, Jerusalem 91905, Israel",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Blake+Hallinan,https://www.google.com/search?q=Blake+Hallinan+department+of+communication+amp+journalism+the+hebrew+university+of+jerusalem+mount+scopus+jerusalem+israel,white,High,0.006661513,0.022419017,0.014583617,0.95633584,0.95633584,0.022419017,0.9339168,department of communication amp journalism the hebrew university of jerusalem mount scopus jerusalem israel,"Department of Communication &amp; Journalism, The Hebrew University of Jerusalem, Mount Scopus, Jerusalem 91905, Israel",Hebrew University of Jerusalem,Exact,https://ror.org/03qxff017,R,,
5017,10.1093/hcr/hqab018+3.0,10.1093/hcr/hqab018,https://academic.oup.com/hcr/article/48/1/1/6414869,2022,Communicative Resilience of First-Generation College Students During the COVID-19 Pandemic,Human Communication Research,3.0,3.0,Brooke H Wolfe,Brooke,Wolfe,"Department of Communication, University of Washington, Seattle, WA 98195, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Brooke+Wolfe,https://www.google.com/search?q=Brooke+H+Wolfe+department+of+communication+university+of+washington+seattle+wa+usa,female,0.91,1146.0,Low,Brooke H Wolfe,Brooke,Wolfe,"Department of Communication, University of Washington, Seattle, WA 98195, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Brooke+Wolfe,https://www.google.com/search?q=Brooke+H+Wolfe+department+of+communication+university+of+washington+seattle+wa+usa,white,High,0.0042268923,0.0135128,0.024435686,0.95782465,0.95782465,0.024435686,0.93338895,department of communication university of washington seattle wa usa,"Department of Communication, University of Washington, Seattle, WA 98195, USA",University of Washington,Exact,https://ror.org/00cvxb145,R,,
7686,10.1093/ct/qtab019+2.0,10.1093/ct/qtab019,https://academic.oup.com/ct/article/32/1/1/6406430,2022,"Deception as a Bridging Concept in the Study of Disinformation, Misinformation, and Misperceptions: Toward a Holistic Framework",Communication Theory,2.0,2.0,James Stanyer,James,Stanyer,"Department of Communication and Media, Loughborough University , Loughborough,  UK",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=James+Stanyer,https://www.google.com/search?q=James+Stanyer+department+of+communication+and+media+loughborough+university+loughborough+uk,male,0.99,117309.0,High,James Stanyer,James,Stanyer,"Department of Communication and Media, Loughborough University , Loughborough,  UK",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=James+Stanyer,https://www.google.com/search?q=James+Stanyer+department+of+communication+and+media+loughborough+university+loughborough+uk,white,High,0.0044611236,0.10241914,0.02070268,0.8724171,0.8724171,0.10241914,0.76999795,department of communication and media loughborough university loughborough uk,"Department of Communication and Media, Loughborough University , Loughborough,  UK",Loughborough University,Exact,https://ror.org/04vg4w365,R,,
5023,10.1093/hcr/hqab015+1.0,10.1093/hcr/hqab015,https://academic.oup.com/hcr/article/48/1/88/6400637,2022,Breaking the “Virtuous Circle”: How Partisan Communication Flows Can Erode Social Trust but Drive Participation,Human Communication Research,3.0,1.0,Jiyoun Suk,Jiyoun,Suk,"Department of Communication, University of Connecticut, Storrs, CT, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Jiyoun+Suk,https://www.google.com/search?q=Jiyoun+Suk+department+of+communication+university+of+connecticut+storrs+ct+usa,female,0.95,73.0,Low,Jiyoun Suk,Jiyoun,Suk,"Department of Communication, University of Connecticut, Storrs, CT, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Jiyoun+Suk,https://www.google.com/search?q=Jiyoun+Suk+department+of+communication+university+of+connecticut+storrs+ct+usa,api,Low,0.5883227,0.009834813,0.02672166,0.37512082,0.5883227,0.37512082,0.21320188,department of communication university of connecticut storrs ct usa,"Department of Communication, University of Connecticut, Storrs, CT, USA",University of Connecticut,Exact,https://ror.org/02der9h97,R,,
8677,10.1093/jcmc/zmab015+1.0,10.1093/jcmc/zmab015,https://academic.oup.com/jcmc/article/27/1/zmab015/6413702,2022,Social Media Browsing and Adolescent Well-Being: Challenging the “Passive Social Media Use Hypothesis”,Journal of Computer-Mediated Communication,5.0,1.0,Patti M Valkenburg,Patti,Valkenburg,"Amsterdam School of Communication Research, University of Amsterdam ,  The Netherlands",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Patti+Valkenburg,https://www.google.com/search?q=Patti+M+Valkenburg+amsterdam+school+of+communication+research+university+of+amsterdam+the+netherlands,female,0.87,1097.0,Low,Patti M Valkenburg,Patti,Valkenburg,"Amsterdam School of Communication Research, University of Amsterdam ,  The Netherlands",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Patti+Valkenburg,https://www.google.com/search?q=Patti+M+Valkenburg+amsterdam+school+of+communication+research+university+of+amsterdam+the+netherlands,white,High,0.0056134807,0.0114260875,0.03305939,0.9499011,0.9499011,0.03305939,0.91684175,amsterdam school of communication research university of amsterdam the netherlands,"Amsterdam School of Communication Research, University of Amsterdam ,  The Netherlands",University of Amsterdam,Exact,https://ror.org/04dkp9463,R,,
4988,10.1093/hcr/hqac010+5.0,10.1093/hcr/hqac010,https://academic.oup.com/hcr/article/48/3/430/6575847,2022,When Machine and Bandwagon Heuristics Compete: Understanding Users’ Response to Conflicting AI and Crowdsourced Fact-Checking,Human Communication Research,6.0,5.0,Nick Joyce,Nick,Joyce,"Department of Communication, University of Maryland, College Park, MD, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Nick+Joyce,https://www.google.com/search?q=Nick+Joyce+department+of+communication+university+of+maryland+college+park+md+usa,male,0.98,46290.0,High,Nick Joyce,Nick,Joyce,"Department of Communication, University of Maryland, College Park, MD, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Nick+Joyce,https://www.google.com/search?q=Nick+Joyce+department+of+communication+university+of+maryland+college+park+md+usa,white,High,0.0019681703,0.03705618,0.026926301,0.9340494,0.9340494,0.03705618,0.8969932,department of communication university of maryland college park md usa,"Department of Communication, University of Maryland, College Park, MD, USA",University of Mary,Exact,https://ror.org/055f0jp24,R,,
24,10.1093/joc/jqab052+3.0,10.1093/joc/jqab052,https://academic.oup.com/joc/article/72/2/187/6506191,2022,The Effects of Tobacco Coverage in the Public Communication Environment on Young People’s Decisions to Smoke Combustible Cigarettes,Journal of Communication,18.0,3.0,Sherry Emery,Sherry,Emery,"Social Data Collaboratory, NORC-University of Chicago , Chicago, IL 60637,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Sherry+Emery,https://www.google.com/search?q=Sherry+Emery+social+data+collaboratory+norc+university+of+chicago+chicago+il+usa,female,0.9,3544.0,High,Sherry Emery,Sherry,Emery,"Social Data Collaboratory, NORC-University of Chicago , Chicago, IL 60637,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Sherry+Emery,https://www.google.com/search?q=Sherry+Emery+social+data+collaboratory+norc+university+of+chicago+chicago+il+usa,white,High,0.0052590733,0.08228738,0.02567399,0.8867796,0.8867796,0.08228738,0.80449224,social data collaboratory norc university of chicago chicago il usa,"Social Data Collaboratory, NORC-University of Chicago , Chicago, IL 60637,  USA",University of Chicago,Exact,https://ror.org/024mw5h28,R,,
7692,10.1093/ct/qtab011+6.0,10.1093/ct/qtab011,https://academic.oup.com/ct/article/32/1/25/6338420,2022,An Empirical Procedure to Evaluate Misinformation Rejection and Deception in Mediated Communication Contexts,Communication Theory,6.0,6.0,Brian G Southwell,Brian,Southwell,"Center for Communication Science, RTI International , Research Triangle Park, NC 27709,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Brian+Southwell,https://www.google.com/search?q=Brian+G+Southwell+center+for+communication+science+rti+international+research+triangle+park+nc+usa,male,0.99,51483.0,High,Brian G Southwell,Brian,Southwell,"Center for Communication Science, RTI International , Research Triangle Park, NC 27709,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Brian+Southwell,https://www.google.com/search?q=Brian+G+Southwell+center+for+communication+science+rti+international+research+triangle+park+nc+usa,white,High,0.0027909528,0.04234283,0.021548985,0.93331724,0.93331724,0.04234283,0.8909744,center for communication science rti international research triangle park nc usa,"Center for Communication Science, RTI International , Research Triangle Park, NC 27709,  USA",Research Triangle Park Foundation,API_QUERY,https://ror.org/03eqttr49,R,,
32,10.1093/joc/jqab052+11.0,10.1093/joc/jqab052,https://academic.oup.com/joc/article/72/2/187/6506191,2022,The Effects of Tobacco Coverage in the Public Communication Environment on Young People’s Decisions to Smoke Combustible Cigarettes,Journal of Communication,18.0,11.0,Allyson V Levin,Allyson,Levin,"Annenberg School for Communication, University of Pennsylvania , Philadelphia, PA 19104,  USA    Department of Communication, Villanova University , Villanova, PA 19085.  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Allyson+Levin,https://www.google.com/search?q=Allyson+V+Levin+annenberg+school+for+communication+university+of+pennsylvania+philadelphia+pa+usa+department+of+communication+villanova+university+villanova+pa+usa,female,0.92,622.0,Low,Allyson V Levin,Allyson,Levin,"Annenberg School for Communication, University of Pennsylvania , Philadelphia, PA 19104,  USA    Department of Communication, Villanova University , Villanova, PA 19085.  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Allyson+Levin,https://www.google.com/search?q=Allyson+V+Levin+annenberg+school+for+communication+university+of+pennsylvania+philadelphia+pa+usa+department+of+communication+villanova+university+villanova+pa+usa,white,High,0.002854181,0.009464084,0.02386063,0.96382105,0.96382105,0.02386063,0.9399604,annenberg school for communication university of pennsylvania philadelphia pa usa department of communication villanova university villanova pa usa,"Annenberg School for Communication, University of Pennsylvania , Philadelphia, PA 19104,  USA    Department of Communication, Villanova University , Villanova, PA 19085.  USA",University of Pennsylvania,Exact,https://ror.org/00b30xv10,R,,
8672,10.1093/jcmc/zmab019+2.0,10.1093/jcmc/zmab019,https://academic.oup.com/jcmc/article/27/1/zmab019/6427305,2022,"Beyond Anonymity: Network Affordances, Under Deindividuation, Improve Social Media Discussion Quality",Journal of Computer-Mediated Communication,5.0,2.0,Alvin Zhou,Alvin,Zhou,"Annenberg School for Communication, University of Pennsylvania , Philadelphia,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Alvin+Zhou,https://www.google.com/search?q=Alvin+Zhou+annenberg+school+for+communication+university+of+pennsylvania+philadelphia+usa,male,0.99,7714.0,High,Alvin Zhou,Alvin,Zhou,"Annenberg School for Communication, University of Pennsylvania , Philadelphia,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Alvin+Zhou,https://www.google.com/search?q=Alvin+Zhou+annenberg+school+for+communication+university+of+pennsylvania+philadelphia+usa,api,High,0.99892503,0.000102264006,0.0002519059,0.00072082557,0.99892503,0.00072082557,0.99820423,annenberg school for communication university of pennsylvania philadelphia usa,"Annenberg School for Communication, University of Pennsylvania , Philadelphia,  USA",University of Pennsylvania,Exact,https://ror.org/00b30xv10,R,,
