Original Title,Title on Google Scholar,DOI,Year,Citation Link,Citation Counts on Google Scholar
"Open Science, Closed Doors? Countering Marginalization through an Agenda for Ethical, Inclusive Research in Communication","Open science, closed doors? Countering marginalization through an agenda for ethical, inclusive research in communication",10.1093/joc/jqab029,2021,"https://scholar.google.com/scholar?cites=11908329486402137967&as_sdt=5,50&sciodt=0,50&hl=en",31
Towards an Inclusive Agenda of Open Science for Communication Research: A Latin American approach,Towards an inclusive agenda of open science for communication research: A Latin American approach,10.1093/joc/jqab025,2021,"https://scholar.google.com/scholar?cites=4694049949471797132&as_sdt=5,50&sciodt=0,50&hl=en",16
Toward Open Research: A Narrative Review of the Challenges and Opportunities for Open Humanities,Toward open research: A narrative review of the challenges and opportunities for open humanities,10.1093/joc/jqab028,2021,"https://scholar.google.com/scholar?cites=3192922009172309096&as_sdt=5,50&sciodt=0,50&hl=en",9
Integrating Qualitative Methods and Open Science: Five Principles for More Trustworthy Research*,Integrating qualitative methods and open science: Five principles for more trustworthy research,10.1093/joc/jqab026,2021,"https://scholar.google.com/scholar?cites=13342889182077652375&as_sdt=5,50&sciodt=0,50&hl=en",22
"Television, Continuity, and Change: A Meta-Analysis of Five Decades of Cultivation Research","Television, continuity, and change: A meta-analysis of five decades of cultivation research",10.1093/joc/jqab014,2021,"https://scholar.google.com/scholar?cites=15790101618677970839&as_sdt=5,50&sciodt=0,50&hl=en",11
Thematic Co-occurrence Analysis: Advancing a Theory and Qualitative Method to Illuminate Ambivalent Experiences,Thematic co-occurrence analysis: Advancing a theory and qualitative method to illuminate ambivalent experiences,10.1093/joc/jqab015,2021,"https://scholar.google.com/scholar?cites=12103958670684637381&as_sdt=5,50&sciodt=0,50&hl=en",13
Policing the Digital Divide: Institutional Gate-keeping & Criminalizing Digital Inclusion,Policing the Digital Divide: Institutional Gate-keeping & Criminalizing Digital Inclusion,10.1093/joc/jqab019,2021,"https://scholar.google.com/scholar?cites=617334412507980806&as_sdt=5,50&sciodt=0,50&hl=en",3
Transfiguring Theaters for Disrespectable Leisure: An Ethnography on Black Womxn’s Ratchet Performances in Movie Showings of Girls Trip,Transfiguring Theaters for Disrespectable Leisure: An Ethnography on Black Womxn's Ratchet Performances in Movie Showings of Girls Trip,10.1093/joc/jqab016,2021,"https://scholar.google.com/scholar?cites=15637402047644168202&as_sdt=5,50&sciodt=0,50&hl=en",1
Persuasive Message Pretesting Using Non-Behavioral Outcomes: Differences in Attitudinal and Intention Effects as Diagnostic of Differences in Behavioral Effects,Persuasive message pretesting using non-behavioral outcomes: differences in attitudinal and intention effects as diagnostic of differences in behavioral effects,10.1093/joc/jqab017,2021,"https://scholar.google.com/scholar?cites=3615070063858308111&as_sdt=5,50&sciodt=0,50&hl=en",3
A Latent Profile Analysis of Undocumented College Students’ Protection-Oriented Family Communication and Strengths-Based Psychological Coping,A Latent Profile Analysis of Undocumented College Students' Protection-Oriented Family Communication and Strengths-Based Psychological Coping,10.1093/joc/jqab018,2021,"https://scholar.google.com/scholar?cites=18226808112156605392&as_sdt=5,50&sciodt=0,50&hl=en",3
Partisan Bias of Perceived Incivility and its Political Consequences: Evidence from Survey Experiments in Hong Kong,Partisan Bias of Perceived Incivility and its Political Consequences: Evidence from Survey Experiments in Hong Kong,10.1093/joc/jqab008,2021,"https://scholar.google.com/scholar?cites=4941980005562549372&as_sdt=5,50&sciodt=0,50&hl=en",8
The Effects of Person-Centered Social Support Messages on Recipient Distress Over Time within a Conversation,The Effects of Person-Centered Social Support Messages on Recipient Distress Over Time within a Conversation,10.1093/joc/jqab010,2021,"https://scholar.google.com/scholar?cites=8222953514446079995&as_sdt=5,50&sciodt=0,50&hl=en",1
Relational Uncertainty Within Relational Turbulence Theory: The Bifactor Exploratory Structural Equation Model,Relational uncertainty within relational turbulence theory: The bifactor exploratory structural equation model,10.1093/joc/jqab009,2021,"https://scholar.google.com/scholar?cites=10626575821179776609&as_sdt=5,50&sciodt=0,50&hl=en",5
Theorizing Chemical Rhetoric: Toward an Articulation of Chemistry as a Public Vocabulary,Theorizing Chemical Rhetoric: Toward an Articulation of Chemistry as a Public Vocabulary,10.1093/joc/jqab011,2021,"https://scholar.google.com/scholar?q=related:2fgawmaBei8J:scholar.google.com/&scioq=Theorizing+Chemical+Rhetoric:+Toward+an+Articulation+of+Chemistry+as+a+Public+Vocabulary,+Journal+of+Communication,+Robin+E+Jensen&hl=en&as_sdt=0,50",0
Do New Romantic Couples Use More Similar Language Over Time? Evidence from Intensive Longitudinal Text Messages,Do new romantic couples use more similar language over time? Evidence from intensive longitudinal text messages,10.1093/joc/jqab012,2021,"https://scholar.google.com/scholar?cites=8298223390464325323&as_sdt=5,50&sciodt=0,50&hl=en",7
Developing and Validating the Communication Resilience Processes Scale,Developing and validating the communication resilience processes scale,10.1093/joc/jqab013,2021,"https://scholar.google.com/scholar?cites=18116925659052729078&as_sdt=5,50&sciodt=0,50&hl=en",10
How to Capture Reciprocal Communication Dynamics: Comparing Longitudinal Statistical Approaches in Order to Analyze Within- and Between-Person Effects,How to capture reciprocal communication dynamics: Comparing longitudinal statistical approaches in order to analyze within-and between-person effects,10.1093/joc/jqab003,2021,"https://scholar.google.com/scholar?cites=15329278301374286859&as_sdt=5,50&sciodt=0,50&hl=en",14
Examining the Effect of Message Style in Esteem Support Interactions: A Laboratory Investigation,Examining the effect of message style in esteem support interactions: a laboratory investigation,10.1093/joc/jqab001,2021,"https://scholar.google.com/scholar?cites=16857496180453242148&as_sdt=5,50&sciodt=0,50&hl=en",1
Camera Point-of-View Exacerbates Racial Bias in Viewers of Police Use of Force Videos,Camera point-of-view exacerbates racial bias in viewers of police use of force videos,10.1093/joc/jqab002,2021,"https://scholar.google.com/scholar?cites=1859573732222854567&as_sdt=5,50&sciodt=0,50&hl=en",5
A Source Like Any Other? Field and Survey Experiment Evidence on How Interest Groups Shape Public Opinion,A Source Like Any Other? Field and Survey Experiment Evidence on How Interest Groups Shape Public Opinion,10.1093/joc/jqab005,2021,"https://scholar.google.com/scholar?cites=3121173941513767128&as_sdt=5,50&sciodt=0,50&hl=en",9
"Assembling the Networks and Audiences of Disinformation: How Successful Russian IRA Twitter Accounts Built Their Followings, 2015–2017","Assembling the networks and audiences of disinformation: How successful Russian IRA Twitter accounts built their followings, 2015–2017",10.1093/joc/jqaa042,2021,"https://scholar.google.com/scholar?cites=2389170291857033003&as_sdt=5,50&sciodt=0,50&hl=en",18
Stories Collectively Engage Listeners’ Brains: Enhanced Intersubject Correlations during Reception of Personal Narratives,Stories collectively engage listeners' brains: Enhanced intersubject correlations during reception of personal narratives,10.1093/joc/jqab004,2021,"https://scholar.google.com/scholar?cites=15810706021806250681&as_sdt=5,50&sciodt=0,50&hl=en",7
An Agenda for Open Science in Communication,An agenda for open science in communication,10.1093/joc/jqz052,2021,"https://scholar.google.com/scholar?cites=17890373048071865347&as_sdt=5,50&sciodt=0,50&hl=en",127
Latina/o/x Immigrant Youth’s Motivations for Disclosing their Family-Undocumented Experiences to a Teacher(s): A Latent Transition Analysis,Latina/o/x Immigrant Youth's Motivations for Disclosing their Family-Undocumented Experiences to a Teacher (s): A Latent Transition Analysis,10.1093/joc/jqaa036,2021,"https://scholar.google.com/scholar?q=related:c1hdH3J3E_MJ:scholar.google.com/&scioq=Latina/o/x+Immigrant+Youth%E2%80%99s+Motivations+for+Disclosing+their+Family-Undocumented+Experiences+to+a+Teacher(s):+A+Latent+Transition+Analysis,+Journal+of+Communication,+Jennifer+A+Kam&hl=en&as_sdt=0,50",0
Social Media Use and Adolescents’ Self-Esteem: Heading for a Person-Specific Media Effects Paradigm,Social media use and adolescents' self-esteem: Heading for a person-specific media effects paradigm,10.1093/joc/jqaa039,2021,"https://scholar.google.com/scholar?cites=2349365012205209343&as_sdt=5,50&sciodt=0,50&hl=en",73
Seeing Red Through Rose-Colored Glasses: Subjective Hope as a Moderator of the Persuasive Influence of Anger,Seeing red through rose-colored glasses: Subjective hope as a moderator of the persuasive influence of anger,10.1093/joc/jqaa037,2021,"https://scholar.google.com/scholar?cites=1936484789102961534&as_sdt=5,50&sciodt=0,50&hl=en",5
Generational Change in Chinese Journalism: Developing Mannheim’s Theory of Generations for Contemporary Social Conditions,Generational change in chinese journalism: Developing Mannheim's Theory of generations for contemporary social conditions,10.1093/joc/jqaa040,2021,"https://scholar.google.com/scholar?cites=17735682250948782878&as_sdt=5,50&sciodt=0,50&hl=en",8
"Political Humor, Sharing, and Remembering: Insights from Neuroimaging","Political humor, sharing, and remembering: Insights from neuroimaging",10.1093/joc/jqaa041,2021,"https://scholar.google.com/scholar?cites=6639151458871541811&as_sdt=5,50&sciodt=0,50&hl=en",12
Learning from Incidental Exposure to Political Information in Online Environments,Learning from incidental exposure to political information in online environments,10.1093/joc/jqaa031,2020,"https://scholar.google.com/scholar?cites=10479535524407550945&as_sdt=5,50&sciodt=0,50&hl=en",14
Celebrating Your Circle of Life: Eudaimonic Responses to Nostalgic Entertainment Experiences,Celebrating Your Circle of Life: Eudaimonic Responses to Nostalgic Entertainment Experiences,10.1093/joc/jqaa030,2020,"https://scholar.google.com/scholar?cites=775441209941004606&as_sdt=5,50&sciodt=0,50&hl=en",6
Casual Resistance: A Longitudinal Case Study of Video Gaming’s Gendered Construction and Related Audience Perceptions,Casual resistance: a longitudinal case study of video gaming's gendered construction and related audience perceptions,10.1093/joc/jqaa028,2020,"https://scholar.google.com/scholar?cites=18174483847485305850&as_sdt=5,50&sciodt=0,50&hl=en",6
"Specificity, Conflict, and Focal Point: A Systematic Investigation into Social Media Censorship in China","Specificity, conflict, and focal point: a systematic investigation into social media censorship in China",10.1093/joc/jqaa032,2020,"https://scholar.google.com/scholar?cites=9006856514938404634&as_sdt=5,50&sciodt=0,50&hl=en",17
Antecedents and Effects of Parasocial Relationships: A Meta-Analysis,Antecedents and effects of parasocial relationships: A meta-analysis,10.1093/joc/jqaa034,2020,"https://scholar.google.com/scholar?cites=5088207964795666864&as_sdt=5,50&sciodt=0,50&hl=en",44
"Intellectuals Debate #MeToo in China: Legitimizing Feminist Activism, Challenging Gendered Myths, and Reclaiming Feminism",[BOOK] European stories: Intellectual debates on Europe in national contexts,10.1093/joc/jqaa033,2020,"https://scholar.google.com/scholar?cites=6853870533933536006&as_sdt=5,50&sciodt=0,50&hl=en",132
“Anything that Causes Chaos”: The Organizational Behavior of Russia Today (RT),“Anything that causes chaos”: The organizational behavior of Russia Today (RT),10.1093/joc/jqaa027,2020,"https://scholar.google.com/scholar?cites=13450835488115656682&as_sdt=5,50&sciodt=0,50&hl=en",69
"The Value of Not Knowing: Partisan Cue-Taking and Belief Updating of the Uninformed, the Ambiguous, and the Misinformed","The value of not knowing: Partisan cue-taking and belief updating of the uninformed, the ambiguous, and the misinformed",10.1093/joc/jqaa022,2020,"https://scholar.google.com/scholar?cites=4441077178787600832&as_sdt=5,50&sciodt=0,50&hl=en",24
Large-Scale Communication is More Complex and Unpredictable with Automated Bots,Large-scale communication is more complex and unpredictable with automated bots,10.1093/joc/jqaa021,2020,"https://scholar.google.com/scholar?cites=8645058646711104250&as_sdt=5,50&sciodt=0,50&hl=en",2
Processing Ambiguous Social Identity: Disclosure of Identity and Phenotypic Prototypicality Affect Processing and Evaluation of Persuasive Messages,Processing Ambiguous Social Identity: Disclosure of Identity and Phenotypic Prototypicality Affect Processing and Evaluation of Persuasive Messages,10.1093/joc/jqaa024,2020,"https://scholar.google.com/scholar?cites=13962893044807696773&as_sdt=5,50&sciodt=0,50&hl=en",5
Instagram Inspiration: How Upward Comparison on Social Network Sites Can Contribute to Well-Being,Instagram inspiration: How upward comparison on social network sites can contribute to well-being,10.1093/joc/jqaa025,2020,"https://scholar.google.com/scholar?cites=12092942538466851931&as_sdt=5,50&sciodt=0,50&hl=en",61
After All This Time? The Impact of Media and Authoritarian History on Political News Coverage in Twelve Western Countries,After all this time? The impact of media and authoritarian history on political news coverage in twelve western countries,10.1093/joc/jqaa029,2020,"https://scholar.google.com/scholar?cites=1927268852355219263&as_sdt=5,50&sciodt=0,50&hl=en",3
Long-term Persuasive Effects in Narrative Communication Research: A Meta-Analysis,Long-term persuasive effects in narrative communication research: A meta-analysis,10.1093/joc/jqaa017,2020,"https://scholar.google.com/scholar?cites=9874560205586972868&as_sdt=5,50&sciodt=0,50&hl=en",31
Organizational and Individual Innovation Decisions in an Interorganizational System: Social Influence and Decision-Making Authority,Organizational and individual innovation decisions in an interorganizational system: Social influence and decision-making authority,10.1093/joc/jqaa018,2020,"https://scholar.google.com/scholar?cites=6637566332512377274&as_sdt=5,50&sciodt=0,50&hl=en",6
"When Counterarguing Becomes the Primary Task: Examination of Dogmatic Anti-Vaping Messages on Psychological Reactance, Available Cognitive Resources, and Memory","When counterarguing becomes the primary task: Examination of dogmatic anti-vaping messages on psychological reactance, available cognitive resources, and …",10.1093/joc/jqaa010,2020,"https://scholar.google.com/scholar?cites=6310068930496034439&as_sdt=5,50&sciodt=0,50&hl=en",21
Understanding News Coverage of Religious-based Violence: Empirical and Theoretical Insights from Media Representations of Boko Haram in Nigeria,Understanding news coverage of religious-based violence: empirical and theoretical insights from media representations of Boko Haram in Nigeria,10.1093/joc/jqaa011,2020,"https://scholar.google.com/scholar?cites=16029942796847045090&as_sdt=5,50&sciodt=0,50&hl=en",9
Shattering Populists’ Rhetoric with Satire at Elections Times: The Effect of Humorously Holding Populists Accountable for Their Lack of Solutions,Shattering populists' rhetoric with satire at elections times: The effect of humorously holding populists accountable for their lack of solutions,10.1093/joc/jqaa020,2020,"https://scholar.google.com/scholar?cites=16923883839182146351&as_sdt=5,50&sciodt=0,50&hl=en",8
"Past Debates, Fresh Impact on Nano-Enabled Food: A Multigroup Comparison of Presumed Media Influence Model Based on Spillover Effects of Attitude Toward Genetically Modified Food","Past debates, fresh impact on nano-enabled food: A multigroup comparison of presumed media influence model based on spillover effects of attitude toward …",10.1093/joc/jqaa019,2020,"https://scholar.google.com/scholar?cites=13485155294610962216&as_sdt=5,50&sciodt=0,50&hl=en",15
"Less Fragmented Than We Thought? Toward Clarification of a Subdisciplinary Linkage in Communication Science, 2010–2019","Less fragmented than we thought? Toward clarification of a subdisciplinary linkage in communication science, 2010–2019",10.1093/joc/jqaa009,2020,"https://scholar.google.com/scholar?cites=4117644725140100732&as_sdt=5,50&sciodt=0,50&hl=en",27
"Dynamic Transactions Between News Frames and Sociopolitical Events: An Integrative, Hidden Markov Model Approach","Dynamic transactions between news frames and sociopolitical events: an integrative, hidden Markov model approach",10.1093/joc/jqaa015,2020,"https://scholar.google.com/scholar?cites=104975607162766962&as_sdt=5,50&sciodt=0,50&hl=en",7
Marr’s Tri-Level Framework Integrates Biological Explanation Across Communication Subfields,Marr's tri-level framework integrates biological explanation across communication subfields,10.1093/joc/jqaa007,2020,"https://scholar.google.com/scholar?cites=8596787605510368759&as_sdt=5,50&sciodt=0,50&hl=en",16
"Critical Media Effects Framework: Bridging Critical Cultural Communication and Media Effects through Power, Intersectionality, Context, and Agency","Critical media effects framework: Bridging critical cultural communication and media effects through power, intersectionality, context, and agency",10.1093/joc/jqaa014,2020,"https://scholar.google.com/scholar?cites=11560076478371106429&as_sdt=5,50&sciodt=0,50&hl=en",49
Meaning Multiplicity Across Communication Subfields: Bridging the Gaps,Meaning multiplicity across communication subfields: Bridging the gaps,10.1093/joc/jqaa008,2020,"https://scholar.google.com/scholar?cites=4777646666568156195&as_sdt=5,50&sciodt=0,50&hl=en",8
The Extended Theoretical Model of Communal Coping: Understanding the Properties and Functionality of Communal Coping,The extended theoretical model of communal coping: Understanding the properties and functionality of communal coping,10.1093/joc/jqaa006,2020,"https://scholar.google.com/scholar?cites=5829995691453887865&as_sdt=5,50&sciodt=0,50&hl=en",56
A Collaborative Way of Knowing: Bridging Computational Communication Research and Grounded Theory Ethnography,A collaborative way of knowing: Bridging computational communication research and grounded theory ethnography,10.1093/joc/jqaa013,2020,"https://scholar.google.com/scholar?cites=15866861850911931058&as_sdt=5,50&sciodt=0,50&hl=en",17
"Media Prescriptions: Exploring the Therapeutic Effects of Entertainment Media on Stress Relief, Illness Symptoms, and Goal Attainment","Media prescriptions: Exploring the therapeutic effects of entertainment media on stress relief, illness symptoms, and goal attainment",10.1093/joc/jqaa001,2020,"https://scholar.google.com/scholar?cites=2755232445595776965&as_sdt=5,50&sciodt=0,50&hl=en",32
Broadcasting the Movement and Branding Political Microcelebrities: Finnish Anti-Immigration Video Practices on YouTube,Broadcasting the movement and branding political microcelebrities: Finnish anti-immigration video practices on YouTube,10.1093/joc/jqz051,2020,"https://scholar.google.com/scholar?cites=14937064991415758754&as_sdt=5,50&sciodt=0,50&hl=en",23
Time and Meaning-Making in the “Hybrid” Media: Evidence From the 2016 U.S. Election,Time and meaning-making in the “hybrid” media: Evidence from the 2016 US election,10.1093/joc/jqaa003,2020,"https://scholar.google.com/scholar?cites=17689027913030231147&as_sdt=5,50&sciodt=0,50&hl=en",5
Video Game Violence and Interactivity: Effect or Equivalence?,Video game violence and interactivity: Effect or equivalence?,10.1093/joc/jqz048,2020,"https://scholar.google.com/scholar?cites=8814087925673248124&as_sdt=5,50&sciodt=0,50&hl=en",8
Postcolonial Reflexivity in the News Industry: The Case of Foreign Correspondents in Kenya and South Africa,Postcolonial reflexivity in the news industry: The case of foreign correspondents in Kenya and South Africa,10.1093/joc/jqaa004,2020,"https://scholar.google.com/scholar?cites=2344548777914960312&as_sdt=5,50&sciodt=0,50&hl=en",17
Interdependence of Narrative Characters: Implications for Media Theories,Interdependence of narrative characters: Implications for media theories,10.1093/joc/jqaa005,2020,"https://scholar.google.com/scholar?cites=143887462072040066&as_sdt=5,50&sciodt=0,50&hl=en",14
How the Comforting Process Fails: Psychological Reactance to Support Messages,How the comforting process fails: Psychological reactance to support messages,10.1093/joc/jqz040,2020,"https://scholar.google.com/scholar?cites=4274834293722177827&as_sdt=5,50&sciodt=0,50&hl=en",12
"Network Agenda Setting, Partisan Selective Exposure, and Opinion Repertoire: The Effects of Pro- and Counter-Attitudinal Media in Hong Kong","Network agenda setting, partisan selective exposure, and opinion repertoire: The effects of pro-and counter-attitudinal media in Hong Kong",10.1093/joc/jqz042,2020,"https://scholar.google.com/scholar?cites=12159114274954497830&as_sdt=5,50&sciodt=0,50&hl=en",11
"Experts at Coordination: Examining the Performance, Production, and Value of Process Expertise","Experts at coordination: Examining the performance, production, and value of process expertise",10.1093/joc/jqz041,2020,"https://scholar.google.com/scholar?cites=7201530911237003461&as_sdt=5,50&sciodt=0,50&hl=en",19
At the Junction Between Subsistence and Reference: A Pragmatist Take on Interaction Analysis,At the Junction Between Subsistence and Reference: A Pragmatist Take on Interaction Analysis,10.1093/joc/jqz045,2020,"https://scholar.google.com/scholar?cites=12051887726506050422&as_sdt=5,50&sciodt=0,50&hl=en",2
Gender Differences in Political Media Coverage: A Meta-Analysis,Gender differences in political media coverage: A meta-analysis,10.1093/joc/jqz046,2020,"https://scholar.google.com/scholar?cites=11897232727174611940&as_sdt=5,50&sciodt=0,50&hl=en",96
"Toward an Aggregate, Implicit, and Dynamic Model of Norm Formation: Capturing Large-Scale Media Representations of Dynamic Descriptive Norms Through Automated and Crowdsourced Content Analysis","Toward an aggregate, implicit, and dynamic model of norm formation: Capturing large-scale media representations of dynamic descriptive norms through automated …",10.1093/joc/jqz033,2019,"https://scholar.google.com/scholar?cites=2660041350042795564&as_sdt=5,50&sciodt=0,50&hl=en",13
