category,issueURL,TO_EXCLUDE
Articles,https://academic.oup.com/ccc/issue/12/3?browseBy=volume,FALSE
Corrigendum,https://academic.oup.com/jcmc/issue/27/3?browseBy=volume,TRUE
Correction,https://academic.oup.com/ccc/issue/15/2?browseBy=volume,TRUE
Book Reviews: Online only,https://academic.oup.com/joc/issue/72/2?browseBy=volume,TRUE
Presidential Address,https://academic.oup.com/joc/issue/56/3?browseBy=volume,TRUE
Corrigenda,https://academic.oup.com/joc/issue/72/1?browseBy=volume,FALSE
Book Review: Online only,https://academic.oup.com/joc/issue/71/3?browseBy=volume,TRUE
Editorial,https://academic.oup.com/ccc/issue/3/4?browseBy=volume,TRUE
Erratum,https://academic.oup.com/ccc/issue/4/4?browseBy=volume,TRUE
Original Articles,https://academic.oup.com/ccc/issue/1/1?browseBy=volume,FALSE
Book Review: Online Only,https://academic.oup.com/joc/issue/70/5?browseBy=volume,TRUE
Book Review,https://academic.oup.com/ccc/issue/2/3?browseBy=volume,TRUE
Book Reviews: Online Only,https://academic.oup.com/joc/issue/68/3?browseBy=volume,TRUE
Book Reviews,https://academic.oup.com/ccc/issue/1/3?browseBy=volume,TRUE
Original articles,https://academic.oup.com/joc/issue/68/1?browseBy=volume,FALSE
Forum,https://academic.oup.com/ccc/issue/15/2?browseBy=volume,FALSE
Commentaries: Online Only,https://academic.oup.com/joc/issue/68/3?browseBy=volume,TRUE
Book reviews,https://academic.oup.com/ct/issue/11/3?browseBy=volume,TRUE
Introduction,https://academic.oup.com/ccc/issue/13/2?browseBy=volume,TRUE
Editor's Note,https://academic.oup.com/jcmc/issue/23/2?browseBy=volume,TRUE
Afterword,https://academic.oup.com/joc/issue/64/2?browseBy=volume,FALSE
Book-Reviews,https://academic.oup.com/joc/issue/63/2?browseBy=volume,TRUE
Review essay,https://academic.oup.com/joc/issue/61/1?browseBy=volume,TRUE
Review Essay,https://academic.oup.com/joc/issue/43/2?browseBy=volume,TRUE
Index,https://academic.oup.com/ct/issue/16/4?browseBy=volume,TRUE
FOREIGN ABSTRACTS,https://academic.oup.com/joc/issue/57/2?browseBy=volume,TRUE
Research Articles,https://academic.oup.com/jcmc/issue/23/2?browseBy=volume,FALSE
Article,https://academic.oup.com/jcmc/issue/3/2?browseBy=volume,FALSE
Editorial Guidelines,https://academic.oup.com/ct/issue/14/1?browseBy=volume,TRUE
Editorial Consultants Acknowledged,https://academic.oup.com/joc/issue/47/1?browseBy=volume,TRUE
Review Essays,https://academic.oup.com/joc/issue/42/2?browseBy=volume,TRUE
2002 ICA Presidential Address,https://academic.oup.com/joc/issue/53/1?browseBy=volume,TRUE
Authors response,https://academic.oup.com/joc/issue/50/2?browseBy=volume,TRUE
1999 ICA Presidential Address,https://academic.oup.com/joc/issue/49/4?browseBy=volume,TRUE
Review Editor's Note,https://academic.oup.com/joc/issue/49/4?browseBy=volume,TRUE
1998 ICA Presidential Address,https://academic.oup.com/joc/issue/48/4?browseBy=volume,TRUE
Editor's note,https://academic.oup.com/joc/issue/47/1?browseBy=volume,TRUE
1997 Presidential Address,https://academic.oup.com/joc/issue/47/4?browseBy=volume,TRUE
Review Articles,https://academic.oup.com/joc/issue/47/4?browseBy=volume,TRUE
Reserarch Articles,https://academic.oup.com/joc/issue/47/3?browseBy=volume,FALSE
1996 ICA Presidential Address,https://academic.oup.com/joc/issue/47/1?browseBy=volume,TRUE
Editor' Note,https://academic.oup.com/joc/issue/47/1?browseBy=volume,TRUE
Symposium: Dynamic Social Impact Theory and Communication,https://academic.oup.com/joc/issue/46/4?browseBy=volume,FALSE
Research Note,https://academic.oup.com/hcr/issue/28/1?browseBy=volume,FALSE
Acknowledgments,https://academic.oup.com/joc/issue/41/4?browseBy=volume,TRUE
Editorial Announcement,https://academic.oup.com/joc/issue/46/3?browseBy=volume,TRUE
Symposium: Biology and Communication,https://academic.oup.com/joc/issue/46/3?browseBy=volume,FALSE
Symposium: Intellectual Roots of Communication Research,https://academic.oup.com/joc/issue/46/3?browseBy=volume,FALSE
Editorial Announcements,https://academic.oup.com/joc/issue/46/2?browseBy=volume,TRUE
Research Notes,https://academic.oup.com/hcr/issue/47/4?browseBy=volume,FALSE
Notice,https://academic.oup.com/joc/issue/45/4?browseBy=volume,FALSE
Symposium: The Net,https://academic.oup.com/joc/issue/46/1?browseBy=volume,FALSE
Symposium: Horizons of the State: Information Policy and Power,https://academic.oup.com/joc/issue/45/4?browseBy=volume,FALSE
Symposium: Images in Retrospect,https://academic.oup.com/joc/issue/45/2?browseBy=volume,FALSE
Symposium: Focus on Latin America,https://academic.oup.com/joc/issue/44/4?browseBy=volume,FALSE
Acknowledgement,https://academic.oup.com/hcr/issue/23/1?browseBy=volume,TRUE
Symposium: Communication in China,https://academic.oup.com/joc/issue/44/3?browseBy=volume,FALSE
Symposium: Books on Books on Books…,https://academic.oup.com/joc/issue/44/1?browseBy=volume,FALSE
Audiences and Institutions,https://academic.oup.com/joc/issue/43/4?browseBy=volume,FALSE
The Search for a Usable History,https://academic.oup.com/joc/issue/43/4?browseBy=volume,FALSE
The Academic Wars,https://academic.oup.com/joc/issue/43/4?browseBy=volume,FALSE
Acknowledgment,https://academic.oup.com/hcr/issue/24/1?browseBy=volume,TRUE
The Diciplinary Status of Communication Research,https://academic.oup.com/joc/issue/43/3?browseBy=volume,FALSE
"New Directions, New Agendas",https://academic.oup.com/joc/issue/43/3?browseBy=volume,FALSE
Connecting Communication Scholarship to Public Policy,https://academic.oup.com/joc/issue/43/3?browseBy=volume,FALSE
Symposium,https://academic.oup.com/joc/issue/37/1?browseBy=volume,FALSE
