Original Title,Title on Google Scholar,DOI,Citation Link,Citation Counts on Google Scholar
"#GirlGamers, Soldiers, and Public Relations: Analyzing Gender Representation in U.S. Army Esports","# GirlGamers, Soldiers, and Public Relations: Analyzing Gender Representation in US Army Esports",10.1093/joc/jqab051,"https://scholar.google.com/scholar?q=related:Sc71bk6R8UoJ:scholar.google.com/&scioq=10.1093/joc/jqab051&hl=en&as_sdt=0,50",0
What Does #Freedom Look Like? Instagram and the Visual Imagination of Values,What Does# Freedom Look Like? Instagram and the Visual Imagination of Values,10.1093/joc/jqab021,"https://scholar.google.com/scholar?cites=7374738565225185031&as_sdt=5,50&sciodt=0,50&hl=en",3
"Intellectuals Debate #MeToo in China: Legitimizing Feminist Activism, Challenging Gendered Myths, and Reclaiming Feminism","Intellectuals debate# MeToo in China: Legitimizing feminist activism, challenging gendered myths, and reclaiming feminism",10.1093/joc/jqaa033,"https://scholar.google.com/scholar?cites=3659417756344595871&as_sdt=5,50&sciodt=0,50&hl=en",12
"Past Debates, Fresh Impact on Nano-Enabled Food: A Multigroup Comparison of Presumed Media Influence Model Based on Spillover Effects of Attitude Toward Genetically Modified Food","Past debates, fresh impact on nano-enabled food: A multigroup comparison of presumed media influence model based on spillover effects of attitude toward …",10.1093/joc/jqaa019,"https://scholar.google.com/scholar?cites=13485155294610962216&as_sdt=5,50&sciodt=0,50&hl=en",15
"Toward an Aggregate, Implicit, and Dynamic Model of Norm Formation: Capturing Large-Scale Media Representations of Dynamic Descriptive Norms Through Automated and Crowdsourced Content Analysis","Toward an aggregate, implicit, and dynamic model of norm formation: Capturing large-scale media representations of dynamic descriptive norms through automated …",10.1093/joc/jqz033,"https://scholar.google.com/scholar?cites=2660041350042795564&as_sdt=5,50&sciodt=0,50&hl=en",13
"Time to #Protest: Selective Exposure, Cascading Activation, and Framing in Social Media","Time to# protest: Selective exposure, cascading activation, and framing in social media",10.1093/joc/jqy007,"https://scholar.google.com/scholar?cites=3764735905399403629&as_sdt=5,50&sciodt=0,50&hl=en",118
#CommunicationSoWhite,# CommunicationSoWhite,10.1093/joc/jqy003,"https://scholar.google.com/scholar?cites=11180974123718918513&as_sdt=5,50&sciodt=0,50&hl=en",478
"Should Altruism, Solidarity, or Reciprocity be Used as Prosocial Appeals? Contrasting Conceptions of Members of the General Public and Medical Professionals Regarding Promoting Organ Donation","Should altruism, solidarity, or reciprocity be used as prosocial appeals? Contrasting conceptions of members of the general public and medical professionals …",10.1111/jcom.12267,"https://scholar.google.com/scholar?cites=14013244324729181691&as_sdt=5,50&sciodt=0,50&hl=en",19
Hijacking #MYNYPD: Social Media Dissent and Networked Counterpublics,Hijacking# myNYPD: Social media dissent and networked counterpublics,10.1111/jcom.12185,"https://scholar.google.com/scholar?cites=16519636710744917245&as_sdt=5,50&sciodt=0,50&hl=en",358
"Fear and Anger Responses to Local News Coverage of Alcohol-Related Crimes, Accidents, and Injuries: Explaining News Effects on Policy Support Using a Representative Sample of Messages and People","Fear and anger responses to local news coverage of alcohol-related crimes, accidents, and injuries: Explaining news effects on policy support using a representative …",10.1111/jcom.12020,"https://scholar.google.com/scholar?cites=2353302826935641087&as_sdt=5,50&sciodt=0,50&hl=en",65
