,authorID,doi,url,year,title,journal,numberOfAuthors,authorPosition,authorFullName,firstName,lastName,affiliation,gscholarLink,googleSearch,genderize_prob,genderize_basedon,genderAccuracy,api,black,hispanic,white,raceHighest,raceSecondHighest,raceDiff,affProcessed,affiliation.2,ROR_AFFNAME,authorFullName.1,firstName.1,lastName.1,affiliation.1,gscholarLink.1,googleSearch.1,matchMethod,ROR_ID,type,genderize,race,racePredAccuracy,gender_prediction,race_prediction
5035,10.1093/hcr/hqab019+1.0,10.1093/hcr/hqab019,https://academic.oup.com/hcr/article/48/1/158/6423102,2022,Revisiting the Relationship Between Deception and Design: A Replication and Extension of Hancock et al. (2004),Human Communication Research,1,1,David M Markowitz,David,Markowitz,"School of Journalism and Communication, University of Oregon , Eugene, OR,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=David+Markowitz,https://www.google.com/search?q=David+M+Markowitz+school+of+journalism+and+communication+university+of+oregon+eugene+or+usa,0.99,501011,High,0.0026774162,0.017954776,0.017983494,0.96138436,0.96138436,0.017983494,0.94340086,school of journalism and communication university of oregon eugene or usa,"School of Journalism and Communication, University of Oregon , Eugene, OR,  USA",University of Oregon,David M Markowitz,David,Markowitz,"School of Journalism and Communication, University of Oregon , Eugene, OR,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=David+Markowitz,https://www.google.com/search?q=David+M+Markowitz+school+of+journalism+and+communication+university+of+oregon+eugene+or+usa,Exact,https://ror.org/0293rh119,R,male,white,High,M,0
5039,10.1093/hcr/hqab017+4.0,10.1093/hcr/hqab017,https://academic.oup.com/hcr/article/48/1/168/6430395,2022,Replication Note: What is Political Incivility?,Human Communication Research,4,4,Vasundhara Kaul,Vasundhara,Kaul,"Department of Sociology, Purdue University, West Lafayette, IN, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Vasundhara+Kaul,https://www.google.com/search?q=Vasundhara+Kaul+department+of+sociology+purdue+university+west+lafayette+in+usa,1,18,Low,0.16414933,0.1634049,0.025055557,0.6473902,0.6473902,0.16414933,0.48324084,department of sociology purdue university west lafayette in usa,"Department of Sociology, Purdue University, West Lafayette, IN, USA",Purdue University West Lafayette,Vasundhara Kaul,Vasundhara,Kaul,"Department of Sociology, Purdue University, West Lafayette, IN, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Vasundhara+Kaul,https://www.google.com/search?q=Vasundhara+Kaul+department+of+sociology+purdue+university+west+lafayette+in+usa,Exact,https://ror.org/02dqehb95,R,female,white,Low,F,2
7684,10.1093/ct/qtaa035+2.0,10.1093/ct/qtaa035,https://academic.oup.com/ct/article/32/2/243/6132724,2022,Toward a Theoretical Framework of Relational Maintenance in Computer-Mediated Communication,Communication Theory,2,2,Caleb T Carr,Caleb,Carr,"School of Communication, Illinois State University , Normal, IL 61790-0001,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Caleb+Carr,https://www.google.com/search?q=Caleb+T+Carr+school+of+communication+illinois+state+university+normal+il+usa,0.99,1975,Low,0.0040805573,0.18327951,0.04192201,0.7707179,0.7707179,0.18327951,0.5874384,school of communication illinois state university normal il usa,"School of Communication, Illinois State University , Normal, IL 61790-0001,  USA",Illinois State University,Caleb T Carr,Caleb,Carr,"School of Communication, Illinois State University , Normal, IL 61790-0001,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Caleb+Carr,https://www.google.com/search?q=Caleb+T+Carr+school+of+communication+illinois+state+university+normal+il+usa,Exact,https://ror.org/050kcr883,R,male,white,Low,M,0
10680,10.1093/ccc/tcab064+2.0,10.1093/ccc/tcab064,https://academic.oup.com/ccc/article/15/1/1/6446125,2022,Mapping Interventions: Toward a Decolonial and Indigenous Praxis across Communication Subfields,"Communication, Culture and Critique",2,2,Joëlle M Cruz,Joëlle,Cruz,"Department of Communication, University of Colorado, Boulder ,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Joëlle+Cruz,https://www.google.com/search?q=Jo%C3%ABlle+M+Cruz+department+of+communication+university+of+colorado+boulder+usa,0,0,Low,0.041522793,0.0025622873,0.90783775,0.048077196,0.90783775,0.048077196,0.8597605,department of communication university of colorado boulder usa,"Department of Communication, University of Colorado, Boulder ,  USA",University of Colorado Boulder,Joëlle M Cruz,Joëlle,Cruz,"Department of Communication, University of Colorado, Boulder ,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Joëlle+Cruz,https://www.google.com/search?q=Jo%C3%ABlle+M+Cruz+department+of+communication+university+of+colorado+boulder+usa,Exact,https://ror.org/02ttsq026,R,,hispanic,High,F,1
46,10.1093/joc/jqac001+2.0,10.1093/joc/jqac001,https://academic.oup.com/joc/article/72/2/264/6517192,2022,Civil Society Networks and Malaysian Government Reform: Considering Issue Homophily in Interorganizational Relationships,Journal of Communication,3,2,Adam J Saffer,Adam,Saffer,"Hubbard School of Journalism and Mass Communication, University of Minnesota , Minneapolis, MN,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Adam+Saffer,https://www.google.com/search?q=Adam+J+Saffer+hubbard+school+of+journalism+and+mass+communication+university+of+minnesota+minneapolis+mn+usa,0.98,116396,High,0.008305718,0.06434767,0.021101447,0.9062451,0.9062451,0.06434767,0.8418974,hubbard school of journalism and mass communication university of minnesota minneapolis mn usa,"Hubbard School of Journalism and Mass Communication, University of Minnesota , Minneapolis, MN,  USA",University of Minnesota,Adam J Saffer,Adam,Saffer,"Hubbard School of Journalism and Mass Communication, University of Minnesota , Minneapolis, MN,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Adam+Saffer,https://www.google.com/search?q=Adam+J+Saffer+hubbard+school+of+journalism+and+mass+communication+university+of+minnesota+minneapolis+mn+usa,Exact,https://ror.org/017zqws13,R,male,white,High,M,0
5,10.1093/joc/jqac008+2.0,10.1093/joc/jqac008,https://academic.oup.com/joc/article/72/3/345/6549884,2022,Democratic Consequences of Incidental Exposure to Political Information: A Meta-Analysis,Journal of Communication,2,2,Jörg Matthes,Jörg,Matthes,"Department of Communication, University of Vienna , Vienna,  Austria",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Jörg+Matthes,https://www.google.com/search?q=J%C3%B6rg+Matthes+department+of+communication+university+of+vienna+vienna+austria,0.99,628,Low,0.007719859,0.18732795,0.037628986,0.7673232,0.7673232,0.18732795,0.5799953,department of communication university of vienna vienna austria,"Department of Communication, University of Vienna , Vienna,  Austria",University of Vienna,Jörg Matthes,Jörg,Matthes,"Department of Communication, University of Vienna , Vienna,  Austria",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Jörg+Matthes,https://www.google.com/search?q=J%C3%B6rg+Matthes+department+of+communication+university+of+vienna+vienna+austria,Exact,https://ror.org/03prydq77,R,male,white,Low,M,0
17,10.1093/joc/jqab054+3.0,10.1093/joc/jqab054,https://academic.oup.com/joc/article/72/2/145/6509144,2022,Media Systems in the Digital Age: An Empirical Comparison of 30 Countries,Journal of Communication,5,3,Sina Blassnig,Sina,Blassnig,"Department of Communication and Media Research, University of Zurich , Zurich,  Switzerland",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Sina+Blassnig,https://www.google.com/search?q=Sina+Blassnig+department+of+communication+and+media+research+university+of+zurich+zurich+switzerland,0.69,9158,Low,0.005439067,0.00769265,0.023116618,0.9637516,0.9637516,0.023116618,0.94063497,department of communication and media research university of zurich zurich switzerland,"Department of Communication and Media Research, University of Zurich , Zurich,  Switzerland",University of Zurich,Sina Blassnig,Sina,Blassnig,"Department of Communication and Media Research, University of Zurich , Zurich,  Switzerland",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Sina+Blassnig,https://www.google.com/search?q=Sina+Blassnig+department+of+communication+and+media+research+university+of+zurich+zurich+switzerland,Exact,https://ror.org/02crff812,R,female,white,High,F,0
8683,10.1093/jcmc/zmab022+2.0,10.1093/jcmc/zmab022,https://academic.oup.com/jcmc/article/27/1/zmab022/6445224,2022,Talking to Trolls—How Users Respond to a Coordinated Information Operation and Why They’re So Supportive,Journal of Computer-Mediated Communication,3,2,Patrick L Warren,Patrick,Warren,"John E. Walker Department of Economics, Clemson University, Clemson, SC ,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Patrick+Warren,https://www.google.com/search?q=Patrick+L+Warren+john+e+walker+department+of+economics+clemson+university+clemson+sc+usa,0.99,153288,High,0.005073091,0.23005596,0.02185781,0.74301314,0.74301314,0.23005596,0.5129572,john e walker department of economics clemson university clemson sc usa,"John E. Walker Department of Economics, Clemson University, Clemson, SC ,  USA",Clemson University,Patrick L Warren,Patrick,Warren,"John E. Walker Department of Economics, Clemson University, Clemson, SC ,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Patrick+Warren,https://www.google.com/search?q=Patrick+L+Warren+john+e+walker+department+of+economics+clemson+university+clemson+sc+usa,Exact,https://ror.org/037s24f05,R,male,white,Low,M,0
10677,10.1093/ccc/tcac019+1.0,10.1093/ccc/tcac019,https://academic.oup.com/ccc/article/15/2/290/6572110,2022,Migration and the Deep Time of Media Infrastructures,"Communication, Culture and Critique",2,1,Koen Leurs,Koen,Leurs,"Graduate Gender Programme, Department of Media and Culture, Utrecht University Muntstraat 2a, Utrecht, 3512 EV, The Netherlands",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Koen+Leurs,https://www.google.com/search?q=Koen+Leurs+graduate+gender+programme+department+of+media+and+culture+utrecht+university+muntstraat+a+utrecht+ev+the+netherlands,0.99,5013,High,0.013899663,0.12611888,0.039237052,0.82074445,0.82074445,0.12611888,0.69462556,graduate gender programme department of media and culture utrecht university muntstraat a utrecht ev the netherlands,"Graduate Gender Programme, Department of Media and Culture, Utrecht University Muntstraat 2a, Utrecht, 3512 EV, The Netherlands",Utrecht University,Koen Leurs,Koen,Leurs,"Graduate Gender Programme, Department of Media and Culture, Utrecht University Muntstraat 2a, Utrecht, 3512 EV, The Netherlands",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Koen+Leurs,https://www.google.com/search?q=Koen+Leurs+graduate+gender+programme+department+of+media+and+culture+utrecht+university+muntstraat+a+utrecht+ev+the+netherlands,Exact,https://ror.org/04pp8hn57,R,male,white,High,M,0
10665,10.1093/ccc/tcac012+1.0,10.1093/ccc/tcac012,https://academic.oup.com/ccc/article/15/2/122/6565345,2022,"Working with “Wogs”: Aliens, Denizens and the Machinations of Denialism","Communication, Culture and Critique",1,1,Paul Gilroy,Paul,Gilroy,"Sarah Parker Remond Centre for the study of racism and racialisation,  Institute of Advanced Study , UCL",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Paul+Gilroy,https://www.google.com/search?q=Paul+Gilroy+sarah+parker+remond+centre+for+the+study+of+racism+and+racialisation+institute+of+advanced+study+ucl,0.99,148099,High,0.011685212,0.017459197,0.08005839,0.8907972,0.8907972,0.08005839,0.8107388,sarah parker remond centre for the study of racism and racialisation institute of advanced study ucl,"Sarah Parker Remond Centre for the study of racism and racialisation,  Institute of Advanced Study , UCL",Centre for Advanced Study,Paul Gilroy,Paul,Gilroy,"Sarah Parker Remond Centre for the study of racism and racialisation,  Institute of Advanced Study , UCL",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Paul+Gilroy,https://www.google.com/search?q=Paul+Gilroy+sarah+parker+remond+centre+for+the+study+of+racism+and+racialisation+institute+of+advanced+study+ucl,API_QUERY,https://ror.org/05p46v555,R,male,white,High,M,1
