,authorID,doi,url,year,title,journal,numberOfAuthors,authorPosition,authorFullName,firstName,lastName,affiliation,gscholarLink,googleSearch,genderize,genderize_prob,genderize_basedon,genderAccuracy,authorFullName.1,firstName.1,lastName.1,affiliation.1,gscholarLink.1,googleSearch.1,race,racePredAccuracy,api,black,hispanic,white,raceHighest,raceSecondHighest,raceDiff,affProcessed,affiliation.2,ROR_AFFNAME,matchMethod,ROR_ID,type,gender_prediction,race_prediction,,
6,10.1093/joc/jqac011+1.0,10.1093/joc/jqac011,https://academic.oup.com/joc/article/72/3/374/6555289,2022,The Great and Powerful Dr. Oz? Alternative Health Media Consumption and Vaccine Views in the United States,Journal of Communication,4,1,Dominik A Stecula,Dominik,Stecula,"Department of Political Science,  Colorado State University , Fort Collins, CO 80523,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Dominik+Stecula,https://www.google.com/search?q=Dominik+A+Stecula+department+of+political+science+colorado+state+university+fort+collins+co+usa,male,0.99,35410,High,Dominik A Stecula,Dominik,Stecula,"Department of Political Science,  Colorado State University , Fort Collins, CO 80523,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Dominik+Stecula,https://www.google.com/search?q=Dominik+A+Stecula+department+of+political+science+colorado+state+university+fort+collins+co+usa,white,High,0.0029225675,0.0050821663,0.01838182,0.9736134,0.9736134,0.01838182,0.95523155,department of political science colorado state university fort collins co usa,"Department of Political Science,  Colorado State University , Fort Collins, CO 80523,  USA",Colorado State University,Exact,https://ror.org/03k1gpj17,R,M,0,1,
14,10.1093/joc/jqac012+4.0,10.1093/joc/jqac012,https://academic.oup.com/joc/article/72/3/429/6573231,2022,"To Misspecify Is Common, to Probe Misspecification Scientific: Common “Confounds” in Pornography Research May Actually Be Predictors",Journal of Communication,4,4,Bryant Paul,Bryant,Paul,"Communication Science Unit, The Media School, Indiana University , Bloomington, IN,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Bryant+Paul,https://www.google.com/search?q=Bryant+Paul+communication+science+unit+the+media+school+indiana+university+bloomington+in+usa,male,0.98,815,Low,Bryant Paul,Bryant,Paul,"Communication Science Unit, The Media School, Indiana University , Bloomington, IN,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Bryant+Paul,https://www.google.com/search?q=Bryant+Paul+communication+science+unit+the+media+school+indiana+university+bloomington+in+usa,white,Low,0.027228486,0.22485173,0.029209297,0.7187104,0.7187104,0.22485173,0.4938587,communication science unit the media school indiana university bloomington in usa,"Communication Science Unit, The Media School, Indiana University , Bloomington, IN,  USA",Indiana University Bloomington,Exact,https://ror.org/02k40bc56,R,M,0,1,
10667,10.1093/ccc/tcac007+1.0,10.1093/ccc/tcac007,https://academic.oup.com/ccc/article/15/2/157/6570646,2022,"Digitalization, Digitization and Datafication: The ""Three D"" Transformation of Forced Migration Management","Communication, Culture and Critique",1,1,Saskia Witteborn,Saskia,Witteborn,"The Chinese University of Hong Kong, School of Journalism and Communication, CUHK, Shatin, N.T., Hong Kong",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Saskia+Witteborn,https://www.google.com/search?q=Saskia+Witteborn+the+chinese+university+of+hong+kong+school+of+journalism+and+communication+cuhk+shatin+n+t+hong+kong,female,0.98,12358,High,Saskia Witteborn,Saskia,Witteborn,"The Chinese University of Hong Kong, School of Journalism and Communication, CUHK, Shatin, N.T., Hong Kong",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Saskia+Witteborn,https://www.google.com/search?q=Saskia+Witteborn+the+chinese+university+of+hong+kong+school+of+journalism+and+communication+cuhk+shatin+n+t+hong+kong,white,Low,0.0019466531,0.17359401,0.026261553,0.7981978,0.7981978,0.17359401,0.6246038,the chinese university of hong kong school of journalism and communication cuhk shatin n t hong kong,"The Chinese University of Hong Kong, School of Journalism and Communication, CUHK, Shatin, N.T., Hong Kong",Chinese University of Hong Kong,Exact,https://ror.org/00t33hh48,R,F,0,1,
5028,10.1093/hcr/hqab020+3.0,10.1093/hcr/hqab020,https://academic.oup.com/hcr/article/48/1/116/6430397,2022,How Do Individuals in a Radical Echo Chamber React to Opposing Views? Evidence from a Content Analysis of Stormfront,Human Communication Research,4,3,Bharath Ganesh,Bharath,Ganesh,"Centre for Media and Journalism Studies, University of Groningen, Netherlands    PhD Geography, University College London (2017) ,  UK",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Bharath+Ganesh,https://www.google.com/search?q=Bharath+Ganesh+centre+for+media+and+journalism+studies+university+of+groningen+netherlands+phd+geography+university+college+london+uk,male,0.99,508,Low,Bharath Ganesh,Bharath,Ganesh,"Centre for Media and Journalism Studies, University of Groningen, Netherlands    PhD Geography, University College London (2017) ,  UK",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Bharath+Ganesh,https://www.google.com/search?q=Bharath+Ganesh+centre+for+media+and+journalism+studies+university+of+groningen+netherlands+phd+geography+university+college+london+uk,white,Low,0.17024125,0.10635718,0.036443483,0.6869581,0.6869581,0.17024125,0.51671684,centre for media and journalism studies university of groningen netherlands phd geography university college london uk,"Centre for Media and Journalism Studies, University of Groningen, Netherlands    PhD Geography, University College London (2017) ,  UK",University College London,Exact,https://ror.org/02jx3x895,R,M,2,1,
8,10.1093/joc/jqac011+3.0,10.1093/joc/jqac011,https://academic.oup.com/joc/article/72/3/374/6555289,2022,The Great and Powerful Dr. Oz? Alternative Health Media Consumption and Vaccine Views in the United States,Journal of Communication,4,3,Ozan Kuru,Ozan,Kuru,"Department of Communications and New Media, National University of Singapore , Singapore,  Singapore",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Ozan+Kuru,https://www.google.com/search?q=Ozan+Kuru+department+of+communications+and+new+media+national+university+of+singapore+singapore+singapore,male,0.97,18179,High,Ozan Kuru,Ozan,Kuru,"Department of Communications and New Media, National University of Singapore , Singapore,  Singapore",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Ozan+Kuru,https://www.google.com/search?q=Ozan+Kuru+department+of+communications+and+new+media+national+university+of+singapore+singapore+singapore,white,Low,0.47770643,0.0141869085,0.018524356,0.48958224,0.48958224,0.47770643,0.011875808,department of communications and new media national university of singapore singapore singapore,"Department of Communications and New Media, National University of Singapore , Singapore,  Singapore",National University of Singapore,Exact,https://ror.org/01tgyzw49,R,M,0,1,
4985,10.1093/hcr/hqac010+2.0,10.1093/hcr/hqac010,https://academic.oup.com/hcr/article/48/3/430/6575847,2022,When Machine and Bandwagon Heuristics Compete: Understanding Users’ Response to Conflicting AI and Crowdsourced Fact-Checking,Human Communication Research,6,2,Nicholas A Palomares,Nicholas,Palomares,"Department of Communication Studies, University of Texas at Austin , Austin, TX,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Nicholas+Palomares,https://www.google.com/search?q=Nicholas+A+Palomares+department+of+communication+studies+university+of+texas+at+austin+austin+tx+usa,male,0.99,16755,High,Nicholas A Palomares,Nicholas,Palomares,"Department of Communication Studies, University of Texas at Austin , Austin, TX,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Nicholas+Palomares,https://www.google.com/search?q=Nicholas+A+Palomares+department+of+communication+studies+university+of+texas+at+austin+austin+tx+usa,hispanic,High,0.028942155,0.005751593,0.9293252,0.03598107,0.9293252,0.03598107,0.89334416,department of communication studies university of texas at austin austin tx usa,"Department of Communication Studies, University of Texas at Austin , Austin, TX,  USA",The University of Texas at Austin,API_QUERY,https://ror.org/00hj54h04,R,N,3,1,
26,10.1093/joc/jqab052+5.0,10.1093/joc/jqab052,https://academic.oup.com/joc/article/72/2/187/6506191,2022,The Effects of Tobacco Coverage in the Public Communication Environment on Young People’s Decisions to Smoke Combustible Cigarettes,Journal of Communication,18,5,Michelle Jeong,Michelle,Jeong,"Annenberg School for Communication, University of Pennsylvania , Philadelphia, PA 19104,  USA    Department of Health Behavior, Society and Policy, Rutgers University School of Public Health , Piscataway, NJ 08854,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Michelle+Jeong,https://www.google.com/search?q=Michelle+Jeong+annenberg+school+for+communication+university+of+pennsylvania+philadelphia+pa+usa+department+of+health+behavior+society+and+policy+rutgers+university+school+of+public+health+piscataway+nj+usa,female,0.98,66334,High,Michelle Jeong,Michelle,Jeong,"Annenberg School for Communication, University of Pennsylvania , Philadelphia, PA 19104,  USA    Department of Health Behavior, Society and Policy, Rutgers University School of Public Health , Piscataway, NJ 08854,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Michelle+Jeong,https://www.google.com/search?q=Michelle+Jeong+annenberg+school+for+communication+university+of+pennsylvania+philadelphia+pa+usa+department+of+health+behavior+society+and+policy+rutgers+university+school+of+public+health+piscataway+nj+usa,api,High,0.9885699,0.0008962567,0.0060783415,0.0044555403,0.9885699,0.0060783415,0.98249155,annenberg school for communication university of pennsylvania philadelphia pa usa department of health behavior society and policy rutgers university school of public health piscataway nj usa,"Annenberg School for Communication, University of Pennsylvania , Philadelphia, PA 19104,  USA    Department of Health Behavior, Society and Policy, Rutgers University School of Public Health , Piscataway, NJ 08854,  USA",University of Pennsylvania,Exact,https://ror.org/00b30xv10,R,F,2,1,
44,10.1093/joc/jqab048+2.0,10.1093/joc/jqab048,https://academic.oup.com/joc/article/72/2/241/6509143,2022,Self- and Response Efficacy Information in Fear Appeals: A Meta-Analysis,Journal of Communication,2,2,Dolores Albarracín,Dolores,Albarracín,"Annenberg School for Communication, University of Pennsylvania , Philadelphia, PA,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Dolores+Albarracín,https://www.google.com/search?q=Dolores+Albarrac%C3%ADn+annenberg+school+for+communication+university+of+pennsylvania+philadelphia+pa+usa,female,0.98,8341,High,Dolores Albarracín,Dolores,Albarracín,"Annenberg School for Communication, University of Pennsylvania , Philadelphia, PA,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Dolores+Albarracín,https://www.google.com/search?q=Dolores+Albarrac%C3%ADn+annenberg+school+for+communication+university+of+pennsylvania+philadelphia+pa+usa,hispanic,High,0.02513516,0.0012765637,0.9528638,0.020724554,0.9528638,0.02513516,0.92772865,annenberg school for communication university of pennsylvania philadelphia pa usa,"Annenberg School for Communication, University of Pennsylvania , Philadelphia, PA,  USA",University of Pennsylvania,Exact,https://ror.org/00b30xv10,R,F,3,1,
8681,10.1093/jcmc/zmab015+5.0,10.1093/jcmc/zmab015,https://academic.oup.com/jcmc/article/27/1/zmab015/6413702,2022,Social Media Browsing and Adolescent Well-Being: Challenging the “Passive Social Media Use Hypothesis”,Journal of Computer-Mediated Communication,5,5,Loes Keijsers,Loes,Keijsers,"Department of Psychology, Education, and Child Studies, Erasmus University ,  The Netherlands",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Loes+Keijsers,https://www.google.com/search?q=Loes+Keijsers+department+of+psychology+education+and+child+studies+erasmus+university+the+netherlands,female,0.96,1396,Low,Loes Keijsers,Loes,Keijsers,"Department of Psychology, Education, and Child Studies, Erasmus University ,  The Netherlands",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Loes+Keijsers,https://www.google.com/search?q=Loes+Keijsers+department+of+psychology+education+and+child+studies+erasmus+university+the+netherlands,white,High,0.004373567,0.038751252,0.02857813,0.92829704,0.92829704,0.038751252,0.8895458,department of psychology education and child studies erasmus university the netherlands,"Department of Psychology, Education, and Child Studies, Erasmus University ,  The Netherlands",Laboratory for the Psychology of Child Development and Education,API_QUERY,https://ror.org/023kqz006,R,F,0,1,
7689,10.1093/ct/qtab011+3.0,10.1093/ct/qtab011,https://academic.oup.com/ct/article/32/1/25/6338420,2022,An Empirical Procedure to Evaluate Misinformation Rejection and Deception in Mediated Communication Contexts,Communication Theory,6,3,Kevin R Betts,Kevin,Betts,"Center for Drug Evaluation and Research, U.S. Food and Drug Administration , Silver Spring, MD 20993,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Kevin+Betts,https://www.google.com/search?q=Kevin+R+Betts+center+for+drug+evaluation+and+research+u+s+food+and+drug+administration+silver+spring+md+usa,male,0.99,157365,High,Kevin R Betts,Kevin,Betts,"Center for Drug Evaluation and Research, U.S. Food and Drug Administration , Silver Spring, MD 20993,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Kevin+Betts,https://www.google.com/search?q=Kevin+R+Betts+center+for+drug+evaluation+and+research+u+s+food+and+drug+administration+silver+spring+md+usa,white,Low,0.0038914126,0.24555752,0.029631082,0.72092,0.72092,0.24555752,0.4753625,center for drug evaluation and research u s food and drug administration silver spring md usa,"Center for Drug Evaluation and Research, U.S. Food and Drug Administration , Silver Spring, MD 20993,  USA",Center for Drug Evaluation and Research,Exact,https://ror.org/00yf3tm42,R,M,0,1,
