journal,issueURL,volumn,issue,issueText,month,year,category,type,title,url,doi,pages,abstract,abstract_para_num,sci_hub
Journal of Communication,https://academic.oup.com/joc/issue/72/3?browseBy=volume,Volume 72,Issue 3,"Issue 3, June 2022, Pages 297–449",June,2022,Articles,R,The Great and Powerful Dr. Oz? Alternative Health Media Consumption and Vaccine Views in the United States,https://academic.oup.com/joc/article/72/3/374/6555289,10.1093/joc/jqac011,374–400,"Cardiothoracic surgeon Dr. Mehmet Oz, until recently the host of a nationally syndicated U.S. television show, is among the media figures who have espoused health views unsanctioned by established medical authorities such as the Center for Disease Control and Prevention and the Food and Drug Administration. In a large, probability-based national longitudinal study, we examine the prevalence and consequences of consuming alternative health media (AHM), such as The Dr. Oz Show. Drawing on data from a naturally occurring and time-varying quasi-experiment, we demonstrate that such programming may be able to shift the attitudes of its audience on consequential health topics. Specifically, Oz’s endorsement of the MMR vaccine was associated with a shift in acceptance among a segment of his audience. Our study demonstrates both the persuasive power of AHM and its capacity to align the views of its low-knowledge audience members with CDC and FDA-consistent science, should its trusted sources choose to do so.",1,https://sci-hub.se/10.1093/joc/jqac011
Journal of Computer-Mediated Communication,https://academic.oup.com/jcmc/issue/27/3?browseBy=volume,Volume 27,Issue 3,"Issue 3, May 2022",May,2022,Full-length Research Articles,R,Rules for Mediated Romance: A Digital Exploration of How Couples Negotiate Expectations,https://academic.oup.com/jcmc/article/27/3/zmac007/6567657,10.1093/jcmc/zmac007,,"Framed by expectancy violation theory, this study used joint interviews to explore why couples create communication rules for their technology use and what happens if the expectation is violated. Participants’ (n = 36) narratives were analyzed through four coding cycles: in vivo, initial, value, and focused coding. Interviews with romantic couples resulted in three themes: rules are performative, rules reduce conflict, and rules guide modality weaving. During an expectation violation, findings revealed that the magnitude of the violation is first determined by the violator defending their behavior. Then, based on the appraisal process, the couple reframes the rule to better work for their future interactions. Key findings conclude that rules are not rigid; they are fluid and develop naturally over time. This research adds to the literature about how mediated communication transforms the dynamics of romantic relationships as couples explicitly and implicitly create communication rules to help maintain their partnership.",1,https://sci-hub.se/10.1093/jcmc/zmac007
"Communication, Culture and Critique",https://academic.oup.com/ccc/issue/15/2?browseBy=volume,Volume 15,Issue 2,"Issue 2, June 2022, Pages 103–298",June,2022,Forum,M,"Affect, Creativity and Migrant Belonging",https://academic.oup.com/ccc/article/15/2/283/6571686,10.1093/ccc/tcac015,283–289,"Affect and creativity are proposed as offering an important lens for examining the politics of belonging in the everyday lives of migrants and refugees. Mobile emotions are circulated, intensified, and transformed in creative ways through digital media, demanding attention to new opportunities for challenging hierarchies, creating belonging, transforming gendered structures, and reinforcing the foundations of inequality and exclusion.",1,https://sci-hub.se/10.1093/ccc/tcac015
Journal of Communication,https://academic.oup.com/joc/issue/72/2?browseBy=volume,Volume 72,Issue 2,"Issue 2, April 2022, Pages 145–296",April,2022,Articles,R,"#GirlGamers, Soldiers, and Public Relations: Analyzing Gender Representation in U.S. Army Esports",https://academic.oup.com/joc/article/72/2/165/6499883,10.1093/joc/jqab051,165–186,"While interest in esports is widespread across demographic categories, the gendered norms surrounding video game play have been replicated, resulting in a male-dominated space. Scholars argue that broadening representations of gamers is necessary to normalizing women’s presence in esports. As nongaming organizations enter the space, they have a unique opportunity to disrupt established norms through their representations of esports competitors. This study analyzes the representation of U.S. Army Esports (USAE) team members via official social media channels. USAE was created as a public relations tool to engage with a younger audience, redefine the public image of the Army, and recruit soldiers. Using a critical public relations framework and critical discourse analysis, we examine the discourse around gender and esports constructed through USAE’s representation of team members and the role of public relations practice in reinforcing or disrupting existing norms.",1,https://sci-hub.se/10.1093/joc/jqab051
Journal of Communication,https://academic.oup.com/joc/issue/72/3?browseBy=volume,Volume 72,Issue 3,"Issue 3, June 2022, Pages 297–449",June,2022,Articles,R,"To Misspecify Is Common, to Probe Misspecification Scientific: Common “Confounds” in Pornography Research May Actually Be Predictors",https://academic.oup.com/joc/article/72/3/429/6573231,10.1093/joc/jqac012,429–447,"The ills of modeling variables substantively involved in a causal process as “controls” have been discussed extensively by social scientists who do not study media. Until recently, Slater was one of the few communication scientists to suggest that media effects scholars engage in overcontrol. Bushman and Anderson have now echoed this concern in the context of a broader treatise on research trends in the media violence literature. The present study responded to Wright’s recent discussion of control variable usage in the pornography literature. Specifically, using a national probability sample of approximately 1,900 U.S. adults, the present study assessed whether multiple demographic variables routinely modeled as controls in the pornography effects literature may be better conceptualized as initiating predictors. Results were inconsistent with the confounding approach but consistent with the hypothesis that individual differences predict cognitive response states that increase or decrease the likelihood of media effects.",1,https://sci-hub.se/10.1093/joc/jqac012
Journal of Computer-Mediated Communication,https://academic.oup.com/jcmc/issue/27/2?browseBy=volume,Volume 27,Issue 2,"Issue 2, March 2022",March,2022,Full-length Research Articles,R,Measurement of Perceived Importance and Urgency of Email: An Employees’ Perspective,https://academic.oup.com/jcmc/article/27/2/zmac001/6548841,10.1093/jcmc/zmac001,,"This article was motivated by the lack of research, and research instruments, informing academics and practitioners on the email factors used by knowledge workers when triaging their email. This article reports on the development and validation of two measures that categorize the types of emails employees send/receive into two different constructs based on the perceived importance and importance and urgency. The measures were developed using Buss and Craik’s Act Frequency Approach. Analysis determined that our six-item important email and our eight-item important and urgent email scales were both reliable and valid measures of the constructs. Construct validity was demonstrated by embedding our measures in a nomological network linking email demands to employee well-being. The measures were found to be significant predictors of work-role overload, even when the more traditional measures used to quantify the demands imposed on employees by email were taken into account.

Lay Summary

This article presents two scales that can be used to measure the extent to which an employee perceives an email to be: (a) important and (b) both important and urgent. As expected by theory, both measures were found to predict employees’ feelings of being overloaded by their work. The interesting findings from this study are the following. First, employees seem to consider urgent emails to be important, perhaps without consideration to the email’s actual importance to the employee. Second, emails that are both important and urgent usually involve a key stakeholder being impacted if the email is not acted on quickly. Third, important emails are not necessarily considered urgent. To make an email urgent the sender has to explicitly state how the contents of the email will negatively impact key stakeholders. Finally, our findings suggest that reducing the volume of email someone has to process may not, on its own, lead to reduced employee stress. Rather, employers who seek to improve employee well-being should focus their efforts on reducing the volume of emails employees consider to be important and both important and urgent.",3,https://sci-hub.se/10.1093/jcmc/zmac001
Communication Theory,https://academic.oup.com/ct/issue/32/2?browseBy=volume,Volume 32,Issue 2,"Issue 2, May 2022, Pages 179–303",May,2022,Original Articles,R,Beyond Neutrality: Conceptualizing Platform Values,https://academic.oup.com/ct/article/32/2/201/6333289,10.1093/ct/qtab008,201–222,"Social media platforms are prominent sites where values are expressed, contested, and diffused. In this article, we present a conceptual framework for studying the communication of values on and through social media composed of two dimensions: scale (from individual users to global infrastructures) and explicitness (from the most explicit to the invisible). Utilizing the model, we compare the communication of two values—engagement and authenticity—in user-generated content and policy documents on Twitter and Instagram. We find a split between how users and platforms frame these concepts and discuss the strategic role of ambiguity in value discourse, where idealistic meanings invoked by users positively charge the instrumental applications stressed by platforms. We also show how implicit and explicit articulations of the same value can contradict each other. Finally, we reflect upon tensions within the model, as well as the power relations between the personal, cultural, and infrastructural levels of platform values.",1,https://sci-hub.se/10.1093/ct/qtab008
Communication Theory,https://academic.oup.com/ct/issue/32/1?browseBy=volume,Volume 32,Issue 1,"Issue 1, February 2022, Pages 1–178",February,2022,Articles,R,Populism in an Identity Framework: A Feedback Model,https://academic.oup.com/ct/article/32/1/88/6255441,10.1093/ct/qtab003,88–115,"Drawing upon the social psychology concept of identity entrepreneurs (Haslam et al., 2010), we develop a feedback model between politicians and the public that strongly emphasizes the circumstances in which public opinion may facilitate populist discursive elements and politics. We thus consider the success of populism as neither inherently driven by political leaders nor primarily driven by increasing populist attitudes in the public and acknowledge the fragmented nature of the populist discourse emphasized by recent studies. We raise the question of whether there is a populist collective identity, which is accountable in terms of populist rhetorical elements, and how it changes over time. To answer this question, we apply the proposed framework to the case of the rise and development of the populist discourse in Switzerland while accounting for its dynamic adaptation to raising public concerns and for the influence of its core rhetorical elements on individual voting behavior.",1,https://sci-hub.se/10.1093/ct/qtab003
Human Communication Research,https://academic.oup.com/hcr/issue/48/3?browseBy=volume,Volume 48,Issue 3,"Issue 3, July 2022, Pages 379–542",July,2022,Original Research,R,Algorithms and Organizing,https://academic.oup.com/hcr/article/48/3/491/6588142,10.1093/hcr/hqac013,491–515,"Algorithms are a ubiquitous part of organizations as they enable, guide, and restrict organizing at the level of everyday interactions. This essay focuses on algorithms and organizing by reviewing the literature on algorithms in organizations, examining the viewpoint of relationality and relational agency on algorithms and organizing, exploring the properties of algorithms, and concluding what these mean from an organizational communication viewpoint. Algorithms need data to be collected. The data are always biased, and algorithms exclude everything that is not in their code. They define what is seen as important. Their operating principles are opaque, and they are political due to human interference. Algorithms are not just used. Rather, they are co-actors in organizing. We argue that algorithms demand rethinking communication in the communicative constitution of organizations and call for more empirical research emphasizing the properties of algorithms, the relationality of algorithms, and the temporality of the materialization of algorithms.",1,https://sci-hub.se/10.1093/hcr/hqac013
"Communication, Culture and Critique",https://academic.oup.com/ccc/issue/15/1?browseBy=volume,Volume 15,Issue 1,"Issue 1, March 2022, Pages 1–101",March,2022,Original Articles,R,Prison Tech: Imagining the Prison as Lagging Behind and as a Test Bed for Technology Advancement,https://academic.oup.com/ccc/article/15/1/69/6309719,10.1093/ccc/tcab032,69–83,"This article explores the ways in which prisons are imagined as sites of technology development. By attending to expos that showcase prison technologies and constitute “live theatres of technology” (L. Cornfeld, 2018), we carve out ambivalent sociotechnical imaginaries of technological backwardness that are combined with the idea of radical technological innovation to reform the justice system. In doing so, we highlight the prison as one site of technology development and actors at technology trade shows catering to the prison and security sector as platforms for technological mediators that range from corporate prison tech companies to educators as well as representatives of the criminal justice system. The expos emerge as sites where technological development is negotiated through performative sociotechnical imaginaries of prison tech.",1,https://sci-hub.se/10.1093/ccc/tcab032
