authorID,doi,url,year,title,journal,numberOfAuthors,authorPosition,authorFullName,firstName,lastName,affiliation,gscholarLink,googleSearch,genderize,genderize_prob,genderize_basedon,genderAccuracy,authorFullName.1,firstName.1,lastName.1,affiliation.1,gscholarLink.1,googleSearch.1,race,racePredAccuracy,api,black,hispanic,white,raceHighest,raceSecondHighest,raceDiff,affProcessed,affiliation.2,ROR_AFFNAME,matchMethod,ROR_ID,gImageLink,gender_prediction
10.1093/joc/jqz052+20.0,10.1093/joc/jqz052,https://academic.oup.com/joc/article/71/1/1/5803422,2021,An Agenda for Open Science in Communication,Journal of Communication,37.0,20.0,Tim Smits,Tim,Smits,"Institute for Media Studies , KU Leuven, Leuven, 3000,  Belgium",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Tim+Smits,https://www.google.com/search?q=Tim+Smits+institute+for+media+studies+ku+leuven+leuven+belgium,male,0.99,47038.0,High,Tim Smits,Tim,Smits,"Institute for Media Studies , KU Leuven, Leuven, 3000,  Belgium",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Tim+Smits,https://www.google.com/search?q=Tim+Smits+institute+for+media+studies+ku+leuven+leuven+belgium,white,Low,0.004749164,0.2624473,0.024517415,0.70828605,0.70828605,0.2624473,0.44583875,institute for media studies ku leuven leuven belgium,"Institute for Media Studies , KU Leuven, Leuven, 3000,  Belgium",KU Leuven,API_QUERY,https://ror.org/05f950310,https://www.google.com/search?q=Tim+Smits&source=lnms&tbm=isch&sa=X&ved=2ahUKEwjZu9jr1d35AhXdHzQIHcsIBbQQ_AUoAXoECAIQAw&biw=1237&bih=712&dpr=1,
10.1111/j.1468-2885.1995.tb00104.x+1.0,10.1111/j.1468-2885.1995.tb00104.x,https://academic.oup.com/ct/article/5/2/162/4259843,1995,"No Respect? Disciplinarity and Media Studies in Communication
Media Communications vs. Cultural Studies: Overcoming the Divide",Communication Theory,1.0,1.0,Douglas Kellner,Douglas,Kellner,"1 Douglas Kellner is visiting professor at the Department of Journalism and Mass Communication at the University of Tampere, Tampere SF-331 01, Finland, and professor of philosophy at the University of Texas",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Douglas+Kellner,https://www.google.com/search?q=Douglas+Kellner+douglas+kellner+is+visiting+professor+at+the+department+of+journalism+and+mass+communication+at+the+university+of+tampere+tampere+sf+finland+and+professor+of+philosophy+at+the+university+of+texas,male,0.99,9529.0,High,Douglas Kellner,Douglas,Kellner,"1 Douglas Kellner is visiting professor at the Department of Journalism and Mass Communication at the University of Tampere, Tampere SF-331 01, Finland, and professor of philosophy at the University of Texas",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Douglas+Kellner,https://www.google.com/search?q=Douglas+Kellner+douglas+kellner+is+visiting+professor+at+the+department+of+journalism+and+mass+communication+at+the+university+of+tampere+tampere+sf+finland+and+professor+of+philosophy+at+the+university+of+texas,white,High,0.009427804,0.02010432,0.020823963,0.9496439,0.9496439,0.020823963,0.92881995,douglas kellner is visiting professor at the department of journalism and mass communication at the university of tampere tampere sf finland and professor of philosophy at the university of texas,"1 Douglas Kellner is visiting professor at the Department of Journalism and Mass Communication at the University of Tampere, Tampere SF-331 01, Finland, and professor of philosophy at the University of Texas",The University of Texas at Arlington,API_QUERY,https://ror.org/019kgqr73,https://www.google.com/search?q=Douglas+Kellner&source=lnms&tbm=isch&sa=X&ved=2ahUKEwjZu9jr1d35AhXdHzQIHcsIBbQQ_AUoAXoECAIQAw&biw=1237&bih=712&dpr=1,
10.1111/j.1083-6101.2002.tb00139.x+2.0,10.1111/j.1083-6101.2002.tb00139.x,https://academic.oup.com/jcmc/article/7/2/JCMC724/4584235,2002,"Diffusion, Use and Impact of the Internet in Hong Kong: a Chain Process Model",Journal of Computer-Mediated Communication,2.0,2.0,Zhou He,Zhou,He,"2 Associate Professor in the Department of English and Communication at City University of Hong Kong. He was formerly Associate Professor in the School of Journalism and Mass Communication at San Jose State University. His work has appeared in Journalism and Mass Communication Quarterly, International Journal of Public Opinion, Journalism Monographs, Intercultural Communication Studies, Media, Culture and Society, and Gazette",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Zhou+He,https://www.google.com/search?q=Zhou+He+associate+professor+in+the+department+of+english+and+communication+at+city+university+of+hong+kong+he+was+formerly+associate+professor+in+the+school+of+journalism+and+mass+communication+at+san+jose+state+university+his+work+has+appeared+in+journalism+and+mass+communication+quarterly+international+journal+of+public+opinion+journalism+monographs+intercultural+communication+studies+media+culture+and+society+and+gazette,male,0.66,803.0,Low,Zhou He,Zhou,He,"2 Associate Professor in the Department of English and Communication at City University of Hong Kong. He was formerly Associate Professor in the School of Journalism and Mass Communication at San Jose State University. His work has appeared in Journalism and Mass Communication Quarterly, International Journal of Public Opinion, Journalism Monographs, Intercultural Communication Studies, Media, Culture and Society, and Gazette",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Zhou+He,https://www.google.com/search?q=Zhou+He+associate+professor+in+the+department+of+english+and+communication+at+city+university+of+hong+kong+he+was+formerly+associate+professor+in+the+school+of+journalism+and+mass+communication+at+san+jose+state+university+his+work+has+appeared+in+journalism+and+mass+communication+quarterly+international+journal+of+public+opinion+journalism+monographs+intercultural+communication+studies+media+culture+and+society+and+gazette,api,High,0.9917794,0.001541521,0.0028287526,0.0038503201,0.9917794,0.0038503201,0.98792905,associate professor in the department of english and communication at city university of hong kong he was formerly associate professor in the school of journalism and mass communication at san jose state university his work has appeared in journalism and mass communication quarterly international journal of public opinion journalism monographs intercultural communication studies media culture and society and gazette,"2 Associate Professor in the Department of English and Communication at City University of Hong Kong. He was formerly Associate Professor in the School of Journalism and Mass Communication at San Jose State University. His work has appeared in Journalism and Mass Communication Quarterly, International Journal of Public Opinion, Journalism Monographs, Intercultural Communication Studies, Media, Culture and Society, and Gazette",City University of Hong Kong,Exact,https://ror.org/03q8dnn23,https://www.google.com/search?q=Zhou+He&source=lnms&tbm=isch&sa=X&ved=2ahUKEwjZu9jr1d35AhXdHzQIHcsIBbQQ_AUoAXoECAIQAw&biw=1237&bih=712&dpr=1,
10.1111/j.1460-2466.1994.tb00703.x+1.0,10.1111/j.1460-2466.1994.tb00703.x,https://academic.oup.com/joc/article/44/4/132/4160215,1994,Interpreting Visual Versus Audio Messages in Television News,Journal of Communication,3.0,1.0,Ann N. Crigler,Ann,Crigler,"1 Ann N. Crigler is an associate professor in the Department of Political Science at the University of Southern California and adjunct research associate at the Joan Shorenstein Barone Center on Press, Politics, and Public Policy at Harvard University.",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Ann+Crigler,https://www.google.com/search?q=Ann+N.+Crigler+ann+n+crigler+is+an+associate+professor+in+the+department+of+political+science+at+the+university+of+southern+california+and+adjunct+research+associate+at+the+joan+shorenstein+barone+center+on+press+politics+and+public+policy+at+harvard+university,female,0.97,28026.0,High,Ann N. Crigler,Ann,Crigler,"1 Ann N. Crigler is an associate professor in the Department of Political Science at the University of Southern California and adjunct research associate at the Joan Shorenstein Barone Center on Press, Politics, and Public Policy at Harvard University.",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Ann+Crigler,https://www.google.com/search?q=Ann+N.+Crigler+ann+n+crigler+is+an+associate+professor+in+the+department+of+political+science+at+the+university+of+southern+california+and+adjunct+research+associate+at+the+joan+shorenstein+barone+center+on+press+politics+and+public+policy+at+harvard+university,white,High,0.005264369,0.13051851,0.02624824,0.8379689,0.8379689,0.13051851,0.7074504,ann n crigler is an associate professor in the department of political science at the university of southern california and adjunct research associate at the joan shorenstein barone center on press politics and public policy at harvard university,"1 Ann N. Crigler is an associate professor in the Department of Political Science at the University of Southern California and adjunct research associate at the Joan Shorenstein Barone Center on Press, Politics, and Public Policy at Harvard University.",University of Southern California,Exact,https://ror.org/03taz7m60,https://www.google.com/search?q=Ann+Crigler&source=lnms&tbm=isch&sa=X&ved=2ahUKEwjZu9jr1d35AhXdHzQIHcsIBbQQ_AUoAXoECAIQAw&biw=1237&bih=712&dpr=1,
10.1111/j.1460-2466.1956.tb02488.x+1.0,10.1111/j.1460-2466.1956.tb02488.x,https://academic.oup.com/joc/article/6/4/162/4609629,1956,The Employer as a Communicator,Journal of Communication,1.0,1.0,Lionel Crocker,Lionel,Crocker,"1 Lionel Crocker — Professor and Chairman, Department of Speech, Denison University, Grantville, Ohio. Past President Speech Association of America",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Lionel+Crocker,https://www.google.com/search?q=Lionel+Crocker+lionel+crocker+professor+and+chairman+department+of+speech+denison+university+grantville+ohio+past+president+speech+association+of+america,male,0.99,23008.0,High,Lionel Crocker,Lionel,Crocker,"1 Lionel Crocker — Professor and Chairman, Department of Speech, Denison University, Grantville, Ohio. Past President Speech Association of America",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Lionel+Crocker,https://www.google.com/search?q=Lionel+Crocker+lionel+crocker+professor+and+chairman+department+of+speech+denison+university+grantville+ohio+past+president+speech+association+of+america,white,High,0.009155005,0.09875899,0.03627423,0.8558118,0.8558118,0.09875899,0.7570528,lionel crocker professor and chairman department of speech denison university grantville ohio past president speech association of america,"1 Lionel Crocker — Professor and Chairman, Department of Speech, Denison University, Grantville, Ohio. Past President Speech Association of America",Denison University,Exact,https://ror.org/05pqx1c24,https://www.google.com/search?q=Lionel+Crocker&source=lnms&tbm=isch&sa=X&ved=2ahUKEwjZu9jr1d35AhXdHzQIHcsIBbQQ_AUoAXoECAIQAw&biw=1237&bih=712&dpr=1,
10.1111/hcre.12117+1.0,10.1111/hcre.12117,https://academic.oup.com/hcr/article/43/4/518/4670710,2017,Online Information and Communication Systems to Enhance Health Outcomes through Communication Convergence,Human Communication Research,1.0,1.0,Gary L. Kreps,Gary,Kreps,"Department of Communication, Center for Health and Risk Communication, George Mason University, Fairfax, VA 22030, USA,",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Gary+Kreps,https://www.google.com/search?q=Gary+L.+Kreps+department+of+communication+center+for+health+and+risk+communication+george+mason+university+fairfax+va+usa,male,0.99,29381.0,High,Gary L. Kreps,Gary,Kreps,"Department of Communication, Center for Health and Risk Communication, George Mason University, Fairfax, VA 22030, USA,",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Gary+Kreps,https://www.google.com/search?q=Gary+L.+Kreps+department+of+communication+center+for+health+and+risk+communication+george+mason+university+fairfax+va+usa,white,High,0.0054760817,0.0042341957,0.025096964,0.96519274,0.96519274,0.025096964,0.9400958,department of communication center for health and risk communication george mason university fairfax va usa,"Department of Communication, Center for Health and Risk Communication, George Mason University, Fairfax, VA 22030, USA,",George Mason University,Exact,https://ror.org/02jqj7156,https://www.google.com/search?q=Gary+Kreps&source=lnms&tbm=isch&sa=X&ved=2ahUKEwjZu9jr1d35AhXdHzQIHcsIBbQQ_AUoAXoECAIQAw&biw=1237&bih=712&dpr=1,
10.1111/hcre.12085+5.0,10.1111/hcre.12085,https://academic.oup.com/hcr/article/42/3/371/4064727,2016,Mothers' Impact on Daughters' Cardiovascular Reactivity in a High-Threat Context: An Immersive Virtual Environment Study,Human Communication Research,8.0,5.0,Jessica E. Cornick,Jessica,Cornick,"1 Department of Communication, University of California–Santa Barbara, CA, 93106, USA,",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Jessica+Cornick,https://www.google.com/search?q=Jessica+E.+Cornick+department+of+communication+university+of+california+santa+barbara+ca+usa,female,0.98,144795.0,High,Jessica E. Cornick,Jessica,Cornick,"1 Department of Communication, University of California–Santa Barbara, CA, 93106, USA,",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Jessica+Cornick,https://www.google.com/search?q=Jessica+E.+Cornick+department+of+communication+university+of+california+santa+barbara+ca+usa,white,High,0.006146208,0.05469227,0.018805848,0.92035574,0.92035574,0.05469227,0.86566347,department of communication university of california santa barbara ca usa,"1 Department of Communication, University of California–Santa Barbara, CA, 93106, USA,","University of California, Santa Barbara",API_QUERY,https://ror.org/02t274463,https://www.google.com/search?q=Jessica+Cornick&source=lnms&tbm=isch&sa=X&ved=2ahUKEwjZu9jr1d35AhXdHzQIHcsIBbQQ_AUoAXoECAIQAw&biw=1237&bih=712&dpr=1,
10.1111/j.1753-9137.2012.01124.x+1.0,10.1111/j.1753-9137.2012.01124.x,https://academic.oup.com/ccc/article/5/3/372/4054414,2012,Studying Ethnic Minorities' Media Uses: Comparative Conceptual and Methodological Reflections,"Communication, Culture and Critique",4.0,1.0,Alexander Dhoest,Alexander,Dhoest,"1 Communication Studies, University of Antwerp, Antwerp, 2000, Belgium",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Alexander+Dhoest,https://www.google.com/search?q=Alexander+Dhoest+communication+studies+university+of+antwerp+antwerp+belgium,male,0.99,66065.0,High,Alexander Dhoest,Alexander,Dhoest,"1 Communication Studies, University of Antwerp, Antwerp, 2000, Belgium",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Alexander+Dhoest,https://www.google.com/search?q=Alexander+Dhoest+communication+studies+university+of+antwerp+antwerp+belgium,white,High,0.07262569,0.0113235405,0.05928114,0.8567697,0.8567697,0.07262569,0.784144,communication studies university of antwerp antwerp belgium,"1 Communication Studies, University of Antwerp, Antwerp, 2000, Belgium",University of Antwerp,Exact,https://ror.org/008x57b05,https://www.google.com/search?q=Alexander+Dhoest&source=lnms&tbm=isch&sa=X&ved=2ahUKEwjZu9jr1d35AhXdHzQIHcsIBbQQ_AUoAXoECAIQAw&biw=1237&bih=712&dpr=1,
10.1111/j.1753-9137.2010.01072.x+3.0,10.1111/j.1753-9137.2010.01072.x,https://academic.oup.com/ccc/article/3/3/291/4067391,2010,"First Impressions of Sarah Palin: Pit Bulls, Politics, Gender Performance, and a Discursive Media (Re)contextualization","Communication, Culture and Critique",3.0,3.0,Ingrid Bachmann,Ingrid,Bachmann,"1 School of Journalism, University of Texas at Austin, Austin, TX 78712, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Ingrid+Bachmann,https://www.google.com/search?q=Ingrid+Bachmann+school+of+journalism+university+of+texas+at+austin+austin+tx+usa,female,0.98,26843.0,High,Ingrid Bachmann,Ingrid,Bachmann,"1 School of Journalism, University of Texas at Austin, Austin, TX 78712, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Ingrid+Bachmann,https://www.google.com/search?q=Ingrid+Bachmann+school+of+journalism+university+of+texas+at+austin+austin+tx+usa,white,High,0.008804998,0.018031474,0.026216969,0.9469466,0.9469466,0.026216969,0.92072964,school of journalism university of texas at austin austin tx usa,"1 School of Journalism, University of Texas at Austin, Austin, TX 78712, USA",The University of Texas at Austin,API_QUERY,https://ror.org/00hj54h04,https://www.google.com/search?q=Ingrid+Bachmann&source=lnms&tbm=isch&sa=X&ved=2ahUKEwjZu9jr1d35AhXdHzQIHcsIBbQQ_AUoAXoECAIQAw&biw=1237&bih=712&dpr=1,
10.1111/jcom.12083+3.0,10.1111/jcom.12083,https://academic.oup.com/joc/article/64/2/278/4085985,2014,Are You Scared Yet? Evaluating Fear Appeal Messages in Tweets About the Tips Campaign,Journal of Communication,5.0,3.0,Eulàlia P. Abril,Eulàlia,Abril,"1 Health Media Collaboratory, Institute for Health Research and Policy, University of Illinois at Chicago, Chicago, IL, 60612, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Eulàlia+Abril,https://www.google.com/search?q=Eul%C3%A0lia+P.+Abril+health+media+collaboratory+institute+for+health+research+and+policy+university+of+illinois+at+chicago+chicago+il+usa,,0.0,0.0,Low,Eulàlia P. Abril,Eulàlia,Abril,"1 Health Media Collaboratory, Institute for Health Research and Policy, University of Illinois at Chicago, Chicago, IL, 60612, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Eulàlia+Abril,https://www.google.com/search?q=Eul%C3%A0lia+P.+Abril+health+media+collaboratory+institute+for+health+research+and+policy+university+of+illinois+at+chicago+chicago+il+usa,hispanic,Low,0.037157886,0.021949679,0.7374096,0.20348282,0.7374096,0.20348282,0.5339268,health media collaboratory institute for health research and policy university of illinois at chicago chicago il usa,"1 Health Media Collaboratory, Institute for Health Research and Policy, University of Illinois at Chicago, Chicago, IL, 60612, USA",University of Illinois at Chicago,Exact,https://ror.org/02mpq6x41,https://www.google.com/search?q=Eulàlia+Abril&source=lnms&tbm=isch&sa=X&ved=2ahUKEwjZu9jr1d35AhXdHzQIHcsIBbQQ_AUoAXoECAIQAw&biw=1237&bih=712&dpr=1,
