authorID,doi,url,year,title,journal,numberOfAuthors,authorPosition,authorFullName,firstName,lastName,affiliation,gscholarLink,googleSearch,genderize,genderize_prob,genderize_basedon,genderAccuracy,authorFullName.1,firstName.1,lastName.1,affiliation.1,gscholarLink.1,googleSearch.1,race,racePredAccuracy,api,black,hispanic,white,raceHighest,raceSecondHighest,raceDiff,affProcessed,affiliation.2,ROR_AFFNAME,matchMethod,ROR_ID,gImageLink,gender_prediction
10.1111/j.1460-2466.1986.tb01425.x+1.0,10.1111/j.1460-2466.1986.tb01425.x,https://academic.oup.com/joc/article/36/2/73/4282908,1986,An Interactive Media Event: South Korea's Televised “Family Reunion”,Journal of Communication,2.0,1.0,Suk-ho Jun,Suk-ho,Jun,"1 Suk-Ho Jun is a doctoral candidate and Daniel Dayan is Adjunct Professor, both at the Annenberg School of Communications, University of Southern California. The project reported in this article benefited from a grant by the Marklt: Foundation. The authors wish to thank Elihu Katz and Sandra Hall-Hokeach for help in the prr,paration of this article and Carolyn Spicer for editorial assistance",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Suk-ho+Jun,https://www.google.com/search?q=Suk-ho+Jun+suk+ho+jun+is+a+doctoral+candidate+and+daniel+dayan+is+adjunct+professor+both+at+the+annenberg+school+of+communications+university+of+southern+california+the+project+reported+in+this+article+benefited+from+a+grant+by+the+marklt+foundation+the+authors+wish+to+thank+elihu+katz+and+sandra+hall+hokeach+for+help+in+the+prr+paration+of+this+article+and+carolyn+spicer+for+editorial+assistance,male,1.0,6.0,Low,Suk-ho Jun,Suk-ho,Jun,"1 Suk-Ho Jun is a doctoral candidate and Daniel Dayan is Adjunct Professor, both at the Annenberg School of Communications, University of Southern California. The project reported in this article benefited from a grant by the Marklt: Foundation. The authors wish to thank Elihu Katz and Sandra Hall-Hokeach for help in the prr,paration of this article and Carolyn Spicer for editorial assistance",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Suk-ho+Jun,https://www.google.com/search?q=Suk-ho+Jun+suk+ho+jun+is+a+doctoral+candidate+and+daniel+dayan+is+adjunct+professor+both+at+the+annenberg+school+of+communications+university+of+southern+california+the+project+reported+in+this+article+benefited+from+a+grant+by+the+marklt+foundation+the+authors+wish+to+thank+elihu+katz+and+sandra+hall+hokeach+for+help+in+the+prr+paration+of+this+article+and+carolyn+spicer+for+editorial+assistance,white,Low,0.4063483,0.032104593,0.06482749,0.49671957,0.49671957,0.4063483,0.09037128,suk ho jun is a doctoral candidate and daniel dayan is adjunct professor both at the annenberg school of communications university of southern california the project reported in this article benefited from a grant by the marklt foundation the authors wish to thank elihu katz and sandra hall hokeach for help in the prr paration of this article and carolyn spicer for editorial assistance,"1 Suk-Ho Jun is a doctoral candidate and Daniel Dayan is Adjunct Professor, both at the Annenberg School of Communications, University of Southern California. The project reported in this article benefited from a grant by the Marklt: Foundation. The authors wish to thank Elihu Katz and Sandra Hall-Hokeach for help in the prr,paration of this article and Carolyn Spicer for editorial assistance",University of Southern California,Exact,https://ror.org/03taz7m60,https://www.google.com/search?q=Suk-ho+Jun&source=lnms&tbm=isch&sa=X&ved=2ahUKEwjZu9jr1d35AhXdHzQIHcsIBbQQ_AUoAXoECAIQAw&biw=1237&bih=712&dpr=1,
10.1111/j.1460-2466.2004.tb02616.x+4.0,10.1111/j.1460-2466.2004.tb02616.x,https://academic.oup.com/joc/article/54/1/105/4102917,2004,Deriving Lay Models of Uncertainty About Genes' Role in Illness Causation to Guide Communication About Human Genetics,Journal of Communication,6.0,4.0,Celeste Condit,Celeste,Condit,"3 Celeste Condit (PhD, University of Iowa) is a professor and Tina Harris (PhD, University of Kentucky) is an assistant professor in the Department of Speech Communication at the University of Georgia",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Celeste+Condit,https://www.google.com/search?q=Celeste+Condit+celeste+condit+is+a+professor+and+tina+harris+is+an+assistant+professor+in+the+department+of+speech+communication+at+the+university+of+georgia,female,0.95,6947.0,High,Celeste Condit,Celeste,Condit,"3 Celeste Condit (PhD, University of Iowa) is a professor and Tina Harris (PhD, University of Kentucky) is an assistant professor in the Department of Speech Communication at the University of Georgia",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Celeste+Condit,https://www.google.com/search?q=Celeste+Condit+celeste+condit+is+a+professor+and+tina+harris+is+an+assistant+professor+in+the+department+of+speech+communication+at+the+university+of+georgia,white,Low,0.06600629,0.22836226,0.09204543,0.613586,0.613586,0.22836226,0.38522375,celeste condit is a professor and tina harris is an assistant professor in the department of speech communication at the university of georgia,"3 Celeste Condit (PhD, University of Iowa) is a professor and Tina Harris (PhD, University of Kentucky) is an assistant professor in the Department of Speech Communication at the University of Georgia",University of Georgia,Exact,https://ror.org/02bjhwk41,https://www.google.com/search?q=Celeste+Condit&source=lnms&tbm=isch&sa=X&ved=2ahUKEwjZu9jr1d35AhXdHzQIHcsIBbQQ_AUoAXoECAIQAw&biw=1237&bih=712&dpr=1,
10.1093/joc/jqy064+2.0,10.1093/joc/jqy064,https://academic.oup.com/joc/article/69/1/49/5288675,2019,Social Media Expression and the Political Self,Journal of Communication,7.0,2.0,Slgi S Lee,Slgi,Lee,"Department of Communication Studies, University of Michigan, Ann Arbor, MI, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Slgi+Lee,https://www.google.com/search?q=Slgi+S+Lee+department+of+communication+studies+university+of+michigan+ann+arbor+mi+usa,female,1.0,1.0,Low,Slgi S Lee,Slgi,Lee,"Department of Communication Studies, University of Michigan, Ann Arbor, MI, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Slgi+Lee,https://www.google.com/search?q=Slgi+S+Lee+department+of+communication+studies+university+of+michigan+ann+arbor+mi+usa,api,Low,0.42889667,0.19091979,0.019336395,0.36084712,0.42889667,0.36084712,0.06804955,department of communication studies university of michigan ann arbor mi usa,"Department of Communication Studies, University of Michigan, Ann Arbor, MI, USA",University of Michigan–Ann Arbor,API_QUERY,https://ror.org/00jmfr291,https://www.google.com/search?q=Slgi+Lee&source=lnms&tbm=isch&sa=X&ved=2ahUKEwjZu9jr1d35AhXdHzQIHcsIBbQQ_AUoAXoECAIQAw&biw=1237&bih=712&dpr=1,
10.1111/jcom.12337+3.0,10.1111/jcom.12337,https://academic.oup.com/joc/article/67/6/968/4753841,2017,The Polarizing Impact of News Coverage on Populist Attitudes in the Public: Evidence From a Panel Study in Four European Democracies,Journal of Communication,7.0,3.0,Martin Wettstein,Martin,Wettstein,"2 Institute of Mass Communication and Media Research, University of Zurich, Zurich, Switzerland",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Martin+Wettstein,https://www.google.com/search?q=Martin+Wettstein+institute+of+mass+communication+and+media+research+university+of+zurich+zurich+switzerland,male,0.98,180687.0,High,Martin Wettstein,Martin,Wettstein,"2 Institute of Mass Communication and Media Research, University of Zurich, Zurich, Switzerland",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Martin+Wettstein,https://www.google.com/search?q=Martin+Wettstein+institute+of+mass+communication+and+media+research+university+of+zurich+zurich+switzerland,white,High,0.0068282457,0.0041983337,0.022780553,0.96619296,0.96619296,0.022780553,0.9434124,institute of mass communication and media research university of zurich zurich switzerland,"2 Institute of Mass Communication and Media Research, University of Zurich, Zurich, Switzerland",University of Zurich,Exact,https://ror.org/02crff812,https://www.google.com/search?q=Martin+Wettstein&source=lnms&tbm=isch&sa=X&ved=2ahUKEwjZu9jr1d35AhXdHzQIHcsIBbQQ_AUoAXoECAIQAw&biw=1237&bih=712&dpr=1,
10.1111/j.1468-2958.1981.tb00576.x+2.0,10.1111/j.1468-2958.1981.tb00576.x,https://academic.oup.com/hcr/article/7/4/291/4626845,1981,Uniform Messages and Habitual Viewing: Unnecessary Assumptions in Social Reality Effects,Human Communication Research,2.0,2.0,Suzanne Pingree,Suzanne,Pingree,"2 Suzanne Pingree (Ph.D., Stanford University, 1975) is lecturer of women's studies, also at the University of Wisconsin",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Suzanne+Pingree,https://www.google.com/search?q=Suzanne+Pingree+suzanne+pingree+is+lecturer+of+women+s+studies+also+at+the+university+of+wisconsin,female,0.98,9856.0,High,Suzanne Pingree,Suzanne,Pingree,"2 Suzanne Pingree (Ph.D., Stanford University, 1975) is lecturer of women's studies, also at the University of Wisconsin",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Suzanne+Pingree,https://www.google.com/search?q=Suzanne+Pingree+suzanne+pingree+is+lecturer+of+women+s+studies+also+at+the+university+of+wisconsin,white,Low,0.01586769,0.22897783,0.043918088,0.7112365,0.7112365,0.22897783,0.48225865,suzanne pingree is lecturer of women s studies also at the university of wisconsin,"2 Suzanne Pingree (Ph.D., Stanford University, 1975) is lecturer of women's studies, also at the University of Wisconsin",AT&S (Austria),API_QUERY,https://ror.org/0307rp314,https://www.google.com/search?q=Suzanne+Pingree&source=lnms&tbm=isch&sa=X&ved=2ahUKEwjZu9jr1d35AhXdHzQIHcsIBbQQ_AUoAXoECAIQAw&biw=1237&bih=712&dpr=1,
10.1093/joc/jqz052+6.0,10.1093/joc/jqz052,https://academic.oup.com/joc/article/71/1/1/5803422,2021,An Agenda for Open Science in Communication,Journal of Communication,37.0,6.0,Anna Sophie Kümpel,Anna,Kümpel,"Department of Media and Communication, LMU Munich , 80538 Munich,  Germany",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Anna+Kümpel,https://www.google.com/search?q=Anna+Sophie+K%C3%BCmpel+department+of+media+and+communication+lmu+munich+munich+germany,female,0.98,383713.0,High,Anna Sophie Kümpel,Anna,Kümpel,"Department of Media and Communication, LMU Munich , 80538 Munich,  Germany",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Anna+Kümpel,https://www.google.com/search?q=Anna+Sophie+K%C3%BCmpel+department+of+media+and+communication+lmu+munich+munich+germany,white,Low,0.041605365,0.077373095,0.17533086,0.7056907,0.7056907,0.17533086,0.5303598,department of media and communication lmu munich munich germany,"Department of Media and Communication, LMU Munich , 80538 Munich,  Germany",Data:Lab Munich (Germany),API_QUERY,https://ror.org/04jbk1p62,https://www.google.com/search?q=Anna+Kümpel&source=lnms&tbm=isch&sa=X&ved=2ahUKEwjZu9jr1d35AhXdHzQIHcsIBbQQ_AUoAXoECAIQAw&biw=1237&bih=712&dpr=1,
10.1111/j.1460-2466.1973.tb00956.x+1.0,10.1111/j.1460-2466.1973.tb00956.x,https://academic.oup.com/joc/article/23/4/371/4553545,1973,Ambiguity Tolerance and Disordered Communication: Therapeutic Aspects,Journal of Communication,1.0,1.0,Joseph A. Ilardo,Joseph,Ilardo,,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Joseph+Ilardo,https://www.google.com/search?q=Joseph+A.+Ilardo+nan,male,0.99,60259.0,High,Joseph A. Ilardo,Joseph,Ilardo,,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Joseph+Ilardo,https://www.google.com/search?q=Joseph+A.+Ilardo+nan,hispanic,Low,0.09135017,0.019708244,0.5825368,0.30640474,0.5825368,0.30640474,0.27613208,,,,,,https://www.google.com/search?q=Joseph+Ilardo&source=lnms&tbm=isch&sa=X&ved=2ahUKEwjZu9jr1d35AhXdHzQIHcsIBbQQ_AUoAXoECAIQAw&biw=1237&bih=712&dpr=1,
10.1111/j.1460-2466.1982.tb00504.x+1.0,10.1111/j.1460-2466.1982.tb00504.x,https://academic.oup.com/joc/article/32/2/172/4372099,1982,Middle East Conflict as a TV News Scenario: A Formal Analysis,Journal of Communication,2.0,1.0,Richard L. Barton,Richard,Barton,"1 Richard L. Barton is Associate Professor, Department of Speech Communication, the Pennsylvania State University",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Richard+Barton,https://www.google.com/search?q=Richard+L.+Barton+richard+l+barton+is+associate+professor+department+of+speech+communication+the+pennsylvania+state+university,male,0.99,101928.0,High,Richard L. Barton,Richard,Barton,"1 Richard L. Barton is Associate Professor, Department of Speech Communication, the Pennsylvania State University",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Richard+Barton,https://www.google.com/search?q=Richard+L.+Barton+richard+l+barton+is+associate+professor+department+of+speech+communication+the+pennsylvania+state+university,white,High,0.0039120754,0.113154955,0.019988198,0.86294484,0.86294484,0.113154955,0.7497899,richard l barton is associate professor department of speech communication the pennsylvania state university,"1 Richard L. Barton is Associate Professor, Department of Speech Communication, the Pennsylvania State University",Pennsylvania State University,Exact,https://ror.org/04p491231,https://www.google.com/search?q=Richard+Barton&source=lnms&tbm=isch&sa=X&ved=2ahUKEwjZu9jr1d35AhXdHzQIHcsIBbQQ_AUoAXoECAIQAw&biw=1237&bih=712&dpr=1,
10.1111/j.1468-2958.1975.tb00259.x+1.0,10.1111/j.1468-2958.1975.tb00259.x,https://academic.oup.com/hcr/article/1/2/113/4637509,1975,Effects of Dominance Tendencies on Floor Holding and Interruption Behavior in Dyadic Interaction,Human Communication Research,2.0,1.0,William T. Rogers,William,Rogers,1 Queens College,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=William+Rogers,https://www.google.com/search?q=William+T.+Rogers+queens+college,male,0.99,64097.0,High,William T. Rogers,William,Rogers,1 Queens College,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=William+Rogers,https://www.google.com/search?q=William+T.+Rogers+queens+college,white,Low,0.0055338047,0.20485823,0.03528894,0.7543191,0.7543191,0.20485823,0.5494608,queens college,1 Queens College,Queens University of Charlotte,API_QUERY,https://ror.org/02nf34254,https://www.google.com/search?q=William+Rogers&source=lnms&tbm=isch&sa=X&ved=2ahUKEwjZu9jr1d35AhXdHzQIHcsIBbQQ_AUoAXoECAIQAw&biw=1237&bih=712&dpr=1,
10.1093/ccc/tcz013+1.0,10.1093/ccc/tcz013,https://academic.oup.com/ccc/article/12/3/323/5476448,2019,“May the Force Be With You”: Narendra Modi and the Celebritization of Indian Politics,"Communication, Culture and Critique",1.0,1.0,Swapnil Rai,Swapnil,Rai,"Department of Film, Television and Media,  University of Michigan , Ann Arbor, MI 48109-1285,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Swapnil+Rai,https://www.google.com/search?q=Swapnil+Rai+department+of+film+television+and+media+university+of+michigan+ann+arbor+mi+usa,male,0.98,733.0,Low,Swapnil Rai,Swapnil,Rai,"Department of Film, Television and Media,  University of Michigan , Ann Arbor, MI 48109-1285,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Swapnil+Rai,https://www.google.com/search?q=Swapnil+Rai+department+of+film+television+and+media+university+of+michigan+ann+arbor+mi+usa,api,Low,0.76556,0.046870712,0.024480706,0.16308855,0.76556,0.16308855,0.6024714,department of film television and media university of michigan ann arbor mi usa,"Department of Film, Television and Media,  University of Michigan , Ann Arbor, MI 48109-1285,  USA",University of Michigan–Ann Arbor,API_QUERY,https://ror.org/00jmfr291,https://www.google.com/search?q=Swapnil+Rai&source=lnms&tbm=isch&sa=X&ved=2ahUKEwjZu9jr1d35AhXdHzQIHcsIBbQQ_AUoAXoECAIQAw&biw=1237&bih=712&dpr=1,
