index,haley,michelle,jeff,jaemin,jongmin,matthew,Same,authorID,doi,url,year,title,journal,numberOfAuthors,authorPosition,authorFullName,firstName,lastName,affiliation,gscholarLink,googleSearch,genderize,genderize_prob,genderize_basedon,genderAccuracy,authorFullName.1,firstName.1,lastName.1,affiliation.1,gscholarLink.1,googleSearch.1,race,racePredAccuracy,api,black,hispanic,white,raceHighest,raceSecondHighest,raceDiff,race_prediction
4,0,0,0,0,0,2,FALSE,10.1111/j.1460-2466.2006.00017.x+3.0,10.1111/j.1460-2466.2006.00017.x,https://academic.oup.com/joc/article/56/2/235/4070458,2006,Television Dramas and Support for Controversial Public Policies: Effects and Mechanisms,Journal of Communication,3,3,Marilee Long,Marilee,Long,"2 Department of Journalism and Technical Communication, Colorado State University, Fort Collins, Colorado 80523-1785",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Marilee+Long,https://www.google.com/search?q=Marilee+Long+department+of+journalism+and+technical+communication+colorado+state+university+fort+collins+colorado,female,0.96,48,Low,Marilee Long,Marilee,Long,"2 Department of Journalism and Technical Communication, Colorado State University, Fort Collins, Colorado 80523-1785",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Marilee+Long,https://www.google.com/search?q=Marilee+Long+department+of+journalism+and+technical+communication+colorado+state+university+fort+collins+colorado,white,High,0.020227086,0.12737153,0.012954124,0.8394473,0.8394473,0.12737153,0.71207577,
8,0,0,0,0,0,2,FALSE,10.1111/cccr.12160+1.0,10.1111/cccr.12160,https://academic.oup.com/ccc/article/10/2/280/3956600,2017,Participatory Media and Discourse in Heritage Museums: Co-constructing the Public Sphere?,"Communication, Culture and Critique",1,1,Chaim Noy,Chaim,Noy,"1 Department of Tourism Studies, Ashkelon Academic College, Ashkelon, 78211, Israel",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Chaim+Noy,https://www.google.com/search?q=Chaim+Noy+department+of+tourism+studies+ashkelon+academic+college+ashkelon+israel,male,0.86,155,Low,Chaim Noy,Chaim,Noy,"1 Department of Tourism Studies, Ashkelon Academic College, Ashkelon, 78211, Israel",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Chaim+Noy,https://www.google.com/search?q=Chaim+Noy+department+of+tourism+studies+ashkelon+academic+college+ashkelon+israel,white,Low,0.12305475,0.059915118,0.06637369,0.7506564,0.7506564,0.12305475,0.6276017,
23,2,2,3,2,2,2,FALSE,10.1111/j.1460-2466.1980.tb02015.x+2.0,10.1111/j.1460-2466.1980.tb02015.x,https://academic.oup.com/joc/article/30/4/50/4371884,1980,Programming for Development in Indonesia,Journal of Communication,2,2,Alfian,,Alfian,"2 National Institute of Economic and Social Research, Indonesian Institute of Sciences, Jakarta, Indonesia",,https://www.google.com/search?q=+Alfian+national+institute+of+economic+and+social+research+indonesian+institute+of+sciences+jakarta+indonesia,,,,High,Alfian,,Alfian,"2 National Institute of Economic and Social Research, Indonesian Institute of Sciences, Jakarta, Indonesia",,https://www.google.com/search?q=+Alfian+national+institute+of+economic+and+social+research+indonesian+institute+of+sciences+jakarta+indonesia,hispanic,Low,0.07142211,0.023710024,0.6840147,0.22085324,0.6840147,0.22085324,0.46316144,
31,2,2,5,2,2,2,FALSE,10.1111/j.1468-2958.2003.tb00839.x+2.0,10.1111/j.1468-2958.2003.tb00839.x,https://academic.oup.com/hcr/article/29/2/275/4331485,2003,When Validity Testing Lacks Validity: Comment on Levine et al.,Human Communication Research,2,2,Narayan S. Raja,Narayan,Raja,1 University of Hawaii at Manoa,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Narayan+Raja,https://www.google.com/search?q=Narayan+S.+Raja+university+of+hawaii+at+manoa,male,0.98,381,Low,Narayan S. Raja,Narayan,Raja,1 University of Hawaii at Manoa,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Narayan+Raja,https://www.google.com/search?q=Narayan+S.+Raja+university+of+hawaii+at+manoa,api,High,0.8470405,0.038247414,0.015261327,0.09945065,0.8470405,0.09945065,0.7475898,
71,0,0,0,3,0,0,FALSE,10.1111/j.1468-2885.1996.tb00120.x+4.0,10.1111/j.1468-2885.1996.tb00120.x,https://academic.oup.com/ct/article/6/1/60/4259000,1996,Connective and Communal Public Goods in Interactive Communication Systems,Communication Theory,5,4,Peter R. Monge,Peter,Monge,"1 Janet Fulk is associate professor and associate director; Andrew Flanagin, Michael E. Kalman and Timothy Ryan are doctoral students, and Peter Monge is professor in the Annenberg School for Communication, University of Southern California, Los Angeles, CA 90089",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Peter+Monge,https://www.google.com/search?q=Peter+R.+Monge+janet+fulk+is+associate+professor+and+associate+director+andrew+flanagin+michael+e+kalman+and+timothy+ryan+are+doctoral+students+and+peter+monge+is+professor+in+the+annenberg+school+for+communication+university+of+southern+california+los+angeles+ca,male,0.99,165452,High,Peter R. Monge,Peter,Monge,"1 Janet Fulk is associate professor and associate director; Andrew Flanagin, Michael E. Kalman and Timothy Ryan are doctoral students, and Peter Monge is professor in the Annenberg School for Communication, University of Southern California, Los Angeles, CA 90089",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Peter+Monge,https://www.google.com/search?q=Peter+R.+Monge+janet+fulk+is+associate+professor+and+associate+director+andrew+flanagin+michael+e+kalman+and+timothy+ryan+are+doctoral+students+and+peter+monge+is+professor+in+the+annenberg+school+for+communication+university+of+southern+california+los+angeles+ca,hispanic,Low,0.018863285,0.104924075,0.7025722,0.17364034,0.7025722,0.17364034,0.52893186,
72,2,2,3,2,2,0,FALSE,10.1111/j.1468-2958.2006.00001.x+7.0,10.1111/j.1468-2958.2006.00001.x,https://academic.oup.com/hcr/article/32/1/1/4210712,2006,Socially Optimized Learning in a Virtual Environment: Reducing Risky Sexual Behavior Among Men Who Have Sex With Men,Human Communication Research,7,7,Anila Putcha,Anila,Putcha,"1 Department of Psychology, University of Southern California, Los Angeles, CA 90089-1061",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Anila+Putcha,https://www.google.com/search?q=Anila+Putcha+department+of+psychology+university+of+southern+california+los+angeles+ca,female,0.96,693,Low,Anila Putcha,Anila,Putcha,"1 Department of Psychology, University of Southern California, Los Angeles, CA 90089-1061",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Anila+Putcha,https://www.google.com/search?q=Anila+Putcha+department+of+psychology+university+of+southern+california+los+angeles+ca,white,High,0.009996311,0.083802894,0.034438383,0.8717624,0.8717624,0.083802894,0.7879595,
87,2,2,3,2,2,2,FALSE,10.1111/hcre.12094+1.0,10.1111/hcre.12094,https://academic.oup.com/hcr/article/43/1/25/4064769,2017,Talking Health with a Machine: How Does Message Interactivity Affect Attitudes and Cognitions?,Human Communication Research,2,1,Saraswathi Bellur,Saraswathi,Bellur,"1 Department of Communication, University of Connecticut, Storrs, CT, 06269, USA,",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Saraswathi+Bellur,https://www.google.com/search?q=Saraswathi+Bellur+department+of+communication+university+of+connecticut+storrs+ct+usa,female,1,42,Low,Saraswathi Bellur,Saraswathi,Bellur,"1 Department of Communication, University of Connecticut, Storrs, CT, 06269, USA,",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Saraswathi+Bellur,https://www.google.com/search?q=Saraswathi+Bellur+department+of+communication+university+of+connecticut+storrs+ct+usa,white,Low,0.015650297,0.299932,0.03261282,0.6518049,0.6518049,0.299932,0.35187292,
95,4,4,0,4,4,2,FALSE,10.1111/j.1468-2885.1991.tb00004.x+1.0,10.1111/j.1468-2885.1991.tb00004.x,https://academic.oup.com/ct/article/1/1/44/4430812,1991,Is Comparative Communication Theory Possible/Desirable?,Communication Theory,1,1,Majid Tehranian,Majid,Tehranian,"1 Majid Tehranian is a professor in the Department of Communication and Director of Institute for Peace, University of Hawaii at Manoa, Honolulu, HI 96822. Without implicating them in his own errors, the author wishes to thank the participants in the Comparative Communication Theory Workshop at the Annual Conference of International Communication Association, May 25-29, 1989, where the original draft of this article was presented. Special thanks are due to Andrew Arno, Robert Craig, Brenda Dervin, Gary Fontaine, Johan Galtung, Paul Heinberg, Klaus Krippendorl and Dan Wedemeyer for their helpful comments",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Majid+Tehranian,https://www.google.com/search?q=Majid+Tehranian+majid+tehranian+is+a+professor+in+the+department+of+communication+and+director+of+institute+for+peace+university+of+hawaii+at+manoa+honolulu+hi+without+implicating+them+in+his+own+errors+the+author+wishes+to+thank+the+participants+in+the+comparative+communication+theory+workshop+at+the+annual+conference+of+international+communication+association+may+where+the+original+draft+of+this+article+was+presented+special+thanks+are+due+to+andrew+arno+robert+craig+brenda+dervin+gary+fontaine+johan+galtung+paul+heinberg+klaus+krippendorl+and+dan+wedemeyer+for+their+helpful+comments,male,0.98,9133,High,Majid Tehranian,Majid,Tehranian,"1 Majid Tehranian is a professor in the Department of Communication and Director of Institute for Peace, University of Hawaii at Manoa, Honolulu, HI 96822. Without implicating them in his own errors, the author wishes to thank the participants in the Comparative Communication Theory Workshop at the Annual Conference of International Communication Association, May 25-29, 1989, where the original draft of this article was presented. Special thanks are due to Andrew Arno, Robert Craig, Brenda Dervin, Gary Fontaine, Johan Galtung, Paul Heinberg, Klaus Krippendorl and Dan Wedemeyer for their helpful comments",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Majid+Tehranian,https://www.google.com/search?q=Majid+Tehranian+majid+tehranian+is+a+professor+in+the+department+of+communication+and+director+of+institute+for+peace+university+of+hawaii+at+manoa+honolulu+hi+without+implicating+them+in+his+own+errors+the+author+wishes+to+thank+the+participants+in+the+comparative+communication+theory+workshop+at+the+annual+conference+of+international+communication+association+may+where+the+original+draft+of+this+article+was+presented+special+thanks+are+due+to+andrew+arno+robert+craig+brenda+dervin+gary+fontaine+johan+galtung+paul+heinberg+klaus+krippendorl+and+dan+wedemeyer+for+their+helpful+comments,white,High,0.0069394303,0.038386527,0.022011667,0.93266237,0.93266237,0.038386527,0.89427584,
0,3,3,3,3,3,3,TRUE,10.1111/jcc4.12196+2.0,10.1111/jcc4.12196,https://academic.oup.com/jcmc/article/22/5/284/4666430,2017,Digital News Consumption and Copyright Intervention: Evidence from Spain before and after the 2015 “Link Tax”,Journal of Computer-Mediated Communication,3,2,Ana S. Cardenal,Ana,Cardenal,"Deparment of Law and Politics, Universitat Oberta de Catalunya, Av. Carl Friedich Gauss, 5 Parc Mediterrani de la Tecnologia, Edifici, B3 08860, Castelldefels, Spain,",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Ana+Cardenal,https://www.google.com/search?q=Ana+S.+Cardenal+deparment+of+law+and+politics+universitat+oberta+de+catalunya+av+carl+friedich+gauss+parc+mediterrani+de+la+tecnologia+edifici+b+castelldefels+spain,female,0.98,273767,High,Ana S. Cardenal,Ana,Cardenal,"Deparment of Law and Politics, Universitat Oberta de Catalunya, Av. Carl Friedich Gauss, 5 Parc Mediterrani de la Tecnologia, Edifici, B3 08860, Castelldefels, Spain,",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Ana+Cardenal,https://www.google.com/search?q=Ana+S.+Cardenal+deparment+of+law+and+politics+universitat+oberta+de+catalunya+av+carl+friedich+gauss+parc+mediterrani+de+la+tecnologia+edifici+b+castelldefels+spain,hispanic,High,0.009092633,0.010309898,0.8755022,0.10509521,0.8755022,0.10509521,0.770407,
1,0,0,0,0,0,0,TRUE,10.1111/cccr.12102+1.0,10.1111/cccr.12102,https://academic.oup.com/ccc/article/8/4/613/3979319,2015,Soap Operas and Artistic Legitimation: The Role of Critical Commentary,"Communication, Culture and Critique",4,1,C. Lee Harrington,Lee,Harrington,"1 Department of Sociology &amp; Gerontology, Miami University, Oxford, OH, 45056, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Lee+Harrington,https://www.google.com/search?q=C.+Lee+Harrington+department+of+sociology+amp+gerontology+miami+university+oxford+oh+usa,male,0.8,38767,Low,C. Lee Harrington,Lee,Harrington,"1 Department of Sociology &amp; Gerontology, Miami University, Oxford, OH, 45056, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Lee+Harrington,https://www.google.com/search?q=C.+Lee+Harrington+department+of+sociology+amp+gerontology+miami+university+oxford+oh+usa,white,High,0.005462068,0.16240446,0.018282311,0.81385124,0.81385124,0.16240446,0.65144676,
