authorID,doi,url,year,title,journal,numberOfAuthors,authorPosition,authorFullName,firstName,lastName,affiliation,gscholarLink,googleSearch,genderize,genderize_prob,genderize_basedon,genderAccuracy,authorFullName.1,firstName.1,lastName.1,affiliation.1,gscholarLink.1,googleSearch.1,race,racePredAccuracy,api,black,hispanic,white,raceHighest,raceSecondHighest,raceDiff,affProcessed,affiliation.2,ROR_AFFNAME,matchMethod,ROR_ID,type,race_prediction
10.1111/jcc4.12196+2.0,10.1111/jcc4.12196,https://academic.oup.com/jcmc/article/22/5/284/4666430,2017,Digital News Consumption and Copyright Intervention: Evidence from Spain before and after the 2015 “Link Tax”,Journal of Computer-Mediated Communication,3.0,2.0,Ana S. Cardenal,Ana,Cardenal,"Deparment of Law and Politics, Universitat Oberta de Catalunya, Av. Carl Friedich Gauss, 5 Parc Mediterrani de la Tecnologia, Edifici, B3 08860, Castelldefels, Spain,",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Ana+Cardenal,https://www.google.com/search?q=Ana+S.+Cardenal+deparment+of+law+and+politics+universitat+oberta+de+catalunya+av+carl+friedich+gauss+parc+mediterrani+de+la+tecnologia+edifici+b+castelldefels+spain,female,0.98,273767.0,High,Ana S. Cardenal,Ana,Cardenal,"Deparment of Law and Politics, Universitat Oberta de Catalunya, Av. Carl Friedich Gauss, 5 Parc Mediterrani de la Tecnologia, Edifici, B3 08860, Castelldefels, Spain,",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Ana+Cardenal,https://www.google.com/search?q=Ana+S.+Cardenal+deparment+of+law+and+politics+universitat+oberta+de+catalunya+av+carl+friedich+gauss+parc+mediterrani+de+la+tecnologia+edifici+b+castelldefels+spain,hispanic,High,0.009092633,0.010309898,0.8755022,0.10509521,0.8755022,0.10509521,0.770407,deparment of law and politics universitat oberta de catalunya av carl friedich gauss parc mediterrani de la tecnologia edifici b castelldefels spain,"Deparment of Law and Politics, Universitat Oberta de Catalunya, Av. Carl Friedich Gauss, 5 Parc Mediterrani de la Tecnologia, Edifici, B3 08860, Castelldefels, Spain,",Open University of Catalonia,API_QUERY,https://ror.org/01f5wp925,R,
10.1111/cccr.12102+1.0,10.1111/cccr.12102,https://academic.oup.com/ccc/article/8/4/613/3979319,2015,Soap Operas and Artistic Legitimation: The Role of Critical Commentary,"Communication, Culture and Critique",4.0,1.0,C. Lee Harrington,Lee,Harrington,"1 Department of Sociology &amp; Gerontology, Miami University, Oxford, OH, 45056, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Lee+Harrington,https://www.google.com/search?q=C.+Lee+Harrington+department+of+sociology+amp+gerontology+miami+university+oxford+oh+usa,male,0.8,38767.0,Low,C. Lee Harrington,Lee,Harrington,"1 Department of Sociology &amp; Gerontology, Miami University, Oxford, OH, 45056, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Lee+Harrington,https://www.google.com/search?q=C.+Lee+Harrington+department+of+sociology+amp+gerontology+miami+university+oxford+oh+usa,white,High,0.005462068,0.16240446,0.018282311,0.81385124,0.81385124,0.16240446,0.65144676,department of sociology amp gerontology miami university oxford oh usa,"1 Department of Sociology &amp; Gerontology, Miami University, Oxford, OH, 45056, USA",Miami University,Exact,https://ror.org/05nbqxr67,R,
10.1111/j.1460-2466.1957.tb00276.x+1.0,10.1111/j.1460-2466.1957.tb00276.x,https://academic.oup.com/joc/article/7/4/161/4609676,1957,"Change, Meaning, and Information",Journal of Communication,1.0,1.0,Dale D. Drum,Dale,Drum,"1 Associate Editor, Journal Of Communication; Department of Speech, Long Beach State College, Long Beach, California",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Dale+Drum,https://www.google.com/search?q=Dale+D.+Drum+associate+editor+journal+of+communication+department+of+speech+long+beach+state+college+long+beach+california,male,0.93,5104.0,High,Dale D. Drum,Dale,Drum,"1 Associate Editor, Journal Of Communication; Department of Speech, Long Beach State College, Long Beach, California",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Dale+Drum,https://www.google.com/search?q=Dale+D.+Drum+associate+editor+journal+of+communication+department+of+speech+long+beach+state+college+long+beach+california,white,High,0.003691761,0.026417015,0.019771308,0.9501199,0.9501199,0.026417015,0.9237029,associate editor journal of communication department of speech long beach state college long beach california,"1 Associate Editor, Journal Of Communication; Department of Speech, Long Beach State College, Long Beach, California","California State University, Long Beach",API_QUERY,https://ror.org/0080fxk18,R,
10.1111/jcc4.12000+3.0,10.1111/jcc4.12000,https://academic.oup.com/jcmc/article/18/2/113/4067481,2013,The Emerging Governance of E-Infrastructure,Journal of Computer-Mediated Communication,5.0,3.0,Eric T. Meyer,Eric,Meyer,"2 Oxford Internet Institute, University of Oxford, United Kingdom",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Eric+Meyer,https://www.google.com/search?q=Eric+T.+Meyer+oxford+internet+institute+university+of+oxford+united+kingdom,male,0.99,135071.0,High,Eric T. Meyer,Eric,Meyer,"2 Oxford Internet Institute, University of Oxford, United Kingdom",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Eric+Meyer,https://www.google.com/search?q=Eric+T.+Meyer+oxford+internet+institute+university+of+oxford+united+kingdom,white,High,0.0038197779,0.0021082126,0.016862389,0.9772096,0.9772096,0.016862389,0.96034724,oxford internet institute university of oxford united kingdom,"2 Oxford Internet Institute, University of Oxford, United Kingdom",University of Oxford,Exact,https://ror.org/052gg0110,R,
10.1111/j.1460-2466.2006.00017.x+3.0,10.1111/j.1460-2466.2006.00017.x,https://academic.oup.com/joc/article/56/2/235/4070458,2006,Television Dramas and Support for Controversial Public Policies: Effects and Mechanisms,Journal of Communication,3.0,3.0,Marilee Long,Marilee,Long,"2 Department of Journalism and Technical Communication, Colorado State University, Fort Collins, Colorado 80523-1785",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Marilee+Long,https://www.google.com/search?q=Marilee+Long+department+of+journalism+and+technical+communication+colorado+state+university+fort+collins+colorado,female,0.96,48.0,Low,Marilee Long,Marilee,Long,"2 Department of Journalism and Technical Communication, Colorado State University, Fort Collins, Colorado 80523-1785",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Marilee+Long,https://www.google.com/search?q=Marilee+Long+department+of+journalism+and+technical+communication+colorado+state+university+fort+collins+colorado,white,High,0.020227086,0.12737153,0.012954124,0.8394473,0.8394473,0.12737153,0.71207577,department of journalism and technical communication colorado state university fort collins colorado,"2 Department of Journalism and Technical Communication, Colorado State University, Fort Collins, Colorado 80523-1785",Colorado State University,Exact,https://ror.org/03k1gpj17,R,
10.1111/j.1460-2466.2010.01508.x+1.0,10.1111/j.1460-2466.2010.01508.x,https://academic.oup.com/joc/article/60/4/660/4098555,2010,Measuring Participation as Communicative Action: A Case Study of Citizen Involvement in and Assessment of a City's Smoking Cessation Policy-Making Process,Journal of Communication,2.0,1.0,Leanne Chang,Leanne,Chang,"1 Communications and New Media Programme, National University of Singapore, Singapore 117416, Singapore",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Leanne+Chang,https://www.google.com/search?q=Leanne+Chang+communications+and+new+media+programme+national+university+of+singapore+singapore+singapore,female,0.98,4390.0,High,Leanne Chang,Leanne,Chang,"1 Communications and New Media Programme, National University of Singapore, Singapore 117416, Singapore",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Leanne+Chang,https://www.google.com/search?q=Leanne+Chang+communications+and+new+media+programme+national+university+of+singapore+singapore+singapore,api,High,0.95575684,0.0076240683,0.018371122,0.018247928,0.95575684,0.018371122,0.93738574,communications and new media programme national university of singapore singapore singapore,"1 Communications and New Media Programme, National University of Singapore, Singapore 117416, Singapore",National University of Singapore,Exact,https://ror.org/01tgyzw49,R,
10.1111/j.1460-2466.1992.tb00804.x+2.0,10.1111/j.1460-2466.1992.tb00804.x,https://academic.oup.com/joc/article/42/3/153/4210116,1992,"TV Entertainment, News, and Racial Perceptions of College Students",Journal of Communication,2.0,2.0,Kimberly A. Neuendorf,Kimberly,Neuendorf,2 Kiinlwrly A. Neuendorf is associate professor in the department of Communication at Cleveland State University. James E. Brentar is a doctoral student in the Department of Communication Arts:at the University of Wisconsin-Madison.,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Kimberly+Neuendorf,https://www.google.com/search?q=Kimberly+A.+Neuendorf+kiinlwrly+a+neuendorf+is+associate+professor+in+the+department+of+communication+at+cleveland+state+university+james+e+brentar+is+a+doctoral+student+in+the+department+of+communication+arts+at+the+university+of+wisconsin+madison,female,0.99,17328.0,High,Kimberly A. Neuendorf,Kimberly,Neuendorf,2 Kiinlwrly A. Neuendorf is associate professor in the department of Communication at Cleveland State University. James E. Brentar is a doctoral student in the Department of Communication Arts:at the University of Wisconsin-Madison.,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Kimberly+Neuendorf,https://www.google.com/search?q=Kimberly+A.+Neuendorf+kiinlwrly+a+neuendorf+is+associate+professor+in+the+department+of+communication+at+cleveland+state+university+james+e+brentar+is+a+doctoral+student+in+the+department+of+communication+arts+at+the+university+of+wisconsin+madison,white,High,0.00040777388,0.000346144,0.016524972,0.98272103,0.98272103,0.016524972,0.96619606,kiinlwrly a neuendorf is associate professor in the department of communication at cleveland state university james e brentar is a doctoral student in the department of communication arts at the university of wisconsin madison,2 Kiinlwrly A. Neuendorf is associate professor in the department of Communication at Cleveland State University. James E. Brentar is a doctoral student in the Department of Communication Arts:at the University of Wisconsin-Madison.,Cleveland State University,Exact,https://ror.org/002tx1f22,R,
10.1111/j.1468-2958.1996.tb00378.x+1.0,10.1111/j.1468-2958.1996.tb00378.x,https://academic.oup.com/hcr/article/22/4/544/4564904,1996,Insight Into Behavior Displayed During Deception,Human Communication Research,3.0,1.0,Aldert Vrij,Aldert,Vrij,"1 Aldert Vrij is a senior lecturer of social and legal psychology at the University of Portsmouth, United Kingdom",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Aldert+Vrij,https://www.google.com/search?q=Aldert+Vrij+aldert+vrij+is+a+senior+lecturer+of+social+and+legal+psychology+at+the+university+of+portsmouth+united+kingdom,male,1.0,42.0,Low,Aldert Vrij,Aldert,Vrij,"1 Aldert Vrij is a senior lecturer of social and legal psychology at the University of Portsmouth, United Kingdom",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Aldert+Vrij,https://www.google.com/search?q=Aldert+Vrij+aldert+vrij+is+a+senior+lecturer+of+social+and+legal+psychology+at+the+university+of+portsmouth+united+kingdom,white,High,0.011942501,0.0058088647,0.012296381,0.9699523,0.9699523,0.012296381,0.9576559,aldert vrij is a senior lecturer of social and legal psychology at the university of portsmouth united kingdom,"1 Aldert Vrij is a senior lecturer of social and legal psychology at the University of Portsmouth, United Kingdom",University of Portsmouth,Exact,https://ror.org/03ykbk197,R,
10.1111/cccr.12160+1.0,10.1111/cccr.12160,https://academic.oup.com/ccc/article/10/2/280/3956600,2017,Participatory Media and Discourse in Heritage Museums: Co-constructing the Public Sphere?,"Communication, Culture and Critique",1.0,1.0,Chaim Noy,Chaim,Noy,"1 Department of Tourism Studies, Ashkelon Academic College, Ashkelon, 78211, Israel",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Chaim+Noy,https://www.google.com/search?q=Chaim+Noy+department+of+tourism+studies+ashkelon+academic+college+ashkelon+israel,male,0.86,155.0,Low,Chaim Noy,Chaim,Noy,"1 Department of Tourism Studies, Ashkelon Academic College, Ashkelon, 78211, Israel",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Chaim+Noy,https://www.google.com/search?q=Chaim+Noy+department+of+tourism+studies+ashkelon+academic+college+ashkelon+israel,white,Low,0.12305475,0.059915118,0.06637369,0.7506564,0.7506564,0.12305475,0.6276017,department of tourism studies ashkelon academic college ashkelon israel,"1 Department of Tourism Studies, Ashkelon Academic College, Ashkelon, 78211, Israel",Ashkelon Academic College,Exact,https://ror.org/00sfwx025,R,
10.1111/jcom.12062+1.0,10.1111/jcom.12062,https://academic.oup.com/joc/article/63/6/1088/4086012,2013,The Relation Between Television Exposure and Theory of Mind Among Preschoolers,Journal of Communication,5.0,1.0,Amy I. Nathanson,Amy,Nathanson,"1 School of Communication, The Ohio State University, Columbus, OH, 43210, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Amy+Nathanson,https://www.google.com/search?q=Amy+I.+Nathanson+school+of+communication+the+ohio+state+university+columbus+oh+usa,female,0.97,31233.0,High,Amy I. Nathanson,Amy,Nathanson,"1 School of Communication, The Ohio State University, Columbus, OH, 43210, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Amy+Nathanson,https://www.google.com/search?q=Amy+I.+Nathanson+school+of+communication+the+ohio+state+university+columbus+oh+usa,white,High,0.009396615,0.049721412,0.016073482,0.9248085,0.9248085,0.049721412,0.8750871,school of communication the ohio state university columbus oh usa,"1 School of Communication, The Ohio State University, Columbus, OH, 43210, USA",The Ohio State University,Exact,https://ror.org/00rs6vg23,R,
