,authorID,doi,url,year,title,journal,numberOfAuthors,authorPosition,authorFullName,firstName,lastName,affiliation,gscholarLink,googleSearch,genderize,genderize_prob,genderize_basedon,genderAccuracy,authorFullName.1,firstName.1,lastName.1,affiliation.1,gscholarLink.1,googleSearch.1,race,racePredAccuracy,api,black,hispanic,white,raceHighest,raceSecondHighest,raceDiff,affProcessed,affiliation.2,ROR_AFFNAME,matchMethod,ROR_ID,type,authorFullName.1,firstName,lastName,affiliation,gscholarLink,googleSearch,genderize,race,racePredAccuracy,gender_prediction,race_prediction
11160,10.1111/j.1753-9137.2012.01119.x+1.0,10.1111/j.1753-9137.2012.01119.x,https://academic.oup.com/ccc/article/5/1/57/4054338,2012,Addressing Environmental Racism through Storytelling: Toward an Environmental Justice Narrative Framework,"Communication, Culture and Critique",1,1,Elizabeth Dickinson,Elizabeth,Dickinson,"1 Communication Department, Salem College, Winston-Salem, NC 27101, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Elizabeth+Dickinson,https://www.google.com/search?q=Elizabeth+Dickinson+communication+department+salem+college+winston+salem+nc+usa,female,0.99,31288,High,Elizabeth Dickinson,Elizabeth,Dickinson,"1 Communication Department, Salem College, Winston-Salem, NC 27101, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Elizabeth+Dickinson,https://www.google.com/search?q=Elizabeth+Dickinson+communication+department+salem+college+winston+salem+nc+usa,white,High,0.008026127,0.05992065,0.015135222,0.91691804,0.91691804,0.05992065,0.8569974,communication department salem college winston salem nc usa,"1 Communication Department, Salem College, Winston-Salem, NC 27101, USA",Salem College,Exact,https://ror.org/00aq42n63,R,Elizabeth Dickinson,Elizabeth,Dickinson,"1 Communication Department, Salem College, Winston-Salem, NC 27101, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Elizabeth+Dickinson,https://www.google.com/search?q=Elizabeth+Dickinson+communication+department+salem+college+winston+salem+nc+usa,female,white,High,F,0
9454,10.1111/j.1083-6101.2012.01579.x+2.0,10.1111/j.1083-6101.2012.01579.x,https://academic.oup.com/jcmc/article/17/4/501/4067684,2012,Social Interaction in YouTube Text-Based Polylogues: A Study of Coherence,Journal of Computer-Mediated Communication,3,2,Nuria Lorenzo-Dus,Nuria,Lorenzo-Dus,"2 English Language and Literature Department, Swansea University, UK",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Nuria+Lorenzo-Dus,https://www.google.com/search?q=Nuria+Lorenzo-Dus+english+language+and+literature+department+swansea+university+uk,female,0.99,24847,High,Nuria Lorenzo-Dus,Nuria,Lorenzo-Dus,"2 English Language and Literature Department, Swansea University, UK",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Nuria+Lorenzo-Dus,https://www.google.com/search?q=Nuria+Lorenzo-Dus+english+language+and+literature+department+swansea+university+uk,white,Low,0.024505153,0.17733894,0.09351012,0.7046458,0.7046458,0.17733894,0.52730685,english language and literature department swansea university uk,"2 English Language and Literature Department, Swansea University, UK",Swansea University,Exact,https://ror.org/053fq8t95,R,Nuria Lorenzo-Dus,Nuria,Lorenzo-Dus,"2 English Language and Literature Department, Swansea University, UK",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Nuria+Lorenzo-Dus,https://www.google.com/search?q=Nuria+Lorenzo-Dus+english+language+and+literature+department+swansea+university+uk,female,white,Low,F,0
1276,10.1111/j.1460-2466.2012.01675.x+1.0,10.1111/j.1460-2466.2012.01675.x,https://academic.oup.com/joc/article/62/6/1065/4085826,2012,The (Non)Violent World of YouTube: Content Trends in Web Video,Journal of Communication,3,1,Andrew J. Weaver,Andrew,Weaver,"1 Department of Telecommunications, Indiana University, Bloomington, IN, 47405, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Andrew+Weaver,https://www.google.com/search?q=Andrew+J.+Weaver+department+of+telecommunications+indiana+university+bloomington+in+usa,male,0.99,60301,High,Andrew J. Weaver,Andrew,Weaver,"1 Department of Telecommunications, Indiana University, Bloomington, IN, 47405, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Andrew+Weaver,https://www.google.com/search?q=Andrew+J.+Weaver+department+of+telecommunications+indiana+university+bloomington+in+usa,white,High,0.00499973,0.07901478,0.020584214,0.8954013,0.8954013,0.07901478,0.8163865,department of telecommunications indiana university bloomington in usa,"1 Department of Telecommunications, Indiana University, Bloomington, IN, 47405, USA",Indiana University Bloomington,Exact,https://ror.org/02k40bc56,R,Andrew J. Weaver,Andrew,Weaver,"1 Department of Telecommunications, Indiana University, Bloomington, IN, 47405, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Andrew+Weaver,https://www.google.com/search?q=Andrew+J.+Weaver+department+of+telecommunications+indiana+university+bloomington+in+usa,male,white,High,M,0
11156,10.1111/j.1753-9137.2012.01115.x+2.0,10.1111/j.1753-9137.2012.01115.x,https://academic.oup.com/ccc/article/5/1/1/4055761,2012,Virtual Materiality: Collectors and Collection in the Brazilian Music Blogosphere,"Communication, Culture and Critique",2,2,Matthew Rarey,Matthew,Rarey,"2 Department of Art History, University of Wisconsin - Madison, Madison, WI 53706, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Matthew+Rarey,https://www.google.com/search?q=Matthew+Rarey+department+of+art+history+university+of+wisconsin+madison+madison+wi+usa,male,1,35521,High,Matthew Rarey,Matthew,Rarey,"2 Department of Art History, University of Wisconsin - Madison, Madison, WI 53706, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Matthew+Rarey,https://www.google.com/search?q=Matthew+Rarey+department+of+art+history+university+of+wisconsin+madison+madison+wi+usa,white,High,0.007961115,0.05533078,0.04103095,0.8956772,0.8956772,0.05533078,0.84034646,department of art history university of wisconsin madison madison wi usa,"2 Department of Art History, University of Wisconsin - Madison, Madison, WI 53706, USA",University of Wisconsin–Madison,API_QUERY,https://ror.org/01y2jtd41,R,Matthew Rarey,Matthew,Rarey,"2 Department of Art History, University of Wisconsin - Madison, Madison, WI 53706, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Matthew+Rarey,https://www.google.com/search?q=Matthew+Rarey+department+of+art+history+university+of+wisconsin+madison+madison+wi+usa,male,white,High,M,0
1259,10.1111/j.1460-2466.2012.01681.x+2.0,10.1111/j.1460-2466.2012.01681.x,https://academic.oup.com/joc/article/62/6/932/4086071,2012,To Personalize or Depersonalize? When and How Politicians' Personalized Tweets Affect the Public's Reactions,Journal of Communication,2,2,Soo Youn Oh,Soo,Oh,"1 Department of Communication, Seoul National University, 1 Gwanak-Ro, Gwanak-Gu, Seoul, 151-742, South Korea",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Soo+Oh,https://www.google.com/search?q=Soo+Youn+Oh+department+of+communication+seoul+national+university+gwanak+ro+gwanak+gu+seoul+south+korea,female,0.58,2690,Low,Soo Youn Oh,Soo,Oh,"1 Department of Communication, Seoul National University, 1 Gwanak-Ro, Gwanak-Gu, Seoul, 151-742, South Korea",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Soo+Oh,https://www.google.com/search?q=Soo+Youn+Oh+department+of+communication+seoul+national+university+gwanak+ro+gwanak+gu+seoul+south+korea,api,High,0.99362093,0.0023296443,0.000943622,0.0031058842,0.99362093,0.0031058842,0.99051505,department of communication seoul national university gwanak ro gwanak gu seoul south korea,"1 Department of Communication, Seoul National University, 1 Gwanak-Ro, Gwanak-Gu, Seoul, 151-742, South Korea",Seoul National University,Exact,https://ror.org/04h9pn542,R,Soo Youn Oh,Soo,Oh,"1 Department of Communication, Seoul National University, 1 Gwanak-Ro, Gwanak-Gu, Seoul, 151-742, South Korea",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Soo+Oh,https://www.google.com/search?q=Soo+Youn+Oh+department+of+communication+seoul+national+university+gwanak+ro+gwanak+gu+seoul+south+korea,female,api,High,F,2
11147,10.1111/j.1753-9137.2012.01123.x+1.0,10.1111/j.1753-9137.2012.01123.x,https://academic.oup.com/ccc/article/5/2/191/4054440,2012,Mapping Text–Visual Frames of Sub-Saharan Africa in the News: A Comparison of Online News Reports from Al Jazeera and British Broadcasting Corporation Websites,"Communication, Culture and Critique",2,1,Mastewal Adane Mellese,Mastewal,Mellese,"1 Research Center, Visual Communication &amp; Expertise (SHSS), Jacobs University Bremen, Bremen, Germany",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Mastewal+Mellese,https://www.google.com/search?q=Mastewal+Adane+Mellese+research+center+visual+communication+amp+expertise+jacobs+university+bremen+bremen+germany,male,0.71,14,Low,Mastewal Adane Mellese,Mastewal,Mellese,"1 Research Center, Visual Communication &amp; Expertise (SHSS), Jacobs University Bremen, Bremen, Germany",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Mastewal+Mellese,https://www.google.com/search?q=Mastewal+Adane+Mellese+research+center+visual+communication+amp+expertise+jacobs+university+bremen+bremen+germany,white,High,0.010726891,0.0324624,0.03656923,0.92024153,0.92024153,0.03656923,0.8836723,research center visual communication amp expertise jacobs university bremen bremen germany,"1 Research Center, Visual Communication &amp; Expertise (SHSS), Jacobs University Bremen, Bremen, Germany",Jacobs University,Exact,https://ror.org/02yrs2n53,R,Mastewal Adane Mellese,Mastewal,Mellese,"1 Research Center, Visual Communication &amp; Expertise (SHSS), Jacobs University Bremen, Bremen, Germany",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Mastewal+Mellese,https://www.google.com/search?q=Mastewal+Adane+Mellese+research+center+visual+communication+amp+expertise+jacobs+university+bremen+bremen+germany,male,white,High,M,1
1398,10.1111/j.1460-2466.2011.01618.x+1.0,10.1111/j.1460-2466.2011.01618.x,https://academic.oup.com/joc/article/62/1/117/4085825,2012,When Good Characters Do Bad Things: Examining the Effect of Moral Ambiguity on Enjoyment,Journal of Communication,2,1,K. Maja Krakowiak,Maja,Krakowiak,"1 Department of Communication, University of Colorado–Colorado Springs, Colorado Springs, CO 80918, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Maja+Krakowiak,https://www.google.com/search?q=K.+Maja+Krakowiak+department+of+communication+university+of+colorado+colorado+springs+colorado+springs+co+usa,female,0.97,22257,High,K. Maja Krakowiak,Maja,Krakowiak,"1 Department of Communication, University of Colorado–Colorado Springs, Colorado Springs, CO 80918, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Maja+Krakowiak,https://www.google.com/search?q=K.+Maja+Krakowiak+department+of+communication+university+of+colorado+colorado+springs+colorado+springs+co+usa,white,High,0.0004201371,0.0010975751,0.014702504,0.98377985,0.98377985,0.014702504,0.96907735,department of communication university of colorado colorado springs colorado springs co usa,"1 Department of Communication, University of Colorado–Colorado Springs, Colorado Springs, CO 80918, USA",University of Colorado Colorado Springs,Exact,https://ror.org/054spjc55,R,K. Maja Krakowiak,Maja,Krakowiak,"1 Department of Communication, University of Colorado–Colorado Springs, Colorado Springs, CO 80918, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Maja+Krakowiak,https://www.google.com/search?q=K.+Maja+Krakowiak+department+of+communication+university+of+colorado+colorado+springs+colorado+springs+co+usa,female,white,High,F,0
9432,10.1111/j.1083-6101.2012.01595.x+1.0,10.1111/j.1083-6101.2012.01595.x,https://academic.oup.com/jcmc/article/18/1/97/4065295,2012,"Online Reviews, Helpfulness Ratings, and Consumer Attitudes: An Extension of Congruity Theory to Multiple Sources in Web 2.0",Journal of Computer-Mediated Communication,5,1,Joseph B. Walther,Joseph,Walther,"1 Department of Communication, Michigan State University, USA and Department of Telecommunication, Information Studies &amp; Media, Michigan State University, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Joseph+Walther,https://www.google.com/search?q=Joseph+B.+Walther+department+of+communication+michigan+state+university+usa+and+department+of+telecommunication+information+studies+amp+media+michigan+state+university+usa,male,0.99,60259,High,Joseph B. Walther,Joseph,Walther,"1 Department of Communication, Michigan State University, USA and Department of Telecommunication, Information Studies &amp; Media, Michigan State University, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Joseph+Walther,https://www.google.com/search?q=Joseph+B.+Walther+department+of+communication+michigan+state+university+usa+and+department+of+telecommunication+information+studies+amp+media+michigan+state+university+usa,white,High,0.007289555,0.13566329,0.023451965,0.8335952,0.8335952,0.13566329,0.69793195,department of communication michigan state university usa and department of telecommunication information studies amp media michigan state university usa,"1 Department of Communication, Michigan State University, USA and Department of Telecommunication, Information Studies &amp; Media, Michigan State University, USA",Michigan State University,Exact,https://ror.org/05hs6h993,R,Joseph B. Walther,Joseph,Walther,"1 Department of Communication, Michigan State University, USA and Department of Telecommunication, Information Studies &amp; Media, Michigan State University, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Joseph+Walther,https://www.google.com/search?q=Joseph+B.+Walther+department+of+communication+michigan+state+university+usa+and+department+of+telecommunication+information+studies+amp+media+michigan+state+university+usa,male,white,High,M,0
5634,10.1111/j.1468-2958.2012.01432.x+2.0,10.1111/j.1468-2958.2012.01432.x,https://academic.oup.com/hcr/article/38/4/459/4093691,2012,"The Influence of Paratext on Narrative Persuasion: Fact, Fiction, or Fake?",Human Communication Research,2,2,Barbara Malečkar,Barbara,Malečkar,"1 Department of Education and Psychology, Johannes Kepler University Linz, 4040 Linz, Austria   2 Department of Psychology, University of Winchester, United Kingdom",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Barbara+Malečkar,https://www.google.com/search?q=Barbara+Male%C4%8Dkar+department+of+education+and+psychology+johannes+kepler+university+linz+linz+austria+department+of+psychology+university+of+winchester+united+kingdom,female,0.98,94709,High,Barbara Malečkar,Barbara,Malečkar,"1 Department of Education and Psychology, Johannes Kepler University Linz, 4040 Linz, Austria   2 Department of Psychology, University of Winchester, United Kingdom",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Barbara+Malečkar,https://www.google.com/search?q=Barbara+Male%C4%8Dkar+department+of+education+and+psychology+johannes+kepler+university+linz+linz+austria+department+of+psychology+university+of+winchester+united+kingdom,api,Low,0.48143423,0.02499097,0.017932491,0.47564238,0.48143423,0.47564238,0.005791843,department of education and psychology johannes kepler university linz linz austria department of psychology university of winchester united kingdom,"1 Department of Education and Psychology, Johannes Kepler University Linz, 4040 Linz, Austria   2 Department of Psychology, University of Winchester, United Kingdom",University of Winchester,Exact,https://ror.org/03fmjzx88,R,Barbara Malečkar,Barbara,Malečkar,"1 Department of Education and Psychology, Johannes Kepler University Linz, 4040 Linz, Austria   2 Department of Psychology, University of Winchester, United Kingdom",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Barbara+Malečkar,https://www.google.com/search?q=Barbara+Male%C4%8Dkar+department+of+education+and+psychology+johannes+kepler+university+linz+linz+austria+department+of+psychology+university+of+winchester+united+kingdom,female,api,Low,F,0
1266,10.1111/j.1460-2466.2011.01599.x+1.0,10.1111/j.1460-2466.2011.01599.x,https://academic.oup.com/joc/article/62/6/991/4085798,2012,Mean on the Screen: Social Aggression in Programs Popular With Children,Journal of Communication,2,1,Nicole Martins,Nicole,Martins,"1 Department of Telecommunications, Indiana University, Bloomington, IN 47405, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Nicole+Martins,https://www.google.com/search?q=Nicole+Martins+department+of+telecommunications+indiana+university+bloomington+in+usa,female,0.98,102075,High,Nicole Martins,Nicole,Martins,"1 Department of Telecommunications, Indiana University, Bloomington, IN 47405, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Nicole+Martins,https://www.google.com/search?q=Nicole+Martins+department+of+telecommunications+indiana+university+bloomington+in+usa,white,High,0.0021284448,0.080157526,0.08017216,0.8375418,0.8375418,0.08017216,0.75736964,department of telecommunications indiana university bloomington in usa,"1 Department of Telecommunications, Indiana University, Bloomington, IN 47405, USA",Indiana University Bloomington,Exact,https://ror.org/02k40bc56,R,Nicole Martins,Nicole,Martins,"1 Department of Telecommunications, Indiana University, Bloomington, IN 47405, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Nicole+Martins,https://www.google.com/search?q=Nicole+Martins+department+of+telecommunications+indiana+university+bloomington+in+usa,female,white,High,F,0
1265,10.1111/j.1460-2466.2012.01683.x+3.0,10.1111/j.1460-2466.2012.01683.x,https://academic.oup.com/joc/article/62/6/972/4085796,2012,Socioeconomic Disparities in Fatalistic Beliefs About Cancer Prevention and the Internet,Journal of Communication,3,3,Derek Freres,Derek,Freres,"3 Annenberg School for Communication, University of Pennsylvania, Philadelphia, PA 19104, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Derek+Freres,https://www.google.com/search?q=Derek+Freres+annenberg+school+for+communication+university+of+pennsylvania+philadelphia+pa+usa,male,0.99,11770,High,Derek Freres,Derek,Freres,"3 Annenberg School for Communication, University of Pennsylvania, Philadelphia, PA 19104, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Derek+Freres,https://www.google.com/search?q=Derek+Freres+annenberg+school+for+communication+university+of+pennsylvania+philadelphia+pa+usa,white,Low,0.010707096,0.013700516,0.4587846,0.5168078,0.5168078,0.4587846,0.058023185,annenberg school for communication university of pennsylvania philadelphia pa usa,"3 Annenberg School for Communication, University of Pennsylvania, Philadelphia, PA 19104, USA",University of Pennsylvania,Exact,https://ror.org/00b30xv10,R,Derek Freres,Derek,Freres,"3 Annenberg School for Communication, University of Pennsylvania, Philadelphia, PA 19104, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Derek+Freres,https://www.google.com/search?q=Derek+Freres+annenberg+school+for+communication+university+of+pennsylvania+philadelphia+pa+usa,male,white,Low,M,0
11126,10.1111/j.1753-9137.2012.01148.x+4.0,10.1111/j.1753-9137.2012.01148.x,https://academic.oup.com/ccc/article/5/4/600/4054497,2012,The Performance and Maintenance of Standpoint within an Online Community,"Communication, Culture and Critique",4,4,Sean Watkins,Sean,Watkins,"1 School of Media &amp; Communication, Bowling Green State University, Bowling Green, OH, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Sean+Watkins,https://www.google.com/search?q=Sean+Watkins+school+of+media+amp+communication+bowling+green+state+university+bowling+green+oh+usa,male,0.99,25765,High,Sean Watkins,Sean,Watkins,"1 School of Media &amp; Communication, Bowling Green State University, Bowling Green, OH, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Sean+Watkins,https://www.google.com/search?q=Sean+Watkins+school+of+media+amp+communication+bowling+green+state+university+bowling+green+oh+usa,white,Low,0.0052300724,0.34372717,0.026591433,0.62445134,0.62445134,0.34372717,0.28072417,school of media amp communication bowling green state university bowling green oh usa,"1 School of Media &amp; Communication, Bowling Green State University, Bowling Green, OH, USA",Bowling Green State University,Exact,https://ror.org/00ay7va13,R,Sean Watkins,Sean,Watkins,"1 School of Media &amp; Communication, Bowling Green State University, Bowling Green, OH, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Sean+Watkins,https://www.google.com/search?q=Sean+Watkins+school+of+media+amp+communication+bowling+green+state+university+bowling+green+oh+usa,male,white,Low,M,0
1406,10.1111/j.1460-2466.2011.01623.x+2.0,10.1111/j.1460-2466.2011.01623.x,https://academic.oup.com/joc/article/62/1/158/4086096,2012,Ethnic Group and Temporal Influences of Social Norms: Smoking Behavior among a Panel of Adolescents,Journal of Communication,3,2,Janet Rice,Janet,Rice,"2 Tulane School of Public Health and Tropical Medicine, New Orleans, LA, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Janet+Rice,https://www.google.com/search?q=Janet+Rice+tulane+school+of+public+health+and+tropical+medicine+new+orleans+la+usa,female,0.98,15602,High,Janet Rice,Janet,Rice,"2 Tulane School of Public Health and Tropical Medicine, New Orleans, LA, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Janet+Rice,https://www.google.com/search?q=Janet+Rice+tulane+school+of+public+health+and+tropical+medicine+new+orleans+la+usa,white,High,0.002250125,0.1547193,0.02684485,0.8161857,0.8161857,0.1547193,0.6614664,tulane school of public health and tropical medicine new orleans la usa,"2 Tulane School of Public Health and Tropical Medicine, New Orleans, LA, USA",SEAMEO Regional Center for Food and Nutrition,API_QUERY,https://ror.org/01mwa8226,R,Janet Rice,Janet,Rice,"2 Tulane School of Public Health and Tropical Medicine, New Orleans, LA, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Janet+Rice,https://www.google.com/search?q=Janet+Rice+tulane+school+of+public+health+and+tropical+medicine+new+orleans+la+usa,female,white,High,F,0
8063,10.1111/j.1468-2885.2012.01410.x+1.0,10.1111/j.1468-2885.2012.01410.x,https://academic.oup.com/ct/article/22/3/279/4085749,2012,"Negating Nodes and Liquid Fragmentation: Extending Conversations of Diffusion, Social Networks, and Fragmentation",Communication Theory,1,1,Avery Holton,Avery,Holton,"1 School of Journalism, University of Texas, Austin, TX 78712, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Avery+Holton,https://www.google.com/search?q=Avery+Holton+school+of+journalism+university+of+texas+austin+tx+usa,male,0.67,263,Low,Avery Holton,Avery,Holton,"1 School of Journalism, University of Texas, Austin, TX 78712, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Avery+Holton,https://www.google.com/search?q=Avery+Holton+school+of+journalism+university+of+texas+austin+tx+usa,white,Low,0.007714767,0.25493705,0.024139695,0.7132085,0.7132085,0.25493705,0.45827144,school of journalism university of texas austin tx usa,"1 School of Journalism, University of Texas, Austin, TX 78712, USA",The University of Texas at Austin,API_QUERY,https://ror.org/00hj54h04,R,Avery Holton,Avery,Holton,"1 School of Journalism, University of Texas, Austin, TX 78712, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Avery+Holton,https://www.google.com/search?q=Avery+Holton+school+of+journalism+university+of+texas+austin+tx+usa,male,white,Low,M,0
9435,10.1111/j.1083-6101.2012.01595.x+4.0,10.1111/j.1083-6101.2012.01595.x,https://academic.oup.com/jcmc/article/18/1/97/4065295,2012,"Online Reviews, Helpfulness Ratings, and Consumer Attitudes: An Extension of Congruity Theory to Multiple Sources in Web 2.0",Journal of Computer-Mediated Communication,5,4,Donghee Yvette Wohn,Donghee,Wohn,"4 Department of Telecommunication, Information Studies &amp; Media, Michigan State University, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Donghee+Wohn,https://www.google.com/search?q=Donghee+Yvette+Wohn+department+of+telecommunication+information+studies+amp+media+michigan+state+university+usa,male,0.71,139,Low,Donghee Yvette Wohn,Donghee,Wohn,"4 Department of Telecommunication, Information Studies &amp; Media, Michigan State University, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Donghee+Wohn,https://www.google.com/search?q=Donghee+Yvette+Wohn+department+of+telecommunication+information+studies+amp+media+michigan+state+university+usa,white,High,0.00844893,0.02071857,0.014486254,0.95634633,0.95634633,0.02071857,0.93562776,department of telecommunication information studies amp media michigan state university usa,"4 Department of Telecommunication, Information Studies &amp; Media, Michigan State University, USA",Michigan State University,Exact,https://ror.org/05hs6h993,R,Donghee Yvette Wohn,Donghee,Wohn,"4 Department of Telecommunication, Information Studies &amp; Media, Michigan State University, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Donghee+Wohn,https://www.google.com/search?q=Donghee+Yvette+Wohn+department+of+telecommunication+information+studies+amp+media+michigan+state+university+usa,male,white,High,F,2
11158,10.1111/j.1753-9137.2011.01118.x+2.0,10.1111/j.1753-9137.2011.01118.x,https://academic.oup.com/ccc/article/5/1/20/4054286,2012,Me at My Best: Therapeutic Ideals in Norwegian Women's Magazines,"Communication, Culture and Critique",2,2,Brita Ytre-Arne,Brita,Ytre-Arne,"2 Department of Information Science and Media Studies, University of Bergen, Bergen, Norway",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Brita+Ytre-Arne,https://www.google.com/search?q=Brita+Ytre-Arne+department+of+information+science+and+media+studies+university+of+bergen+bergen+norway,female,0.94,313,Low,Brita Ytre-Arne,Brita,Ytre-Arne,"2 Department of Information Science and Media Studies, University of Bergen, Bergen, Norway",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Brita+Ytre-Arne,https://www.google.com/search?q=Brita+Ytre-Arne+department+of+information+science+and+media+studies+university+of+bergen+bergen+norway,white,Low,0.009963137,0.15088835,0.042963594,0.79618496,0.79618496,0.15088835,0.6452966,department of information science and media studies university of bergen bergen norway,"2 Department of Information Science and Media Studies, University of Bergen, Bergen, Norway",University of Bergen,Exact,https://ror.org/03zga2b32,R,Brita Ytre-Arne,Brita,Ytre-Arne,"2 Department of Information Science and Media Studies, University of Bergen, Bergen, Norway",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Brita+Ytre-Arne,https://www.google.com/search?q=Brita+Ytre-Arne+department+of+information+science+and+media+studies+university+of+bergen+bergen+norway,female,white,Low,F,0
1379,10.1111/j.1460-2466.2012.01631.x+1.0,10.1111/j.1460-2466.2012.01631.x,https://academic.oup.com/joc/article/62/2/345/4085815,2012,"Networks of Networks: Changing Patterns in Country Bandwidth and Centrality in Global Information Infrastructure, 2002–2010",Journal of Communication,2,1,Hyunjin Seo,Hyunjin,Seo,"1 William Allen White School of Journalism and Mass Communications, The University of Kansas, Lawrence, KS 66045, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Hyunjin+Seo,https://www.google.com/search?q=Hyunjin+Seo+william+allen+white+school+of+journalism+and+mass+communications+the+university+of+kansas+lawrence+ks+usa,female,0.58,380,Low,Hyunjin Seo,Hyunjin,Seo,"1 William Allen White School of Journalism and Mass Communications, The University of Kansas, Lawrence, KS 66045, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Hyunjin+Seo,https://www.google.com/search?q=Hyunjin+Seo+william+allen+white+school+of+journalism+and+mass+communications+the+university+of+kansas+lawrence+ks+usa,api,High,0.9419729,0.0054038963,0.008256725,0.044366453,0.9419729,0.044366453,0.89760643,william allen white school of journalism and mass communications the university of kansas lawrence ks usa,"1 William Allen White School of Journalism and Mass Communications, The University of Kansas, Lawrence, KS 66045, USA",University of Kansas,Exact,https://ror.org/001tmjg57,R,Hyunjin Seo,Hyunjin,Seo,"1 William Allen White School of Journalism and Mass Communications, The University of Kansas, Lawrence, KS 66045, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Hyunjin+Seo,https://www.google.com/search?q=Hyunjin+Seo+william+allen+white+school+of+journalism+and+mass+communications+the+university+of+kansas+lawrence+ks+usa,female,api,High,F,2
