source,target,value
US,DE,27
US,PH,26
US,CN,24
US,NL,23
US,SG,23
US,GB,20
NL,DE,16
US,CA,14
US,KR,13
US,GE,12
US,JP,12
US,IL,11
US,AT,9
US,NZ,9
US,ES,8
US,CL,7
DE,CH,7
NL,GB,7
US,AU,6
US,BE,6
NL,BE,6
US,DK,6
GB,ES,5
US,CH,5
US,MX,4
US,IT,4
GB,DE,4
NL,AT,4
KR,JP,4
US,SE,4
IT,GB,4
US,FI,4
SG,CN,4
PH,NL,4
SG,GB,3
NO,GB,3
PH,GB,3
SE,NL,3
NL,CN,3
DE,BE,3
SG,NL,3
US,NO,3
US,LB,3
IL,DE,3
GB,AU,2
FR,CA,2
FI,DE,2
ZA,SG,2
ZA,PH,2
DE,CN,2
SG,PH,2
SG,DE,2
GB,BE,2
SG,KR,2
GR,GB,2
ES,DE,2
US,PL,2
JP,CA,2
NL,IT,2
SG,ES,2
IS,GB,2
LB,CA,2
GB,CN,2
US,LV,2
US,IN,2
NO,DE,2
CN,AU,2
NL,AU,2
NZ,AT,2
DE,AT,2
GB,CH,2
NL,CH,2
SG,AU,2
IL,GB,2
US,FR,2
NL,IL,2
US,CO,2
NO,NL,2
PH,CN,2
KR,IT,1
KR,GR,1
ES,CL,1
NL,GR,1
KR,GB,1
NL,JP,1
NL,KR,1
NO,AU,1
NO,GR,1
MX,CL,1
PL,FI,1
NO,IT,1
NO,JP,1
NO,KR,1
US,GR,1
MX,GB,1
JP,IT,1
NO,CH,1
ES,CN,1
FI,DK,1
NO,DK,1
NO,FI,1
FI,ES,1
US,PT,1
FI,CL,1
KR,AU,1
IT,GR,1
JP,GR,1
US,TR,1
SG,CL,1
SG,FI,1
FR,CH,1
PL,ES,1
SG,MX,1
SG,PL,1
ES,AU,1
PL,DE,1
PL,CN,1
IS,ES,1
PL,CL,1
NL,ES,1
MX,FI,1
NL,IS,1
NO,BE,1
JP,GB,1
CH,AT,1
FI,BE,1
MX,ES,1
CO,AT,1
DE,CL,1
US,TH,1
PH,IL,1
ES,AT,1
MX,DE,1
MX,CN,1
GR,AU,1
IT,AU,1
PL,MX,1
JP,AU,1
FI,CN,1
SE,DK,1
ES,CA,1
PH,GE,1
ZA,GB,1
ZA,NL,1
ZA,US,1
DK,CN,1
JP,CN,1
GE,CH,1
US,AR,1
TH,SE,1
PH,CH,1
KR,CN,1
GE,CN,1
GE,GB,1
NL,GE,1
SE,DE,1
ZA,CN,1
LB,GE,1
TW,CN,1
US,TW,1
PH,AR,1
SG,AT,1
NO,AT,1
NL,CL,1
GB,DK,1
SE,AR,1
ES,CO,1
DE,CA,1
GB,CA,1
GB,CL,1
ZA,DE,1
ZA,BE,1
DK,CA,1
LB,CY,1
NO,IS,1
CH,BE,1
IT,CA,1
PH,IT,1
FR,DK,1
NL,DK,1
UG,ET,1
US,ET,1
US,UG,1
GR,DE,1
KR,CL,1
TW,KR,1
GB,CY,1
LB,GB,1
SG,BE,1
KE,AU,1
US,KE,1
CL,AT,1
PT,ES,1
IL,CA,1
MX,IT,1
DK,AT,1
SE,AT,1
TK,DE,1
CY,BE,1
CN,BE,1
PH,BE,1
PH,DE,1
CN,CL,1
