doi,url,title,journal,datePublished,authorName,numberOfAuthors,authorPosition,affiliation
10.1093/joc/jqab054,https://academic.oup.com/joc/article/72/2/145/6509144,Media Systems in the Digital Age: An Empirical Comparison of 30 Countries,Journal of Communication,2022-01-17,Edda Humprecht,5.0,1.0,"Department of Communication and Media Research, University of Zurich , Zurich,  Switzerland"
10.1093/joc/jqab054,https://academic.oup.com/joc/article/72/2/145/6509144,Media Systems in the Digital Age: An Empirical Comparison of 30 Countries,Journal of Communication,2022-01-17,Laia Castro Herrero,5.0,2.0,"Department of Communication and Media Research, University of Zurich , Zurich,  Switzerland    Universitat Internacional de Catalunya ,  Spain"
10.1093/joc/jqab054,https://academic.oup.com/joc/article/72/2/145/6509144,Media Systems in the Digital Age: An Empirical Comparison of 30 Countries,Journal of Communication,2022-01-17,Sina Blassnig,5.0,3.0,"Department of Communication and Media Research, University of Zurich , Zurich,  Switzerland"
10.1093/joc/jqab054,https://academic.oup.com/joc/article/72/2/145/6509144,Media Systems in the Digital Age: An Empirical Comparison of 30 Countries,Journal of Communication,2022-01-17,Michael Brüggemann,5.0,4.0,"Department of Journalism and Mass Communication, University of Hamburg , Hamburg,  Germany"
10.1093/joc/jqab054,https://academic.oup.com/joc/article/72/2/145/6509144,Media Systems in the Digital Age: An Empirical Comparison of 30 Countries,Journal of Communication,2022-01-17,Sven Engesser,5.0,5.0,"Institute of Media and Communication, Technical University of Dresden , Dresden,  Germany"
10.1093/joc/jqab051,https://academic.oup.com/joc/article/72/2/165/6499883,"#GirlGamers, Soldiers, and Public Relations: Analyzing Gender Representation in U.S. Army Esports",Journal of Communication,2022-01-07,Jolene Fisher,2.0,1.0,"Department of Advertising, Public Relations &amp; Media Design, University of Colorado Boulder , Boulder, Colorado,  USA"
10.1093/joc/jqab051,https://academic.oup.com/joc/article/72/2/165/6499883,"#GirlGamers, Soldiers, and Public Relations: Analyzing Gender Representation in U.S. Army Esports",Journal of Communication,2022-01-07,Joshua Foust,2.0,2.0,"Department of Advertising, Public Relations &amp; Media Design, University of Colorado Boulder , Boulder, Colorado,  USA"
10.1093/joc/jqab052,https://academic.oup.com/joc/article/72/2/187/6506191,The Effects of Tobacco Coverage in the Public Communication Environment on Young People’s Decisions to Smoke Combustible Cigarettes†,Journal of Communication,2022-01-13,Robert Hornik,18.0,1.0,"Annenberg School for Communication, University of Pennsylvania , Philadelphia, PA 19104,  USA"
10.1093/joc/jqab052,https://academic.oup.com/joc/article/72/2/187/6506191,The Effects of Tobacco Coverage in the Public Communication Environment on Young People’s Decisions to Smoke Combustible Cigarettes†,Journal of Communication,2022-01-13,Steven Binns,18.0,2.0,"Social Data Collaboratory, NORC-University of Chicago , Chicago, IL 60637,  USA"
10.1093/joc/jqab052,https://academic.oup.com/joc/article/72/2/187/6506191,The Effects of Tobacco Coverage in the Public Communication Environment on Young People’s Decisions to Smoke Combustible Cigarettes†,Journal of Communication,2022-01-13,Sherry Emery,18.0,3.0,"Social Data Collaboratory, NORC-University of Chicago , Chicago, IL 60637,  USA"
