issueURL_outdated,category_outdated,category,issueURL,TO_EXCLUDE,TO_EXCLUDE_outdated,Kristen_Ccomment,Yijie_Comment,Haley_Comment,Hongtao_Comment
https://academic.oup.com/joc/issue/47/1?browseBy=volume,1996 ICA Presidential Address,1996 ICA Presidential Address,https://academic.oup.com/joc/issue/47/1?browseBy=volume,TRUE,TRUE,,,,
https://academic.oup.com/joc/issue/47/4?browseBy=volume,1997 Presidential Address,1997 Presidential Address,https://academic.oup.com/joc/issue/47/4?browseBy=volume,TRUE,TRUE,,,,
https://academic.oup.com/joc/issue/48/4?browseBy=volume,1998 ICA Presidential Address,1998 ICA Presidential Address,https://academic.oup.com/joc/issue/48/4?browseBy=volume,TRUE,TRUE,,,,
https://academic.oup.com/joc/issue/49/4?browseBy=volume,1999 ICA Presidential Address,1999 ICA Presidential Address,https://academic.oup.com/joc/issue/49/4?browseBy=volume,TRUE,TRUE,,,,
https://academic.oup.com/joc/issue/53/1?browseBy=volume,2002 ICA Presidential Address,2002 ICA Presidential Address,https://academic.oup.com/joc/issue/53/1?browseBy=volume,TRUE,TRUE,,,,
https://academic.oup.com/hcr/issue/6/4?browseBy=volume,A Final Note from the Editor,A Final Note from the Editor,https://academic.oup.com/hcr/issue/6/4?browseBy=volume,TRUE,TRUE,,,,
https://academic.oup.com/hcr/issue/4/3?browseBy=volume,A Note from the Editor,A Note from the Editor,https://academic.oup.com/hcr/issue/4/3?browseBy=volume,TRUE,TRUE,,,,
https://academic.oup.com/joc/issue/6/3?browseBy=volume,A Reply to Mr. Drum'S Reply,A Reply to Mr. Drum'S Reply,https://academic.oup.com/joc/issue/6/3?browseBy=volume,TRUE,FALSE,TRUE,TRUE,TRUE,
https://academic.oup.com/hcr/issue/1/1?browseBy=volume,About the Authors,About the Authors,https://academic.oup.com/hcr/issue/1/1?browseBy=volume,TRUE,TRUE,,,,
https://academic.oup.com/hcr/issue/23/1?browseBy=volume,Acknowledgement,Acknowledgement,https://academic.oup.com/hcr/issue/23/1?browseBy=volume,TRUE,TRUE,,,,
https://academic.oup.com/hcr/issue/24/1?browseBy=volume,Acknowledgment,Acknowledgment,https://academic.oup.com/hcr/issue/24/1?browseBy=volume,TRUE,TRUE,,,,
https://academic.oup.com/joc/issue/41/4?browseBy=volume,Acknowledgments,Acknowledgments,https://academic.oup.com/joc/issue/41/4?browseBy=volume,TRUE,TRUE,,,,
https://academic.oup.com/joc/issue/26/1?browseBy=volume,After Thirty Years—Détente?,After Thirty Years—Détente?,https://academic.oup.com/joc/issue/26/1?browseBy=volume,FALSE,FALSE,TRUE,TRUE,TRUE,
https://academic.oup.com/joc/issue/64/2?browseBy=volume,Afterword,Afterword,https://academic.oup.com/joc/issue/64/2?browseBy=volume,FALSE,FALSE,FALSE,FALSE,FALSE,
https://academic.oup.com/ct/issue/3/1?browseBy=volume,Announcement,Announcement,https://academic.oup.com/ct/issue/3/1?browseBy=volume,TRUE,TRUE,,,,
https://academic.oup.com/jcmc/issue/3/2?browseBy=volume,Article,Article,https://academic.oup.com/jcmc/issue/3/2?browseBy=volume,FALSE,FALSE,,,,
https://academic.oup.com/ccc/issue/12/3?browseBy=volume,Articles,Articles,https://academic.oup.com/ccc/issue/12/3?browseBy=volume,FALSE,FALSE,,,,
https://academic.oup.com/joc/issue/43/4?browseBy=volume,Audiences and Institutions,Audiences and Institutions,https://academic.oup.com/joc/issue/43/4?browseBy=volume,FALSE,FALSE,,TRUE,,
https://academic.oup.com/joc/issue/50/2?browseBy=volume,Authors response,Authors response,https://academic.oup.com/joc/issue/50/2?browseBy=volume,TRUE,TRUE,,,,
https://academic.oup.com/joc/issue/26/1?browseBy=volume,Book Notes,Book Notes,https://academic.oup.com/joc/issue/26/1?browseBy=volume,TRUE,TRUE,,,,
https://academic.oup.com/joc/issue/19/2?browseBy=volume,Book Received,Book Received,https://academic.oup.com/joc/issue/19/2?browseBy=volume,TRUE,TRUE,,,,
https://academic.oup.com/ccc/issue/2/3?browseBy=volume,Book Review,Book Review,https://academic.oup.com/ccc/issue/2/3?browseBy=volume,TRUE,TRUE,,,,
