doi,url,title,paperType,journal,datePublished,keywords
10.1093/joc/jqab043,https://academic.oup.com/joc/article/72/1/33/6449425,A Content Analysis of American Primetime Television: A 20-Year Update of the National Television Violence Studies,ScholarlyArticle,Journal of Communication,2021-12-04,"Television, Violence, Content Analysis, Graphicness, Realism"
10.1093/joc/jqab024,https://academic.oup.com/joc/article/72/1/59/6420665,"Dual Process Models and Information Engagement: Testing Effects of Seeking, Scanning, and Trust in Sources on Attitudes Toward Marijuana",ScholarlyArticle,Journal of Communication,2021-11-04,"Information Seeking, Information Scanning, Source Trust, Information Processing, Elaboration Likelihood Model, Attitudes"
10.1093/joc/jqab046,https://academic.oup.com/joc/article/72/1/83/6460210,"Just a Glance, or More? Pathways from Counter-Attitudinal Incidental Exposure to Attitude (De)Polarization Through Response Behaviors and Cognitive Elaboration",ScholarlyArticle,Journal of Communication,2021-12-13,"Incidental Exposure, Exposure to Counter-Attitudinal Viewpoints, Polarization, Informational Utility, Cognitive Elaboration"
10.1093/joc/jqab042,https://academic.oup.com/joc/article/72/1/111/6439209,Creating and Disrupting Othering During Policymaking in a Polarized Context,ScholarlyArticle,Journal of Communication,2021-11-25,"Discourse, Language Convergence/Meaning Divergence, Othering, Polarization, Policymaking"
10.1093/joc/jqaa035,https://academic.oup.com/joc/article/72/1/141/6017162,Corrigendum to: Processing Ambiguous Social Identity: Disclosure of Identity and Phenotypic Prototypicality Affect Processing and Evaluation of Persuasive Messages,ScholarlyArticle,Journal of Communication,2020-12-02,
10.1093/joc/jqab050,https://academic.oup.com/joc/article/72/1/144/6510623,Corrigendum to: Questionable and Open Research Practices: Attitudes and Perceptions among Quantitative Communication Researchers,ScholarlyArticle,Journal of Communication,2022-01-18,
10.1093/joc/jqab020,https://academic.oup.com/joc/article/72/1/E38/6355320,The Rise and Fall of Mass Communication Wm. L. Benoit &amp; Andrew C. Billings,ScholarlyArticle,Journal of Communication,2021-08-20,
10.1093/joc/jqab021,https://academic.oup.com/joc/article/71/6/875/6358707,What Does #Freedom Look Like? Instagram and the Visual Imagination of Values,ScholarlyArticle,Journal of Communication,2021-08-27,"Archive, Folksonomy, Hashtags, Image Repertoires, Instagram, Values"
10.1093/joc/jqab023,https://academic.oup.com/joc/article/71/6/898/6448288,Attention Centrality and Audience Fragmentation: An Approach for Bridging the Gap Between Selective Exposure and Audience Overlap,ScholarlyArticle,Journal of Communication,2021-08-27,"Audience Fragmentation, Audience Overlap, Selective Exposure, Partisan News Media, Attention Centrality"
10.1093/joc/jqab034,https://academic.oup.com/joc/article/71/6/922/6363640,The Distorting Prism of Social Media: How Self-Selection and Exposure to Incivility Fuel Online Comment Toxicity,ScholarlyArticle,Journal of Communication,2021-09-03,"Social Media, Online Comments, Toxicity, Self-Selection, Polarization"
10.1093/joc/jqab041,https://academic.oup.com/joc/article/71/6/947/6415947,The Effect of Streaming Chat on Perceptions of Political Debates,ScholarlyArticle,Journal of Communication,2021-11-02,"Social Media, Second Screening, Experiment, Debates, Media Multitasking, Text Analysis"
10.1093/joc/jqab037,https://academic.oup.com/joc/article/71/6/976/6374800,“Dando las Gracias a Mis Papás”: Analyzing the Enactment of Callings across Generations of Latinx Immigrants,ScholarlyArticle,Journal of Communication,2021-09-24,"Callings, Immigrants, Integrated Callings, Latinx, Intergenerational Communication"
10.1093/joc/jqab035,https://academic.oup.com/joc/article/71/6/1001/6375398,A Dynamic Dyadic Systems Approach to Interpersonal Communication,ScholarlyArticle,Journal of Communication,2021-09-25,"Configural Frequency Analysis, Dyadic Interaction Analysis, Sequence Analysis, Social Support, State Space Grids"
10.1093/joc/jqaa038,https://academic.oup.com/joc/article/71/6/E35/6124730,Cultural Evolution in the Digital Age By Alberto Acerbi,ScholarlyArticle,Journal of Communication,2021-01-31,
10.1093/joc/jqab033,https://academic.oup.com/joc/article/71/5/677/6389900,Opening a Conversation on Open Communication Research,ScholarlyArticle,Journal of Communication,2021-10-12,"Open Research, Ethics, Publishing, Equity, Inclusivity, Global South, Open Science, Methodology"
10.1093/joc/jqab032,https://academic.oup.com/joc/article/71/5/686/6363639,The Science of Open (Communication) Science: Toward an Evidence-Driven Understanding of Quality Criteria in Communication Research,ScholarlyArticle,Journal of Communication,2021-09-03,"Open Science, Replicability, Reproducibility, Communication-Specific Approach, Evidence-Driven Approach, Social Media"
10.1093/joc/jqab031,https://academic.oup.com/joc/article/71/5/715/6420674,Questionable and Open Research Practices: Attitudes and Perceptions among Quantitative Communication Researchers,ScholarlyArticle,Journal of Communication,2021-09-03,"Questionable research practices, Publication bias, Open science, Preregistration, Meta-research"
10.1093/joc/jqab030,https://academic.oup.com/joc/article/71/5/739/6354844,Tracing the Adoption and Effects of Open Science in Communication Research*,ScholarlyArticle,Journal of Communication,2021-08-19,"Open Science, Open Communication Science, Preregistration, Replication, Questionable Research Practices"
10.1093/joc/jqab029,https://academic.oup.com/joc/article/71/5/764/6333553,"Open Science, Closed Doors? Countering Marginalization through an Agenda for Ethical, Inclusive Research in Communication",ScholarlyArticle,Journal of Communication,2021-08-01,"Open Science, Marginalization, Discrimination, Inequality, Research Ethics, Social Identity, Ethical Research Practices, Research Risks, Open Data, Reidentification"
10.1093/joc/jqab025,https://academic.oup.com/joc/article/71/5/785/6359522,Towards an Inclusive Agenda of Open Science for Communication Research: A Latin American approach,ScholarlyArticle,Journal of Communication,2021-08-30,"Communication Research, Open Science, Open Access, Academic Capitalism, Global South"
10.1093/joc/jqab027,https://academic.oup.com/joc/article/71/5/803/6364108,Decolonizing Open Science: Southern Interventions,ScholarlyArticle,Journal of Communication,2021-09-04,"Open Science, Global South, Data Resistance, Data Sovereignty, Data Colonialism, Data Sovereignty, Culture-Centered Approach, Decolonization"
10.1093/joc/jqab028,https://academic.oup.com/joc/article/71/5/827/6372230,Toward Open Research: A Narrative Review of the Challenges and Opportunities for Open Humanities,ScholarlyArticle,Journal of Communication,2021-09-18,"Open Research, Open Science, Open Humanities, Scholarly Communication, Public Engagement"
10.1093/joc/jqab026,https://academic.oup.com/joc/article/71/5/855/6339986,Integrating Qualitative Methods and Open Science: Five Principles for More Trustworthy Research*,ScholarlyArticle,Journal of Communication,2021-08-04,"Qualitative Methods, Open Science, Validity, Transparency, Reflexivity, Ethics, Collaboration"
10.1093/joc/jqab014,https://academic.oup.com/joc/article/71/4/515/6356125,"Television, Continuity, and Change: A Meta-Analysis of Five Decades of Cultivation Research",ScholarlyArticle,Journal of Communication,2021-07-22,"Cultivation, Television, Meta-Analysis, Media Effects"
10.1093/joc/jqab015,https://academic.oup.com/joc/article/71/4/545/6356126,Thematic Co-occurrence Analysis: Advancing a Theory and Qualitative Method to Illuminate Ambivalent Experiences,ScholarlyArticle,Journal of Communication,2021-07-22,"Ambivalence, Qualitative Methods, Thematic Co-Occurrence Analysis, Parent–Child Estrangement"
10.1093/joc/jqab019,https://academic.oup.com/joc/article/71/4/572/6325613,Policing the Digital Divide: Institutional Gate-keeping &amp; Criminalizing Digital Inclusion,ScholarlyArticle,Journal of Communication,2021-07-22,"Digital Inequality, Internet Access, Policing, Quasi-Experiment, Urban Communication"
10.1093/joc/jqab016,https://academic.oup.com/joc/article/71/4/598/6287237,Transfiguring Theaters for Disrespectable Leisure: An Ethnography on Black Womxn’s Ratchet Performances in Movie Showings of Girls Trip,ScholarlyArticle,Journal of Communication,2021-05-27,"Black Women, Movie Theater, Ratchet, Disrespectability Politics, Ethnography"
10.1093/joc/jqab017,https://academic.oup.com/joc/article/71/4/623/6327074,Persuasive Message Pretesting Using Non-Behavioral Outcomes: Differences in Attitudinal and Intention Effects as Diagnostic of Differences in Behavioral Effects,ScholarlyArticle,Journal of Communication,2021-07-23,"Formative research, Message pretesting, Persuasion"
10.1093/joc/jqab018,https://academic.oup.com/joc/article/71/4/646/6356127,A Latent Profile Analysis of Undocumented College Students’ Protection-Oriented Family Communication and Strengths-Based Psychological Coping,ScholarlyArticle,Journal of Communication,2021-07-23,"Resilience theory, Undocumented immigrants, Coping, Mental health, Protection, Latent profile analysis"
10.1093/joc/jqab022,https://academic.oup.com/joc/article/71/4/676/6359084,Erratum to: Partisan Bias of Perceived Incivility and its Political Consequences: Evidence from Survey Experiments in Hong Kong,ScholarlyArticle,Journal of Communication,2021-08-04,
10.1093/joc/jqaa026,https://academic.oup.com/joc/article/71/4/E32/5880750,Duped: Truth-Default Theory and the Social Science of Lying and Deception,ScholarlyArticle,Journal of Communication,2021-08-04,
10.1093/joc/jqab008,https://academic.oup.com/joc/article/71/3/357/6307086,Partisan Bias of Perceived Incivility and its Political Consequences: Evidence from Survey Experiments in Hong Kong,ScholarlyArticle,Journal of Communication,2021-06-21,"Incivility, Perception Bias, Political Disagreement, Affective Polarization, Survey Experiment"
10.1093/joc/jqab010,https://academic.oup.com/joc/article/71/3/380/6283893,The Effects of Person-Centered Social Support Messages on Recipient Distress Over Time within a Conversation,ScholarlyArticle,Journal of Communication,2021-05-25,"Social Support, Supportive Communication, Verbal Person Centeredness, Reappraisal"
10.1093/joc/jqab009,https://academic.oup.com/joc/article/71/3/403/6284237,Relational Uncertainty Within Relational Turbulence Theory: The Bifactor Exploratory Structural Equation Model,ScholarlyArticle,Journal of Communication,2021-05-25,"Relational Turbulence Theory, Relational Uncertainty, Bifactor Model, Exploratory Structural Equation Modeling (ESEM), Bifactor-ESEM"
10.1093/joc/jqab011,https://academic.oup.com/joc/article/71/3/431/6282524,Theorizing Chemical Rhetoric: Toward an Articulation of Chemistry as a Public Vocabulary,ScholarlyArticle,Journal of Communication,2021-05-24,"Chemical Language, Public Discourse, Rhetoric of Science, Rhetorical Culture, Science Communication"
10.1093/joc/jqab012,https://academic.oup.com/joc/article/71/3/454/6199159,Do New Romantic Couples Use More Similar Language Over Time? Evidence from Intensive Longitudinal Text Messages,ScholarlyArticle,Journal of Communication,2021-03-29,"Romantic Relationships, Relationship Development, Computer-mediated Communication, Intensive Longitudinal Analysis, Linguistic Alignment, Communication Accommodation"
10.1093/joc/jqab013,https://academic.oup.com/joc/article/71/3/478/6238575,Developing and Validating the Communication Resilience Processes Scale,ScholarlyArticle,Journal of Communication,2021-04-19,"Communication Theory of Resilience, Resilience Processes, Disruptive Events, Scale Development"
10.1093/joc/jqaa016,https://academic.oup.com/joc/article/71/3/E29/5847982,"Irony and outrage: The polarized landscape of rage, fear, and laughter in the United States",ScholarlyArticle,Journal of Communication,2020-03-20,
10.1093/joc/jqab006,https://academic.oup.com/joc/article/71/2/163/6252344,The Global Trust Deficit Disorder: A Communications Perspective on Trust in the Time of Global Pandemics,ScholarlyArticle,Journal of Communication,2021-04-25,"Trust, populism, mistrust, digital platforms, COVID-19, truth, news, communications, conspiracy theories"
10.1093/joc/jqab003,https://academic.oup.com/joc/article/71/2/187/6143564,How to Capture Reciprocal Communication Dynamics: Comparing Longitudinal Statistical Approaches in Order to Analyze Within- and Between-Person Effects,ScholarlyArticle,Journal of Communication,2021-04-25,"Reinforcing Spirals Model, Media Effects and Selection, Reciprocal Communication Dynamics, Separation of Within- and Between-Person Effects, Cross-Lagged Panel Model, Dynamic Panel Model, Random Intercept Cross-Lagged Panel Model, Parallel Latent Growth Curve Model, Autoregressive Latent Trajectory Model, Latent Curve Model With Structured Residuals"
10.1093/joc/jqab001,https://academic.oup.com/joc/article/71/2/220/6134899,Examining the Effect of Message Style in Esteem Support Interactions: A Laboratory Investigation*,ScholarlyArticle,Journal of Communication,2021-04-23,"Cognitive-Emotional Theory of Esteem Support Messages, Message Style, Social Support, Self-Esteem, Supportive Interactions"
10.1093/joc/jqab002,https://academic.oup.com/joc/article/71/2/246/6134841,Camera Point-of-View Exacerbates Racial Bias in Viewers of Police Use of Force Videos,ScholarlyArticle,Journal of Communication,2021-04-25,"Point-of-View, Racial Bias, Police, Use of Force, Procedural Justice, Identification"
10.1093/joc/jqab005,https://academic.oup.com/joc/article/71/2/276/6154420,A Source Like Any Other? Field and Survey Experiment Evidence on How Interest Groups Shape Public Opinion,ScholarlyArticle,Journal of Communication,2021-04-25,"Persuasion, Interest Groups, Political Communication, Source Credibility, Field Experiments, Survey Experiments"
10.1093/joc/jqaa042,https://academic.oup.com/joc/article/71/2/305/6104044,"Assembling the Networks and Audiences of Disinformation: How Successful Russian IRA Twitter Accounts Built Their Followings, 2015–2017",ScholarlyArticle,Journal of Communication,2021-04-25,"Social Media Following, Disinformation, Political Polarization, Attention Economy, Asymmetry"
10.1093/joc/jqab004,https://academic.oup.com/joc/article/71/2/332/6238574,Stories Collectively Engage Listeners’ Brains: Enhanced Intersubject Correlations during Reception of Personal Narratives,ScholarlyArticle,Journal of Communication,2021-04-23,"Media Neuroscience, Engagement, Personal Narratives, fMRI, Intersubject Correlation"
10.1093/joc/jqab007,https://academic.oup.com/joc/article/71/2/826/6154338,Demagogue for President: The Rhetorical Genius of Donald Trump Jennifer Mercieca,ScholarlyArticle,Journal of Communication,2021-04-25,
10.1093/joc/jqz052,https://academic.oup.com/joc/article/71/1/1/5803422,An Agenda for Open Science in Communication,ScholarlyArticle,Journal of Communication,2020-02-17,"Open Science, Reproducibility, Replicability, Communication, Preregistration, Registered Reports"
10.1093/joc/jqaa036,https://academic.oup.com/joc/article/71/1/27/6010467,Latina/o/x Immigrant Youth’s Motivations for Disclosing their Family-Undocumented Experiences to a Teacher(s): A Latent Transition Analysis,ScholarlyArticle,Journal of Communication,2021-02-10,"revelation risk model, disclosure, undocumented, immigrants, teacher"
10.1093/joc/jqaa039,https://academic.oup.com/joc/article/71/1/56/6124731,Social Media Use and Adolescents’ Self-Esteem: Heading for a Person-Specific Media Effects Paradigm,ScholarlyArticle,Journal of Communication,2021-02-10,"ESM, ambulatory assessments, differential susceptibility, Instagram, Snapchat, DSEM, idiographic analysis, N=1 analysis"
10.1093/joc/jqaa037,https://academic.oup.com/joc/article/71/1/79/6017161,Seeing Red Through Rose-Colored Glasses: Subjective Hope as a Moderator of the Persuasive Influence of Anger,ScholarlyArticle,Journal of Communication,2020-12-02,"Emotional Appeals, Anger, Hope, Psychological Reactance, Persuasion"
10.1093/joc/jqaa040,https://academic.oup.com/joc/article/71/1/104/6043101,Generational Change in Chinese Journalism: Developing Mannheim’s Theory of Generations for Contemporary Social Conditions,ScholarlyArticle,Journal of Communication,2021-02-10,"China, Investigative Journalism, Generational Theory, Mannheim, Intellectuals"
10.1093/joc/jqaa041,https://academic.oup.com/joc/article/71/1/129/6044121,"Political Humor, Sharing, and Remembering: Insights from Neuroimaging",ScholarlyArticle,Journal of Communication,2021-02-10,"Political Humor, Communication Neuroscience, Political Knowledge, Entertainment Media, Media Psychology"
10.1093/joc/jqaa023,https://academic.oup.com/joc/article/71/1/E23/5916427,On becoming neighbors: The communication ethics of Fred Rogers. Alexandra Klarén,ScholarlyArticle,Journal of Communication,2020-05-07,
10.1093/joc/jqaa031,https://academic.oup.com/joc/article/70/6/769/6041069,Learning from Incidental Exposure to Political Information in Online Environments,ScholarlyArticle,Journal of Communication,2020-12-17,"Incidental Exposure, Political Knowledge, Learning, Online News, Attention to News"
10.1093/joc/jqaa030,https://academic.oup.com/joc/article/70/6/794/5905639,Celebrating Your Circle of Life: Eudaimonic Responses to Nostalgic Entertainment Experiences,ScholarlyArticle,Journal of Communication,2020-09-15,"Appreciation, Autobiographical Memory, Meaningful Entertainment, Nostalgia, Transportation"
10.1093/joc/jqaa028,https://academic.oup.com/joc/article/70/6/819/5880749,Casual Resistance: A Longitudinal Case Study of Video Gaming’s Gendered Construction and Related Audience Perceptions,ScholarlyArticle,Journal of Communication,2020-08-04,"Video games, gender, game studies, feminist media studies, hegemony, casual games, in-depth interviews, longitudinal audience studies"
10.1093/joc/jqaa032,https://academic.oup.com/joc/article/70/6/842/5913142,"Specificity, Conflict, and Focal Point: A Systematic Investigation into Social Media Censorship in China",ScholarlyArticle,Journal of Communication,2020-09-30,"Internet Censorship, China, WeChat, Social Media, Public Sphere"
10.1093/joc/jqaa034,https://academic.oup.com/joc/article/70/6/868/5964783,Antecedents and Effects of Parasocial Relationships: A Meta-Analysis,ScholarlyArticle,Journal of Communication,2020-11-10,"Parasocial Relationships, Parasocial Interaction, Meta-analysis, Media Involvement"
10.1093/joc/jqaa033,https://academic.oup.com/joc/article/70/6/895/5929329,"Intellectuals Debate #MeToo in China: Legitimizing Feminist Activism, Challenging Gendered Myths, and Reclaiming Feminism",ScholarlyArticle,Journal of Communication,2020-10-17,"Discursive Activism, #MeToo in China, Digital Media, Discourse Analysis, Intellectual Debate"
10.1093/joc/jqaa002,https://academic.oup.com/joc/article/70/6/E20/5846216,Disrespectful Democracy: The Psychology of Political Incivility Emily Sydnor,ScholarlyArticle,Journal of Communication,2020-05-27,
10.1093/joc/jqaa027,https://academic.oup.com/joc/article/70/5/623/5912109,“Anything that Causes Chaos”: The Organizational Behavior of Russia Today (RT),ScholarlyArticle,Journal of Communication,2020-09-28,"Russia Today, Propaganda, Disinformation, Public Diplomacy, International Broadcasting, Information Warfare"
10.1093/joc/jqaa022,https://academic.oup.com/joc/article/70/5/646/5900771,"The Value of Not Knowing: Partisan Cue-Taking and Belief Updating of the Uninformed, the Ambiguous, and the Misinformed",ScholarlyArticle,Journal of Communication,2020-09-02,"Differential Informedness, Misinformation, Misperception, Political Knowledge, Certainty, Corrective Information, Fact-Checking, Partisan Cues, Belief Updating"
10.1093/joc/jqaa021,https://academic.oup.com/joc/article/70/5/670/5864636,Large-Scale Communication is More Complex and Unpredictable with Automated Bots,ScholarlyArticle,Journal of Communication,2020-06-29,"Communication Bots, Predictability, Complexity, Wikipedia, Dynamical Systems Theory"
10.1093/joc/jqaa024,https://academic.oup.com/joc/article/70/5/693/5900770,Processing Ambiguous Social Identity: Disclosure of Identity and Phenotypic Prototypicality Affect Processing and Evaluation of Persuasive Messages,ScholarlyArticle,Journal of Communication,2020-09-02,"Advertising, LC4MP, Emotion, Cognition, Social Categorization, Social Identity"
10.1093/joc/jqaa025,https://academic.oup.com/joc/article/70/5/721/5900861,Instagram Inspiration: How Upward Comparison on Social Network Sites Can Contribute to Well-Being,ScholarlyArticle,Journal of Communication,2020-09-03,"Social Network Sites, Well-being, Social Comparison, Envy, Media-induced Inspiration"
10.1093/joc/jqaa029,https://academic.oup.com/joc/article/70/5/744/5916957,After All This Time? The Impact of Media and Authoritarian History on Political News Coverage in Twelve Western Countries,ScholarlyArticle,Journal of Communication,2020-10-01,"Models of Journalism, Media Systems, Authoritarian Legacies, Comparative Research, Systematic Content Analysis"
10.1093/joc/jqz047,https://academic.oup.com/joc/article/70/5/E17/5846502,Setting the Gender Agenda for Communication Policy: New Proposals from the Global Alliance on Media and Gender Aimée Vega Montiel &amp; Sarah Macharia,ScholarlyArticle,Journal of Communication,2001-05-27,
10.1093/joc/jqaa017,https://academic.oup.com/joc/article/70/4/473/5880130,Long-term Persuasive Effects in Narrative Communication Research: A Meta-Analysis,ScholarlyArticle,Journal of Communication,2020-04-01,"Narrative Persuasion, Narrative versus Non-narrative Messages, Transportation, Long-term Effects, Meta-Analysis"
10.1093/joc/jqaa018,https://academic.oup.com/joc/article/70/4/497/5857779,Organizational and Individual Innovation Decisions in an Interorganizational System: Social Influence and Decision-Making Authority,ScholarlyArticle,Journal of Communication,2020-04-09,"Social Networks, Innovation Adoption, Advice Network, Organizational Boundary, Normative Influence, Social Information Processing, Social Influence, Global Health, Heterogeneity, Decision-Making"
10.1093/joc/jqaa010,https://academic.oup.com/joc/article/70/4/522/5825803,"When Counterarguing Becomes the Primary Task: Examination of Dogmatic Anti-Vaping Messages on Psychological Reactance, Available Cognitive Resources, and Memory",ScholarlyArticle,Journal of Communication,2020-03-10,"LC4MP, Reactance, STRT, Cognitive Processing, Experiment"
10.1093/joc/jqaa011,https://academic.oup.com/joc/article/70/4/548/5841553,Understanding News Coverage of Religious-based Violence: Empirical and Theoretical Insights from Media Representations of Boko Haram in Nigeria,ScholarlyArticle,Journal of Communication,2020-03-20,"News, Peace Journalism, Religious-based Violence, Boko Haram, Nigeria"
10.1093/joc/jqaa020,https://academic.oup.com/joc/article/70/4/574/5847670,Shattering Populists’ Rhetoric with Satire at Elections Times: The Effect of Humorously Holding Populists Accountable for Their Lack of Solutions,ScholarlyArticle,Journal of Communication,2020-04-23,"Political Satire, Populism, Political Humor, Right-wing Populism, Vote Choice"
10.1093/joc/jqaa019,https://academic.oup.com/joc/article/70/4/598/5849539,"Past Debates, Fresh Impact on Nano-Enabled Food: A Multigroup Comparison of Presumed Media Influence Model Based on Spillover Effects of Attitude Toward Genetically Modified Food",ScholarlyArticle,Journal of Communication,2020-04-16,"Influence of Presumed Media Influence, Spillover Effects, Pre-existing Attitudes, Nano-enabled Food, Genetically Modified Food"
10.1093/joc/jqz050,https://academic.oup.com/joc/article/70/4/E14/5843985,Netflix Nations: The Geography of Digital Distribution,ScholarlyArticle,Journal of Communication,2001-01-20,
10.1093/joc/jqaa012,https://academic.oup.com/joc/article/70/3/303/5855539,Speaking Across Communication Subfields,ScholarlyArticle,Journal of Communication,2020-06-10,
10.1093/joc/jqaa009,https://academic.oup.com/joc/article/70/3/310/5828491,"Less Fragmented Than We Thought? Toward Clarification of a Subdisciplinary Linkage in Communication Science, 2010–2019",ScholarlyArticle,Journal of Communication,2020-05-04,"Communication Science, Subdisciplinary Cohesion and Fragmentation, Correlated Topic Models, Network Topologies, Simulation-Based Inferences"
10.1093/joc/jqaa015,https://academic.oup.com/joc/article/70/3/335/5855533,"Dynamic Transactions Between News Frames and Sociopolitical Events: An Integrative, Hidden Markov Model Approach",ScholarlyArticle,Journal of Communication,2020-06-10,"Online News, Framing, Moral Intuitions, Cross-Disciplinary Research, MIME, Big Data, GDELT, Hidden Markov Models, Computational Communication Research"
10.1093/joc/jqaa007,https://academic.oup.com/joc/article/70/3/356/5855522,Marr’s Tri-Level Framework Integrates Biological Explanation Across Communication Subfields,ScholarlyArticle,Journal of Communication,2020-06-10,"Communication Neuroscience, Communication Theory, Computational Theory, Marr, Subfields"
10.1093/joc/jqaa014,https://academic.oup.com/joc/article/70/3/379/5847669,"Critical Media Effects Framework: Bridging Critical Cultural Communication and Media Effects through Power, Intersectionality, Context, and Agency",ScholarlyArticle,Journal of Communication,2020-05-27,"Media Effects, Critical Cultural Communication, Social Justice, Intersectionality, Inclusion"
10.1093/joc/jqaa008,https://academic.oup.com/joc/article/70/3/401/5855518,Meaning Multiplicity Across Communication Subfields: Bridging the Gaps,ScholarlyArticle,Journal of Communication,2020-06-10,"Communication Theory, Income Inequality, Interdisciplinarity, Mixed-Methods, News, Polysemy, Selective Perception, Strategic Ambiguity"
10.1093/joc/jqaa006,https://academic.oup.com/joc/article/70/3/424/5855538,The Extended Theoretical Model of Communal Coping: Understanding the Properties and Functionality of Communal Coping,ScholarlyArticle,Journal of Communication,2020-06-10,"Communal Coping, Resilience, Communication, Appraisal, Action, Thriving, Health"
10.1093/joc/jqaa013,https://academic.oup.com/joc/article/70/3/447/5855534,A Collaborative Way of Knowing: Bridging Computational Communication Research and Grounded Theory Ethnography,ScholarlyArticle,Journal of Communication,2020-06-10,"Epistemology, Ethnography, Computational Methods, Interdisciplinary Research, Computational Ethnography, Reflexivity"
10.1093/joc/jqaa001,https://academic.oup.com/joc/article/70/2/145/5821497,"Media Prescriptions: Exploring the Therapeutic Effects of Entertainment Media on Stress Relief, Illness Symptoms, and Goal Attainment",ScholarlyArticle,Journal of Communication,2020-04-23,"Emotion, Hope, Media Intervention, Stress, Well-Being, Prescription"
10.1093/joc/jqz051,https://academic.oup.com/joc/article/70/2/171/5824486,Broadcasting the Movement and Branding Political Microcelebrities: Finnish Anti-Immigration Video Practices on YouTube,ScholarlyArticle,Journal of Communication,2020-04-27,"YouTube, Video Activism, Anti-Immigration, Social Movements, Microcelebrities, Platform Studies"
10.1093/joc/jqaa003,https://academic.oup.com/joc/article/70/2/195/5827135,Time and Meaning-Making in the “Hybrid” Media: Evidence From the 2016 U.S. Election,ScholarlyArticle,Journal of Communication,2020-05-04,"Temporal Plasticity, The U.S. 2016 Presidential Election, Computational Text Analysis, “Hybrid” Media, Democratic Collective Identity"
10.1093/joc/jqz048,https://academic.oup.com/joc/article/70/2/219/5823594,Video Game Violence and Interactivity: Effect or Equivalence?,ScholarlyArticle,Journal of Communication,2020-04-22,"Video Games, Violence, Aggression, Interactivity, Player Skill, Equivalence Testing, Bayesian Inference, Multiverse Analysis"
10.1093/joc/jqaa004,https://academic.oup.com/joc/article/70/2/245/5823693,Postcolonial Reflexivity in the News Industry: The Case of Foreign Correspondents in Kenya and South Africa,ScholarlyArticle,Journal of Communication,2020-04-22,"Reflexivity, Foreign Correspondents, Representation, Stereotypes, Kenya, South Africa, Postcolonial, Othering, Interviews, Journalism, International News"
10.1093/joc/jqaa005,https://academic.oup.com/joc/article/70/2/274/5826848,Interdependence of Narrative Characters: Implications for Media Theories,ScholarlyArticle,Journal of Communication,2020-04-29,"Affective Disposition Theory, Disposition Formation, Character Schema, Character Interdependence, Morality, Narrative, Balance Theory"
