doi,url,title,journal,authorName,gscholarLink,firstName,gender,gender_prob,gender_basedon,genderAgree,gender_api,gender_accu,gender_samples,lastName,race,affiliation,ror_affname,ror_id,ror_afftype,us_state,ror_country
10.1093/joc/jqz040,https://academic.oup.com/joc/article/70/1/13/5739595,How the Comforting Process Fails: Psychological Reactance to Support Messages,Journal of Communication,Kellie St.Cyr Brisini,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Kellie+Brisini,Kellie,female,0.97,1170,True,female,98,2598,Brisini,white,"Department of Communication Arts and Sciences , The Pennsylvania State University, University Park, PA 16802,  USA",Pennsylvania State University,https://ror.org/04p491231,Education,Pennsylvania,US
10.1111/j.1468-2958.2010.01395.x,https://academic.oup.com/hcr/article/37/1/107/4107502,Does Mother Know Best? An Actor–Partner Model of College-Age Women's Human Papillomavirus Vaccination Behavior,Human Communication Research,Janice L. Krieger,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Janice+Krieger,Janice,female,0.98,6277,True,female,98,7676,Krieger,white,"1 School of Communication, The Ohio State University, Columbus, OH 43210, USA",The Ohio State University,https://ror.org/00rs6vg23,Education,Ohio,US
10.1111/j.1753-9137.2009.01055.x,https://academic.oup.com/ccc/article/3/1/21/4067397,"The Exceptional Community: On Strangers, Foreigners, and Communication","Communication, Culture and Critique",Garnet C. Butchart,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Garnet+Butchart,Garnet,male,0.68,171,True,male,63,198,Butchart,white,"1 Department of Communication, University of South Florida, Tampa, FL 33620, USA",University of South Florida,https://ror.org/032db5x82,Education,Florida,US
10.1111/hcre.12067,https://academic.oup.com/hcr/article/42/1/71/4064725,Consciousness and Self-Regulation in Mobile Communication,Human Communication Research,Scott W. Campbell,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Scott+Campbell,Scott,male,0.99,31815,True,male,100,48262,Campbell,white,"1 Communication Studies, University of Michigan, Ann Arbor, MI, 48103, USA,",University of Michigan–Ann Arbor,https://ror.org/00jmfr291,Education,,US
10.1111/j.1083-6101.2011.01539.x,https://academic.oup.com/jcmc/article/16/2/271/4064833,Two Routes Leading to Conformity Intention in Computer-Mediated Groups: Matching versus Mismatching Virtual Representations,Journal of Computer-Mediated Communication,Junghyun Kim,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Junghyun+Kim,Junghyun,male,0.62,257,True,male,72,152,Kim,Asian,,,,,,
10.1111/j.1460-2466.2001.tb02875.x,https://academic.oup.com/joc/article/51/1/121/4110156,Questioning the Value of Realism: Young Adults' Processing of Messages in Alcohol-Related Public Service Announcements and Advertising,Journal of Communication,Julie L. Adnsager,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Julie+Adnsager,Julie,female,0.98,116926,True,female,98,72376,Adnsager,white,"1 Edward R. Murrow School of Communication, Washington State University, WA, USA",Washington State University,https://ror.org/05dk0ce17,Education,Washington,US
10.1111/j.1460-2466.1978.tb01561.x,https://academic.oup.com/joc/article/28/1/45/4371643,Freedom and Equality: Two Values of Political Orientation,Journal of Communication,Gerald L. Rous,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Gerald+Rous,Gerald,male,0.99,13923,True,male,99,11899,Rous,white,1 Gerald L. Rous is an Instructor of Sociology at the University of Wisconsin at Stevens Point,University of Wisconsin–Stevens Point,https://ror.org/05sv6pg41,Education,Wisconsin,US
10.1093/joc/jqaa009,https://academic.oup.com/joc/article/70/3/310/5828491,"Less Fragmented Than We Thought? Toward Clarification of a Subdisciplinary Linkage in Communication Science, 2010–2019",Journal of Communication,Olga Eisele,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Olga+Eisele,Olga,female,0.98,80307,True,female,98,42388,Eisele,white,"Department of Communication, University of Vienna , Vienna, Austria",University of Vienna,https://ror.org/03prydq77,Education,,AT
10.1111/hcre.12123,https://academic.oup.com/hcr/article/43/4/436/4670715,When News Meets the Audience: How Audience Feedback Online Affects News Production and Consumption,Human Communication Research,Edson C Tandoc,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Edson+Tandoc,Edson,male,0.98,4916,True,male,99,9766,Tandoc,white,"Wee Kim Wee School of Communication and Information, Nanyang Technological University, Singapore,",Nanyang Technological University,https://ror.org/02e7b5302,Education,,SG
10.1093/joc/jqx001,https://academic.oup.com/joc/article/68/1/51/4858527,Selective Exposure to Populist Communication: How Attitudinal Congruence Drives the Effects of Populist Attributions of Blame,Journal of Communication,Michael Hameleers,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Michael+Hameleers,Michael,male,0.99,245870,True,male,99,211741,Hameleers,white,"Amsterdam School of Communication Research, University of Amsterdam , 1018 WV Amsterdam",University of Amsterdam,https://ror.org/04dkp9463,Education,Noord-Holland,NL
10.1111/j.1460-2466.2007.00366.x,https://academic.oup.com/joc/article/57/4/739/4102705,The Gender News Use Divide: Americans’ Sex-Typed Selective Exposure to Online News Topics,Journal of Communication,Scott Alter,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Scott+Alter,Scott,male,0.99,31815,True,male,100,48262,Alter,white,"2 University of Medicine and Dentistry of New Jersey, Robert Wood Johnson Medical School, Piscataway, NY 08854",Robert Wood Johnson University Hospital,https://ror.org/00eekd641,Healthcare,New Jersey,US
10.1111/j.1468-2885.2011.01394.x,https://academic.oup.com/ct/article/21/4/436/4085706,Subjective Posture and Subjective Affluence: Chicago Field Theories in the U.S. Media and Political Systems,Communication Theory,Richard Besel,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Richard+Besel,Richard,male,0.99,101928,True,male,99,97659,Besel,white,"2 Department of Communication Studies, California Polytechnic State University, San Luis Obispo, CA 93407, USA",California Polytechnic State University,https://ror.org/001gpfp45,Education,California,US
10.1111/j.1460-2466.1980.tb02013.x,https://academic.oup.com/joc/article/30/4/28/4371859,Home Video Recorders: Rights and Ratings,Journal of Communication,Donald E. Agostino,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Donald+Agostino,Donald,male,0.98,12059,True,male,99,12793,Agostino,white,1 All in the Department of Telecommunications at Indiana University,Indiana State Department of Education,https://ror.org/03k25vb36,Government,Indiana,US
10.1111/j.1753-9137.2009.01037.x,https://academic.oup.com/ccc/article/2/2/234/4067419,Critical Media Industry Studies: A Research Approach,"Communication, Culture and Critique",Timothy Havens,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Timothy+Havens,Timothy,male,0.99,13105,True,male,99,15778,Havens,white,"1 Department of Communication Studies and African American Studies Program, The University of Iowa, Iowa City, IA 52242-1498",University of Iowa,https://ror.org/036jqmy94,Education,,US
10.1093/joc/jqaa011,https://academic.oup.com/joc/article/70/4/548/5841553,Understanding News Coverage of Religious-based Violence: Empirical and Theoretical Insights from Media Representations of Boko Haram in Nigeria,Journal of Communication,Leila Demarest,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Leila+Demarest,Leila,female,0.99,42402,True,female,98,19754,Demarest,white,"Institute of Political Science , Leiden University, Leiden,  Netherlands",Leiden University,https://ror.org/027bh9e22,Education,,NL
10.1111/j.1460-2466.2008.00385.x,https://academic.oup.com/joc/article/58/2/280/4098525,Understanding the Third-Person Perception: Evidence From a Meta-Analysis,Journal of Communication,Ye Sun,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Ye+Sun,Ye,male,0.54,1419,True,male,75,1057,Sun,Asian,"1 Department of Communication Arts, University of Madison–Wisconsin, WI 53706",University of Wisconsin–Madison,https://ror.org/01y2jtd41,Education,,US
10.1111/j.1460-2466.2009.01441.x,https://academic.oup.com/joc/article/59/3/609/4098552,Viewing Angle Matters—Screen Type Does Not,Journal of Communication,Steven Bellman,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Steven+Bellman,Steven,male,0.99,61542,True,male,99,59951,Bellman,white,"1 Interactive Television Research Institute, Murdoch University, Murdoch, WA 6150, Australia",Murdoch University,https://ror.org/00r4sry34,Education,,AU
10.1111/j.1460-2466.1961.tb00008.x,https://academic.oup.com/joc/article/11/4/220/4587369,Group Dynamics Techniques and the Teaching of Composition,Journal of Communication,Bernard Knieger,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Bernard+Knieger,Bernard,male,0.98,38897,True,male,98,30260,Knieger,white,"1 Dr. Knieger (Ph.D., Harvard University, 1952) participated in a group dynamics laboratory and seminar at the University of Wisconsin in Milwaukee, where he was an assistant professor of English, and in the National Training Laboratory in Group Development at Bethel, Maine; his “A Delegate Looks at Bethel” appeared in the March, 1960, issue of Adult Leadership. At present he is a faculty member of Washington State University",University of Maine at Farmington,https://ror.org/00ydm0027,Education,Maine,US
