source,target,value
PH,US,39
DE,US,35
US,CA,30
US,DE,30
US,GB,27
US,PH,26
SG,US,21
US,KR,20
US,CN,20
US,NL,20
US,JP,19
CN,US,18
US,AU,18
GB,US,17
CA,US,17
NL,US,15
DE,NL,15
US,SG,14
KR,US,14
JP,US,14
US,IL,11
CH,DE,10
AT,US,10
IL,US,10
QA,US,7
US,TW,7
DE,CH,7
DE,GB,7
US,NZ,6
GB,NL,6
ES,US,6
US,UK,6
GB,ES,6
US,CH,6
AU,US,6
GB,UK,5
TH,US,5
US,MX,4
NL,BE,4
US,CL,4
UK,GB,4
US,FR,4
DE,BE,4
NZ,US,4
CL,NL,4
US,DK,4
KE,US,4
US,IT,4
US,PL,4
DK,US,4
US,QA,4
NL,DE,4
IT,GB,3
GB,AU,3
JP,KR,3
US,HU,3
US,FI,3
US,IN,3
GH,US,3
US,LB,3
FR,CA,3
US,ES,3
BE,NL,3
NL,GB,3
CH,GB,3
DE,AU,2
NO,CH,2
US,TH,2
AU,CA,2
SE,DK,2
CL,CN,2
SE,AT,2
GB,IL,2
FR,US,2
US,NO,2
CL,US,2
US,AT,2
ES,GB,2
NL,SE,2
TW,US,2
SE,US,2
DE,NO,2
US,UG,2
US,SE,2
GB,SG,2
CA,GB,2
CO,US,2
NL,ZA,2
KR,GB,2
US,BE,2
AT,DE,2
PT,UK,2
IR,AU,2
JP,CA,2
NL,AT,2
SG,AT,2
GB,IS,2
BE,CH,2
US,CO,2
BE,US,2
US,LV,2
US,CZ,2
IN,US,2
AT,NZ,2
SK,US,1
LB,CY,1
PL,DK,1
SG,AU,1
SE,AR,1
PH,IL,1
BE,CY,1
LB,GB,1
FR,CH,1
IT,US,1
AT,CH,1
PH,NL,1
IE,DE,1
GB,NO,1
IT,MX,1
TR,DE,1
CA,IL,1
BE,GB,1
AT,CL,1
KR,SG,1
FI,GB,1
US,RU,1
IL,GB,1
US,IE,1
ES,AU,1
CH,FR,1
TW,KR,1
CN,KR,1
DE,SE,1
US,AM,1
AT,ES,1
AU,NL,1
GB,CH,1
CZ,US,1
ES,CO,1
NL,IL,1
SG,CN,1
FR,GB,1
CL,SG,1
SE,GB,1
SE,UK,1
TJ,US,1
CA,IT,1
US,BN,1
AU,GB,1
GB,IE,1
CL,DE,1
US,ZA,1
DE,AT,1
CN,DK,1
NO,GB,1
GB,DK,1
JP,CR,1
PH,AR,1
US,EG,1
US,VE,1
CL,FI,1
NL,CH,1
CN,SG,1
CL,MX,1
CL,ES,1
AT,CO,1
CL,PL,1
ZA,US,1
GR,DE,1
UK,US,1
DE,CA,1
IT,IE,1
DE,CN,1
DE,SG,1
PH,ZA,1
US,GR,1
DE,ES,1
AU,RU,1
CA,ES,1
PH,SG,1
DK,NL,1
GB,PH,1
DE,IL,1
PH,CH,1
US,NG,1
DE,ZA,1
DE,PH,1
TR,US,1
MX,US,1
MX,ES,1
IT,ES,1
IT,LT,1
IT,EE,1
IL,DE,1
AU,FR,1
IL,BE,1
US,PE,1
US,IS,1
IT,CY,1
US,BD,1
FR,DE,1
US,CY,1
CN,AU,1
NL,SG,1
AU,CN,1
PT,IL,1
RU,US,1
GR,GB,1
CA,DK,1
CN,HK,1
CH,US,1
PT,ES,1
JP,GB,1
BE,IT,1
US,ID,1
NO,DK,1
NO,FI,1
GB,LB,1
US,PT,1
CN,GE,1
TW,HK,1
NL,CN,1
GB,ZA,1
SE,TH,1
US,KE,1
US,CR,1
MX,GB,1
ES,CZ,1
IL,AU,1
CL,GB,1
AR,US,1
DE,FI,1
GB,IT,1
KR,JP,1
AT,NL,1
US,ET,1
CA,BE,1
